unsupported_label_or_relation	group_count	locus_count	pages	loci	rationale	working_edition_treatment	semantic_ceiling
A1_INTERWHEEL_RELATION	190	74	f67r2	f67r2.1|f67r2.2|f67r2.3|f67r2.4|f67r2.5|f67r2.6|f67r2.7|f67r2.8|f67r2.9|f67r2.10|f67r2.11|f67r2.12|f67r2.13|f67r2.14|f67r2.15|f67r2.16|f67r2.17|f67r2.18|f67r2.19|f67r2.20|f67r2.21|f67r2.22|f67r2.23|f67r2.24|f67r2.25|f67r2.26|f67r2.27|f67r2.28|f67r2.29|f67r2.30|f67r2.31|f67r2.32|f67r2.33|f67r2.34|f67r2.35|f67r2.36|f67r2.37|f67r2.38|f67r2.39|f67r2.40|f67r2.41|f67r2.42|f67r2.43|f67r2.44|f67r2.45|f67r2.46|f67r2.47|f67r2.48|f67r2.49|f67r2.50|f67r2.51|f67r2.52|f67r2.53|f67r2.54|f67r2.55|f67r2.56|f67r2.57|f67r2.58|f67r2.59|f67r2.60|f67r2.61|f67r2.62|f67r2.63|f67r2.64|f67r2.65|f67r2.66|f67r2.67|f67r2.68|f67r2.69|f67r2.70|f67r2.71|f67r2.72|f67r2.73|f67r2.74	Zwischen linkem und rechtem Rad fehlt eine sichtbare Kante.	KEEP_AS_EXEMPLAR_CLASS_OR_REMOVE_RELATION__NEVER_ASSIGN_EXACT_NAME	UNSUPPORTED_EXTERNAL_LABEL_NOT_VOYNICH_MEANING
A1_LEFT_EXACT_STAR_ASPECT_OR_CALENDAR_VALUE	121	50	f67r2	f67r2.15|f67r2.16|f67r2.17|f67r2.18|f67r2.19|f67r2.20|f67r2.21|f67r2.22|f67r2.23|f67r2.24|f67r2.25|f67r2.26|f67r2.27|f67r2.28|f67r2.29|f67r2.30|f67r2.31|f67r2.32|f67r2.33|f67r2.34|f67r2.35|f67r2.36|f67r2.37|f67r2.38|f67r2.39|f67r2.40|f67r2.41|f67r2.42|f67r2.43|f67r2.44|f67r2.45|f67r2.46|f67r2.47|f67r2.48|f67r2.49|f67r2.50|f67r2.51|f67r2.52|f67r2.53|f67r2.54|f67r2.55|f67r2.56|f67r2.57|f67r2.58|f67r2.59|f67r2.60|f67r2.61|f67r2.62|f67r2.63|f67r2.72	Sterne und Strahlen tragen keinen extern identifizierten Stern-, Aspekt- oder Kalendernamen.	KEEP_AS_EXEMPLAR_CLASS_OR_REMOVE_RELATION__NEVER_ASSIGN_EXACT_NAME	UNSUPPORTED_EXTERNAL_LABEL_NOT_VOYNICH_MEANING
A1_LEGEND_OWNER	13	1	f67r2	f67r2.74	Die Seitenlegende lässt sich keinem der beiden Räder sicher zuweisen.	KEEP_AS_EXEMPLAR_CLASS_OR_REMOVE_RELATION__NEVER_ASSIGN_EXACT_NAME	UNSUPPORTED_EXTERNAL_LABEL_NOT_VOYNICH_MEANING
A1_RIGHT_EXACT_PHASE_OR_CONDITION_VALUE	28	11	f67r2	f67r2.13|f67r2.14|f67r2.64|f67r2.65|f67r2.66|f67r2.67|f67r2.68|f67r2.69|f67r2.70|f67r2.71|f67r2.73	Scheiben-/Bedingungsplätze besitzen keinen extern verankerten Phasen- oder Wahlwert.	KEEP_AS_EXEMPLAR_CLASS_OR_REMOVE_RELATION__NEVER_ASSIGN_EXACT_NAME	UNSUPPORTED_EXTERNAL_LABEL_NOT_VOYNICH_MEANING
A1_RIGHT_EXACT_SIGN_OR_MONTH	28	12	f67r2	f67r2.1|f67r2.2|f67r2.3|f67r2.4|f67r2.5|f67r2.6|f67r2.7|f67r2.8|f67r2.9|f67r2.10|f67r2.11|f67r2.12	Zwölf sichtbare Sektoren lizenzieren weder Tierkreisnamen noch Monate oder deren Zuordnung.	KEEP_AS_EXEMPLAR_CLASS_OR_REMOVE_RELATION__NEVER_ASSIGN_EXACT_NAME	UNSUPPORTED_EXTERNAL_LABEL_NOT_VOYNICH_MEANING
A2_COMMON_CENTRE_OR_ORDER	37	9	f68r1	f68r1.1|f68r1.2|f68r1.3|f68r1.4|f68r1.5|f68r1.6|f68r1.7|f68r1.8|f68r1.37	Mehrere Zentren verhindern eine einzige seitenweite Mitte oder Reihenfolge.	KEEP_AS_EXEMPLAR_CLASS_OR_REMOVE_RELATION__NEVER_ASSIGN_EXACT_NAME	UNSUPPORTED_EXTERNAL_LABEL_NOT_VOYNICH_MEANING
A2_EXACT_STAR_OR_ASTERISM_IDENTITY	28	28	f68r1	f68r1.9|f68r1.10|f68r1.11|f68r1.12|f68r1.13|f68r1.14|f68r1.15|f68r1.16|f68r1.17|f68r1.18|f68r1.19|f68r1.20|f68r1.21|f68r1.22|f68r1.23|f68r1.24|f68r1.25|f68r1.26|f68r1.27|f68r1.28|f68r1.29|f68r1.30|f68r1.31|f68r1.32|f68r1.33|f68r1.34|f68r1.35|f68r1.36	Kein Sternplatz ist extern benannt oder mit einem bekannten Asterismus verankert.	KEEP_AS_EXEMPLAR_CLASS_OR_REMOVE_RELATION__NEVER_ASSIGN_EXACT_NAME	UNSUPPORTED_EXTERNAL_LABEL_NOT_VOYNICH_MEANING
A2_PANEL_OR_CENTRE_IDENTITY	37	9	f68r1	f68r1.1|f68r1.2|f68r1.3|f68r1.4|f68r1.5|f68r1.6|f68r1.7|f68r1.8|f68r1.37	Paneel- und Gesichtsmedaillonidentitäten sind lokal sichtbar, aber inhaltlich unbekannt.	KEEP_AS_EXEMPLAR_CLASS_OR_REMOVE_RELATION__NEVER_ASSIGN_EXACT_NAME	UNSUPPORTED_EXTERNAL_LABEL_NOT_VOYNICH_MEANING
A2_UNIFIED_28_OBJECT	28	28	f68r1	f68r1.9|f68r1.10|f68r1.11|f68r1.12|f68r1.13|f68r1.14|f68r1.15|f68r1.16|f68r1.17|f68r1.18|f68r1.19|f68r1.20|f68r1.21|f68r1.22|f68r1.23|f68r1.24|f68r1.25|f68r1.26|f68r1.27|f68r1.28|f68r1.29|f68r1.30|f68r1.31|f68r1.32|f68r1.33|f68r1.34|f68r1.35|f68r1.36	Die 28 editorisch gezählten Sternplätze liegen in einer Mehrpaneelseite und bilden kein bewiesenes gemeinsames Objekt.	KEEP_AS_EXEMPLAR_CLASS_OR_REMOVE_RELATION__NEVER_ASSIGN_EXACT_NAME	UNSUPPORTED_EXTERNAL_LABEL_NOT_VOYNICH_MEANING
A3_INTERWHEEL_RELATION	140	31	f69v	f69v.1|f69v.2|f69v.3|f69v.4|f69v.5|f69v.6|f69v.7|f69v.8|f69v.9|f69v.10|f69v.11|f69v.12|f69v.13|f69v.14|f69v.15|f69v.16|f69v.17|f69v.18|f69v.19|f69v.20|f69v.21|f69v.22|f69v.23|f69v.24|f69v.25|f69v.26|f69v.27|f69v.28|f69v.29|f69v.30|f69v.31	Zwischen den drei heterogenen f69v-Rädern fehlt jede sichtbare Kante oder gemeinsame Adresse.	KEEP_AS_EXEMPLAR_CLASS_OR_REMOVE_RELATION__NEVER_ASSIGN_EXACT_NAME	UNSUPPORTED_EXTERNAL_LABEL_NOT_VOYNICH_MEANING
