statement_id	record_unit_id	page	mould_id	owner_argument_de	portable_literal_chain_de	formula_expansion_de	controlled_fluent_de	owner_terms_are_portable	automatic_fill_prohibited
H1-S001	H1	f10r	M01_MATERIAL_PREPARATION	Bildpflanze; örtlicher Wurzel-/Materialansatz	Grundteil | bereitstellen · Bereitung | davon | Anteil | Aufnahme | Lauf | danach · Teil · weiter | einsetzen | Sollmaß | kurz · Teil	KEINE KLAMMERFORMEL	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: Grundteil; bereitstellen · Bereitung; davon; Anteil; Aufnahme; Lauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	NO	water|patient|disease|body part|species unless card or owner explicitly supplies it
H1-S002	H1	f10r	M04_ORDER_CONTINUATION	Bildpflanze; örtlicher Wurzel-/Materialansatz	weiterbearbeiten | danach · weiter | weiter | bereit	KEINE KLAMMERFORMEL	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: weiterbearbeiten; danach · weiter; weiter; bereit.	NO	water|patient|disease|body part|species unless card or owner explicitly supplies it
H2-S001	H2	f10r	M07_PAIRED_MEASURE_FRAME	Bildpflanze; örtlicher Blatt-/Sprossansatz	Posten · Auszug · Bereitung | bereit | Ansatz | bereitstellen · Sollmaß | bereitstellen · weiter · Posten | dies | dies | Sollmaß | dies	zwei Posten unter demselben Sollmaß	Besitzer: Bildpflanze; örtlicher Blatt-/Sprossansatz. Karten: Posten · Auszug · Bereitung; bereit; Ansatz; bereitstellen · Sollmaß; bereitstellen · weiter · Posten; dies; dies; Sollmaß; dies.	NO	water|patient|disease|body part|species unless card or owner explicitly supplies it
H2-S002	H2	f10r	M08_CARRIED_PREPARATION_FRAME	Bildpflanze; örtlicher Blatt-/Sprossansatz	Folgeansatz | Ansatz | danach · weiter | weiter | derselbe Ansatz | weiter | Sollmaß | davon	Fortsetzung mit demselben Ansatz	Besitzer: Bildpflanze; örtlicher Blatt-/Sprossansatz. Karten: Folgeansatz; Ansatz; danach · weiter; weiter; derselbe Ansatz; weiter; Sollmaß; davon.	NO	water|patient|disease|body part|species unless card or owner explicitly supplies it
H2-S003	H2	f10r	M01_MATERIAL_PREPARATION	Bildpflanze; örtlicher Blatt-/Sprossansatz	Posten · bearbeiten · Bereitung | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabe · Sollmaß	KEINE KLAMMERFORMEL	Besitzer: Bildpflanze; örtlicher Blatt-/Sprossansatz. Karten: Posten · bearbeiten · Bereitung; Ansatz; Ansatz; dies; Arbeitsstufe; dies; Zugabe · Sollmaß.	NO	water|patient|disease|body part|species unless card or owner explicitly supplies it
H3-S001	H3	f11r	M06_FILTER_CLEAR_PRODUCT	Bildpflanze; örtlicher Blüten-/Blattauszug	Zugabe · abführen | Zugabe · Ziel | auswringen · Posten | halten · Sollmaß | nachseihen · Posten | Klarauszug | Zugabe; schließen	KEINE KLAMMERFORMEL	Besitzer: Bildpflanze; örtlicher Blüten-/Blattauszug. Karten: Zugabe · abführen; Zugabe · Ziel; auswringen · Posten; halten · Sollmaß; nachseihen · Posten; Klarauszug; Zugabe; schließen.	NO	water|patient|disease|body part|species unless card or owner explicitly supplies it
H3-S002	H3	f11r	M01_MATERIAL_PREPARATION	Bildpflanze; örtlicher Blüten-/Blattauszug	Zugabe · Posten · Teil	KEINE KLAMMERFORMEL	Besitzer: Bildpflanze; örtlicher Blüten-/Blattauszug. Karten: Zugabe · Posten · Teil.	NO	water|patient|disease|body part|species unless card or owner explicitly supplies it
H3-S003	H3	f11r	M02_SOURCE_SHARE_MEASURE	Bildpflanze; örtlicher Blüten-/Blattauszug	vom vorigen | dies | bearbeiten · Posten | dies | Sollmaß	KEINE KLAMMERFORMEL	Besitzer: Bildpflanze; örtlicher Blüten-/Blattauszug. Karten: vom vorigen; dies; bearbeiten · Posten; dies; Sollmaß.	NO	water|patient|disease|body part|species unless card or owner explicitly supplies it
H3-S004	H3	f11r	M04_ORDER_CONTINUATION	Bildpflanze; örtlicher Blüten-/Blattauszug	danach · Posten | einsetzen · weiter | bereit | dies	KEINE KLAMMERFORMEL	Besitzer: Bildpflanze; örtlicher Blüten-/Blattauszug. Karten: danach · Posten; einsetzen · weiter; bereit; dies.	NO	water|patient|disease|body part|species unless card or owner explicitly supplies it
H4-S001	H4	f55v	M05_STATE_CLOSE	Bildpflanze; örtlicher Blattauszug und gebundener Rest	bemessen | Sollmaß | Posten · Anteil | Posten · Anteil | kühlen	KEINE KLAMMERFORMEL	Besitzer: Bildpflanze; örtlicher Blattauszug und gebundener Rest. Karten: bemessen; Sollmaß; Posten · Anteil; Posten · Anteil; kühlen.	NO	water|patient|disease|body part|species unless card or owner explicitly supplies it
