master_card_id	master_form	event_count	records	old_value_de	short_value_de	owner_noun_hits	old_value_over_three_words	decision	owner_argument_policy
MC001	chdal	1	B5	übertragen · Zielstelle	übertragen · Ziel	Zielstelle	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC003	sheedy	1	B3	absetzen · länger; schließen	absetzen · länger; schließen	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_BATCH_OR_STATION_STATE
MC006	chokcheo	1	H5	einsetzen · Auszug	einsetzen · Auszug	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	PICTURE_MATERIAL_OR_LOCAL_PREPARATION
MC008	lchy	1	B2	abführen · Posten	abführen · Posten	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	LOCAL_SOURCE_PATH_TARGET
MC009	chary	1	B3	Ausgang · Posten	Quelle · Posten	Ausgang	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC010	chodaly	1	H5	Zutat · Zielstelle · Posten	Zugabe · Ziel · Posten	Zielstelle|Zutat	NO	REMOVE_OWNER_NOUN	PICTURE_MATERIAL_OR_LOCAL_PREPARATION
MC011	lchedar	1	B2	abführen · übertragen · Ausgang	abführen · übertragen · Quelle	Ausgang	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC014	chair	1	H1	Flüssigkeitslauf	Lauf	Flüssigkeitslauf	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC015	qokokchy	1	H5	einsetzen · einsetzen · Posten	einsetzen · einsetzen · Posten	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	LOCAL_EXEMPLAR_OWNER
MC016	rol	1	B1	weiter	weiter	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_SEQUENCE
MC018	qotedaiin	1	B3	danach · kurz · Sollmaß	danach · kurz · Sollmaß	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_BATCH_OR_STATION_STATE
MC020	solkeey	1	B6	auffangen · länger · Posten	auffangen · länger · Posten	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_BATCH_OR_STATION_STATE
MC021	oltchy	1	H4	weiter · bereitstellen · Posten	weiter · bereitstellen · Posten	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_BATCH_OR_STATION_STATE
MC022	chckhal	1	B4	Durchgang · Zielstelle	Passage · Ziel	Zielstelle|Durchgang	NO	REMOVE_OWNER_NOUN	LOCAL_MEDIUM_PATH_OR_PRODUCT
MC023	kair	1	B1	Flüssigkeitslauf	Lauf	Flüssigkeitslauf	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC024	qokol	1	B4	einsetzen · weiter	einsetzen · weiter	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_SEQUENCE
MC027	oykchor	1	H2	Posten · bearbeiten · Ansatz	Posten · bearbeiten · Bereitung	Ansatz	NO	REMOVE_OWNER_NOUN	PICTURE_MATERIAL_OR_LOCAL_PREPARATION
MC029	lar	1	B2	abführen · Ausgang	abführen · Quelle	Ausgang	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC030	lo	1	B3	abführen	abführen	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	LOCAL_SOURCE_PATH_TARGET
MC031	dalchdy	1	B3	Zielstelle · übertragen; schließen	Ziel · übertragen; schließen	Zielstelle	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC033	oiiin	2	B1|B3	Arbeitsstufe	Arbeitsstufe	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_ITEM_AND_LOCAL_UNIT
MC036	solkaiin	1	B2	auffangen · Sollmaß	auffangen · Sollmaß	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_BATCH_OR_STATION_STATE
MC037	tchody	1	H3	Zutat; schließen	Zugabe; schließen	Zutat	NO	REMOVE_OWNER_NOUN	PICTURE_MATERIAL_OR_LOCAL_PREPARATION
MC038	lshedy	2	B1	waschen; schließen	waschen; schließen	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	LOCAL_MEDIUM_PATH_OR_PRODUCT
MC041	okchol	1	H3	einsetzen · weiter	einsetzen · weiter	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_SEQUENCE
MC042	cheedar	1	B3	übertragen · Ausgang	übertragen · Quelle	Ausgang	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC043	shecthedchy	1	B3	bereitstellen · übertragen · Posten	bereitstellen · übertragen · Posten	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_BATCH_OR_STATION_STATE
MC044	qokar	1	B2	einsetzen · Ausgang	einsetzen · Quelle	Ausgang	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC046	raly	1	B6	Zielstelle · Posten	Ziel · Posten	Zielstelle	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC047	ykain	1	H4	Posten · Anteil	Posten · Anteil	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_ITEM_AND_LOCAL_UNIT
MC048	kaiiin	1	H2	Arbeitsstufe	Arbeitsstufe	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_ITEM_AND_LOCAL_UNIT
MC049	schoal	1	H3	Zutat · Zielstelle	Zugabe · Ziel	Zielstelle|Zutat	NO	REMOVE_OWNER_NOUN	PICTURE_MATERIAL_OR_LOCAL_PREPARATION
MC050	solkey	1	B4	auffangen · kurz · Posten	auffangen · kurz · Posten	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_BATCH_OR_STATION_STATE
MC051	lchedal	1	B1	abführen · übertragen · Zielstelle	abführen · übertragen · Ziel	Zielstelle	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC052	qekey	1	B6	bearbeiten · kurz · Posten	bearbeiten · kurz · Posten	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_BATCH_OR_STATION_STATE
MC053	otol	1	H2	danach · weiter	danach · weiter	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_SEQUENCE
MC054	qokaly	1	B2	einsetzen · Zielstelle · Posten	einsetzen · Ziel · Posten	Zielstelle	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC056	ral	1	B1	Zielstelle	Ziel	Zielstelle	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC057	otchedy	2	B3	danach · übertragen; schließen	danach · übertragen; schließen	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	LOCAL_SOURCE_PATH_TARGET
MC058	sheckhal	1	B1	Durchgang · kurz · Zielstelle	Passage · kurz · Ziel	Zielstelle|Durchgang	NO	REMOVE_OWNER_NOUN	LOCAL_MEDIUM_PATH_OR_PRODUCT
MC059	dain	2	B4|B6	Tuch	Trägereinlage	Tuch	NO	REMOVE_OWNER_NOUN	PICTURE_MATERIAL_OR_LOCAL_PREPARATION
MC061	sshkchdy	1	B1	halten · bearbeiten · übertragen; schließen	Haltetransfer; Schluss	NONE	YES	COMPRESS_SENTENCE_SIZED_VALUE	ACTIVE_BATCH_OR_STATION_STATE
MC062	shoyty	1	H3	Zutat · Posten · Teil	Zugabe · Posten · Teil	Zutat	NO	REMOVE_OWNER_NOUN	PICTURE_MATERIAL_OR_LOCAL_PREPARATION
MC063	oteey	2	B2	danach · länger · Posten	danach · länger · Posten	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_BATCH_OR_STATION_STATE
MC064	chedchy	1	B3	übertragen · Posten	übertragen · Posten	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	LOCAL_SOURCE_PATH_TARGET
MC065	ls	1	B2	abführen	abführen	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	LOCAL_SOURCE_PATH_TARGET
MC066	lcheey	1	B2	abführen · Klarlauf	abführen · Klarlauf	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	LOCAL_MEDIUM_PATH_OR_PRODUCT
MC067	otchdy	1	B5	danach · übertragen; schließen	danach · übertragen; schließen	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	LOCAL_SOURCE_PATH_TARGET
MC068	sotodan	1	H5	danach · anwenden	danach · anwenden	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	VISIBLE_APPLICATION_OR_STORAGE_OWNER
MC069	otytchol	1	H1	danach · Teil · weiter	danach · Teil · weiter	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_ITEM_AND_LOCAL_UNIT
MC070	pchedy	1	B2	zuführen · übertragen; schließen	zuführen · übertragen; schließen	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	LOCAL_SOURCE_PATH_TARGET
MC071	dchey	1	H1	Wurzel · Posten	Grundteil	Wurzel · Posten	NO	REMOVE_OWNER_NOUN	PICTURE_MATERIAL_OR_LOCAL_PREPARATION
MC072	orain	1	H4	Ansatz · Anteil	Bereitung · Anteil	Ansatz	NO	REMOVE_OWNER_NOUN	PICTURE_MATERIAL_OR_LOCAL_PREPARATION
MC073	qcthey	2	B2|B3	bereitstellen · kurz · Posten	bereitstellen · kurz · Posten	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_BATCH_OR_STATION_STATE
MC075	ycheor	1	H2	Posten · Auszug · Ansatz	Posten · Auszug · Bereitung	Ansatz	NO	REMOVE_OWNER_NOUN	PICTURE_MATERIAL_OR_LOCAL_PREPARATION
MC076	dsheol	1	B1	halten · kurz · weiter	halten · kurz · weiter	NONE	NO	KEEP_SHORT_SPECIALIST_VALUE	ACTIVE_BATCH_OR_STATION_STATE
MC077	kchal	1	H5	bearbeiten · Zielstelle	bearbeiten · Ziel	Zielstelle	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC078	olsaly	1	B3	Zielstelle · Posten	Ziel · Posten	Zielstelle	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
MC079	daldy	1	B2	Zielstelle; schließen	Ziel; schließen	Zielstelle	NO	REMOVE_OWNER_NOUN	LOCAL_SOURCE_PATH_TARGET
