audit_id	audit_role	page	physical_folio	locus	modern_exact_pair_directions	relevant_stolfi_fragment	stolfi_boundary_class	representative_definite_dot	available_stolfi_line	target_excluded_from_comparator_count	supports_general_stolfi_dot_as_physical_gap	semantic_credit
G784-D000	TARGET_LEGACY_SPLIT	f88r	f88	f88r.22	TARGET_LONG_WHOLE	chor,chol.sal	COMMA_THEN_DOT	0	1	0	0	0
G784-D001	GDT759_PAIR_DOT_COMPARATOR	f2v	f2	f2v.6	BOTH	chol.chor.chol	DOT	1	1	1	0	0
G784-D002	GDT759_PAIR_DOT_COMPARATOR	f3r	f3	f3r.8	CHOR_CHOL	chor.chol	DOT	1	1	1	0	0
G784-D003	GDT759_PAIR_DOT_COMPARATOR	f9v	f9	f9v.2	CHOL_CHOR	chol.chor	DOT	1	1	1	0	0
G784-D004	GDT759_PAIR_DOT_COMPARATOR	f15v	f15	f15v.12	CHOL_CHOR	chol.chor	DOT	1	1	1	0	0
G784-D005	GDT759_PAIR_DOT_COMPARATOR	f16v	f16	f16v.5	CHOR_CHOL	chor.chol	DOT	1	1	1	0	0
G784-D006	GDT759_PAIR_DOT_COMPARATOR	f16v	f16	f16v.9	CHOL_CHOR	chol.chor	DOT	1	1	1	0	0
G784-D007	GDT759_PAIR_DOT_COMPARATOR	f28v	f28	f28v.3	CHOR_CHOL	chor.chol	DOT	1	1	1	0	0
G784-D008	GDT759_PAIR_DOT_COMPARATOR	f32v	f32	f32v.10	CHOR_CHOL	chor.chol	DOT	1	1	1	0	0
G784-D009	GDT759_PAIR_DOT_COMPARATOR	f42v	f42	f42v.1	CHOL_CHOR	chol.chor	DOT	1	1	1	0	0
G784-D010	GDT759_PAIR_DOT_COMPARATOR	f47r	f47	f47r.7	CHOL_CHOR	chol.chor	DOT	1	1	1	0	0
G784-D011	GDT759_PAIR_DOT_COMPARATOR	f49v	f49	f49v.50	CHOL_CHOR	chol.chor	DOT	1	1	1	0	0
G784-D012	GDT759_PAIR_DOT_COMPARATOR	f100r	f100	f100r.15	CHOR_CHOL	chor.chol	DOT	1	1	1	0	0
G784-D013	GDT759_PAIR_DOT_COMPARATOR	f100r	f100	f100r.23	CHOR_CHOL	chor.chol	DOT	1	1	1	0	0
