card_no	surfaces	component_recipe	selected_roots	portable_contributions_de	composed_reading_de	events	pages	event_ids
PROC001	dchey	CH+E+Y	Y	ARBEITSPOSTEN	ABNEHMEN · KURZ · ARBEITSPOSTEN	1	f10r	E001
PROC004	chety|chty	T+Y	Y	ARBEITSPOSTEN	EINTRAGEN · ARBEITSPOSTEN	2	f10r|f83r	E004|E311
PROC007	otytchol	OT+Y+T+CH+OL	Y	ARBEITSPOSTEN	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	1	f10r	E007
PROC008	choky|oky|qoky	OK+Y	Y	ARBEITSPOSTEN	ANSETZEN · ARBEITSPOSTEN	10	f10r|f56r|f81v|f82r|f83r	E008|E081|E085|E140|E188|E195|E247|E251|E298|E323
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	AIIN	SOLLMASS	SOLLMASS	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	E009|E022|E030|E051|E057|E061|E068|E077|E100|E116|E118|E207|E217|E233|E274|E299|E332|E338|E369|E377
PROC010	etyd	E+T+Y	Y	ARBEITSPOSTEN	KURZ · EINTRAGEN · ARBEITSPOSTEN	1	f10r	E010
PROC011	chokchy|okchy|qokchy	OK+Y	Y	ARBEITSPOSTEN	ANSETZEN · ARBEITSPOSTEN	3	f10r|f56r	E011|E091|E095
PROC014	checthy|cthy|shcthy	CTH+Y	Y	ARBEITSPOSTEN	BEREIT · ARBEITSPOSTEN	7	f10r|f11r|f83r	E014|E016|E054|E271|E279|E289|E310
PROC015	ycheor	Y+CH+E+OR	Y	ARBEITSPOSTEN	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ	1	f10r	E015
PROC017	cthaiin	CTH+AIIN	AIIN	SOLLMASS	BEREIT · SOLLMASS	1	f10r	E018
PROC018	qoctholy	O+CTH+OL+Y	Y	ARBEITSPOSTEN	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	1	f10r	E019
