event_id	page	record	statement_id	card_no	surface	component_recipe	selected_roots	portable_contributions_de	composed_reading_de
E001	f10r	H1	H1-S001	PROC001	dchey	CH+E+Y	Y	ARBEITSPOSTEN	ABNEHMEN · KURZ · ARBEITSPOSTEN
E004	f10r	H1	H1-S001	PROC004	chty	T+Y	Y	ARBEITSPOSTEN	EINTRAGEN · ARBEITSPOSTEN
E007	f10r	H1	H1-S001	PROC007	otytchol	OT+Y+T+CH+OL	Y	ARBEITSPOSTEN	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN
E008	f10r	H1	H1-S001	PROC008	oky	OK+Y	Y	ARBEITSPOSTEN	ANSETZEN · ARBEITSPOSTEN
E009	f10r	H1	H1-S001	PROC009	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E010	f10r	H1	H1-S001	PROC010	etyd	E+T+Y	Y	ARBEITSPOSTEN	KURZ · EINTRAGEN · ARBEITSPOSTEN
E011	f10r	H1	H1-S002	PROC011	qokchy	OK+Y	Y	ARBEITSPOSTEN	ANSETZEN · ARBEITSPOSTEN
E014	f10r	H1	H1-S002	PROC014	cthy	CTH+Y	Y	ARBEITSPOSTEN	BEREIT · ARBEITSPOSTEN
E015	f10r	H2	H2-S001	PROC015	ycheor	Y+CH+E+OR	Y	ARBEITSPOSTEN	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ
E016	f10r	H2	H2-S001	PROC014	cthy	CTH+Y	Y	ARBEITSPOSTEN	BEREIT · ARBEITSPOSTEN
E018	f10r	H2	H2-S001	PROC017	cthaiin	CTH+AIIN	AIIN	SOLLMASS	BEREIT · SOLLMASS
E019	f10r	H2	H2-S001	PROC018	qoctholy	O+CTH+OL+Y	Y	ARBEITSPOSTEN	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN
E020	f10r	H2	H2-S001	PROC019	dy	Y	Y	ARBEITSPOSTEN	ARBEITSPOSTEN
E021	f10r	H2	H2-S001	PROC019	chy	Y	Y	ARBEITSPOSTEN	ARBEITSPOSTEN
E022	f10r	H2	H2-S001	PROC009	taiin	AIIN	AIIN	SOLLMASS	SOLLMASS
