comparison_unit	h3_count	h4_count	shared	interpretation_de
SOURCE_DRAW	2	1	YES	gemeinsame Werkstattoperation
ACTIVATE_CHARGE	3	7	YES	gemeinsame Werkstattoperation
TARGET_HANDOFF	1	1	YES	gemeinsame Werkstattoperation
METER_CHECK	2	5	YES	gemeinsame Werkstattoperation
MOVE_PASS	1	0	NO	H3-spezifischer Schwerpunkt
HOLD_STATE	4	0	NO	H3-spezifischer Schwerpunkt
CONTINUE_USE	4	4	YES	gemeinsame Werkstattoperation
CLOSE	1	2	YES	gemeinsame Werkstattoperation
EXACT_CARD_PROC009	1	3	YES	Maß
EXACT_CARD_PROC019	3	1	YES	dies
