event_id	statement_id	locus	surface	card_no	component_parse	card_reading	primitive	reverse_stage	source_function	minimum_source_clause_de	owner_source	owner_noun_de	content_license
E056	H4-S001	f55v.5	qokaiin	PROC038	OK+AIIN	ansetzen · Maß	METER_CHECK	ST01_SET_MEASURE	SET_MEASURE	ein Maß für den Arbeitsgang setzen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E057	H4-S001	f55v.5	chaiin	PROC009	AIIN	Maß	METER_CHECK	ST01_SET_MEASURE	MEASURE	das vorgeschriebene Maß nehmen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E058	H4-S001	f55v.5	ykain	PROC039	Y+K+AIN	dies · zuführen · Portion	ACTIVATE_CHARGE	ST02_FEED_PORTIONS_CLOSE	FEED_PORTION	diesem Posten eine Portion zuführen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E059	H4-S001	f55v.5	ykan	PROC040	Y+K+AIN	dies · zuführen · Portion	ACTIVATE_CHARGE	ST02_FEED_PORTIONS_CLOSE	FEED_PORTION	eine weitere Portion zuführen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E060	H4-S001	f55v.5	ody	PROC041	O+DY	Arbeitsgang · Schluss	CONTINUE_USE>CLOSE	ST02_FEED_PORTIONS_CLOSE	CLOSE_WORK	den Arbeitsgang schließen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E061	H4-S002	f55v.5	daiin	PROC009	AIIN	Maß	METER_CHECK	ST03_MEASURE_TRANSFER_STORE	MEASURE	das vorgeschriebene Maß nehmen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E062	H4-S002	f55v.5	chedy	PROC042	CHD+Y	umsetzen · dies	ACTIVATE_CHARGE	ST03_MEASURE_TRANSFER_STORE	TRANSFER_ITEM	diesen Posten umsetzen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E063	H4-S002	f55v.5	talam	PROC043	TALAM	verwahren	CONTINUE_USE	ST03_MEASURE_TRANSFER_STORE	STORE	ihn verwahren	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E064	H4-S003	f55v.11	ykaiin	PROC044	Y+K+AIIN	dies · zuführen · Maß	METER_CHECK	ST04_FEED_MEASURE	FEED_MEASURE	diesem Posten das vorgeschriebene Maß zuführen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E065	H4-S003	f55v.11	cheoar	PROC045	CHEO+AR	abziehen · kurz · Arbeitsgang · von dort	SOURCE_DRAW	ST05_DRAW_SOURCE	DRAW_FROM_SOURCE	kurz von dort abziehen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E066	H4-S003	f55v.11	cheeky	PROC046	CHK+EE+Y	wärmen · länger · dies	ACTIVATE_CHARGE	ST06_HEAT_CONTINUE_CLOSE	HEAT_LONGER	diesen Posten länger wärmen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E067	H4-S003	f55v.11	oldy	PROC047	OL+DY	fortsetzen · Schluss	CONTINUE_USE>CLOSE	ST06_HEAT_CONTINUE_CLOSE	CONTINUE_CLOSE	fortsetzen und den Schritt schließen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E068	H4-S004	f55v.11	aiin	PROC009	AIIN	Maß	METER_CHECK	ST07_ASSIGN_TARGET	MEASURE	das vorgeschriebene Maß nehmen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E069	H4-S004	f55v.11	okal	PROC048	OK+AL	ansetzen · Zielstelle	TARGET_HANDOFF	ST07_ASSIGN_TARGET	SET_AT_TARGET	an der Zielstelle ansetzen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E070	H4-S004	f55v.11	oltchy	PROC049	OL+T+Y	fortsetzen · eintragen · dies	ACTIVATE_CHARGE	ST08_CONTINUE_WITH_PREPARATION	CONTINUE_ENTER_ITEM	diesen Posten weiter eintragen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E071	H4-S004	f55v.11	or	PROC016	OR	Ansatz	ACTIVATE_CHARGE	ST08_CONTINUE_WITH_PREPARATION	PREPARATION	den Ansatz nehmen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E072	H4-S004	f55v.11	y	PROC019	Y	dies	CONTINUE_USE	ST08_CONTINUE_WITH_PREPARATION	CURRENT_ITEM	diesen Posten nehmen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
E073	H4-S004	f55v.11	orain	PROC050	OR+AIN	Ansatz · Portion	ACTIVATE_CHARGE	ST08_CONTINUE_WITH_PREPARATION	PREPARATION_PORTION	eine Portion des Ansatzes nehmen	IMAGE_H4_WHOLE_BROAD_LEAF_PLANT	die abgebildete breitblättrige Pflanze	CARD_PLUS_VISIBLE_OWNER
