rule_id	surface	role	expected_v65_gloss_de	fraction_de	share_de	stage_de	class_de	ar_level
C001	or	OR_PORTION	Drogenportion	Drogenportion	Drogenportion	Drogenportion	Drogenportion	NONE
C002	kor	OR_PORTION	heiße Drogenportion	heiße Drogenportion	heiße Drogenportion	heiße Drogenportion	heiße Drogenportion	NONE
C003	lor	OR_PORTION	Holzportion	Holzportion	Holzportion	Holzportion	Holzportion	NONE
C004	tar	AR_HEAD	kalte Drogenfraktion I	kalte Drogenfraktion I	kalter Drogenanteil I	kaltes Drogenmaterial auf Stufe I	kalter Drogenstoff, Klasse I	I
C005	sar	AR_HEAD	erste Samenfraktion	erste Samenfraktion	Samenanteil I	Samen auf Stufe I	Samen, Stoffklasse I	I
C006	sair	AR_HEAD	zweite Samenfraktion	zweite Samenfraktion	Samenanteil II	Samen auf Stufe II	Samen, Stoffklasse II	II
C007	dar	AR_HEAD	abgemessene Fraktion I	abgemessene Fraktion I	abgemessener Anteil I	abgemessenes Material auf Stufe I	abgemessenes Material der Klasse I	I
C008	dair	AR_HEAD	abgemessene Fraktion II	abgemessene Fraktion II	abgemessener Anteil II	abgemessenes Material auf Stufe II	abgemessenes Material der Klasse II	II
C009	qodor	OR_PORTION_ACTION	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen	NONE
C010	aror	AR_PLUS_OR	eine Portion der ersten Drogenfraktion	eine Portion der ersten Drogenfraktion	eine Portion des Drogenanteils I	eine Portion des Drogenmaterials auf Stufe I	eine Portion Drogenstoff der Klasse I	I
C011	oroiir	OR_PLUS_AR	eine Portion der dritten Ansatzfraktion	eine Portion der dritten Ansatzfraktion	eine Portion des Ansatzanteils III	eine Portion des Ansatzes auf Zubereitungsstufe III	eine Portion Ansatzstoff der Klasse III	III
