event_id	page	record	statement_id	surface	exact_card_id	component_recipe	relative_components	relative_reading_de	complete_card_reading_de	absolute_value_needed
E001	f10r	H1	H1-S001	dchey	PROC001	CH+E+Y	E	KURZ	ENTNEHMEN · KURZ · POSTEN	CALIBRATION_ONLY
E009	f10r	H1	H1-S001	daiin	PROC009	AIIN	AIIN	SOLLMASS	SOLLMASS	YES
E010	f10r	H1	H1-S001	etyd	PROC010	E+T+Y	E	KURZ	KURZ · BEARBEITEN · POSTEN	CALIBRATION_ONLY
E015	f10r	H2	H2-S001	ycheor	PROC015	Y+CH+E+OR	E	KURZ	POSTEN · ENTNEHMEN · KURZ · ANSATZ	CALIBRATION_ONLY
E018	f10r	H2	H2-S001	cthaiin	PROC017	CTH+AIIN	AIIN	SOLLMASS	BEREITEN · SOLLMASS	YES
E022	f10r	H2	H2-S001	taiin	PROC009	AIIN	AIIN	SOLLMASS	SOLLMASS	YES
E030	f10r	H2	H2-S002	daiin	PROC009	AIIN	AIIN	SOLLMASS	SOLLMASS	YES
E036	f10r	H2	H2-S003	kaiiin	PROC024	K+IIN	IIN	EINSTELLSTUFE	ZUGEBEN · STUFE	YES
E038	f10r	H2	H2-S003	chodaiin	PROC025	CH+O+AIIN	AIIN	SOLLMASS	ENTNEHMEN · ARBEITSGANG · SOLLMASS	YES
E042	f11r	H3	H3-S001	shfydaiin	PROC029	SH+Y+AIIN	AIIN	SOLLMASS	HALTEN · POSTEN · SOLLMASS	YES
E044	f11r	H3	H3-S001	shey	PROC031	SH+EE+Y	EE	LAENGER	HALTEN · LANG · POSTEN	CALIBRATION_ONLY
E051	f11r	H3	H3-S003	daiin	PROC009	AIIN	AIIN	SOLLMASS	SOLLMASS	YES
E056	f55v	H4	H4-S001	qokaiin	PROC038	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS	YES
E057	f55v	H4	H4-S001	chaiin	PROC009	AIIN	AIIN	SOLLMASS	SOLLMASS	YES
E058	f55v	H4	H4-S001	ykain	PROC039	Y+K+AIN	AIN	PORTION	POSTEN · ZUGEBEN · PORTION	CALIBRATION_ONLY
E061	f55v	H4	H4-S002	daiin	PROC009	AIIN	AIIN	SOLLMASS	SOLLMASS	YES
E064	f55v	H4	H4-S003	ykaiin	PROC044	Y+K+AIIN	AIIN	SOLLMASS	POSTEN · ZUGEBEN · SOLLMASS	YES
E065	f55v	H4	H4-S003	cheoar	PROC045	CH+E+O+AR	E	KURZ	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	CALIBRATION_ONLY
E066	f55v	H4	H4-S003	cheeky	PROC046	CHK+EE+Y	EE	LAENGER	WAERMEN · LANG · POSTEN	CALIBRATION_ONLY
E068	f55v	H4	H4-S004	aiin	PROC009	AIIN	AIIN	SOLLMASS	SOLLMASS	YES
E073	f55v	H4	H4-S004	orain	PROC050	OR+AIN	AIN	PORTION	ANSATZ · PORTION	CALIBRATION_ONLY
E077	f56r	H5	H5-S001	daiin	PROC009	AIIN	AIIN	SOLLMASS	SOLLMASS	YES
E086	f56r	H5	H5-S002	cheeckhody	PROC057	CH+EE+CKH+O+DY	EE	LAENGER	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	CALIBRATION_ONLY
E089	f56r	H5	H5-S003	kchey	PROC059	K+E+Y	E	KURZ	ZUGEBEN · KURZ · POSTEN	CALIBRATION_ONLY
E092	f56r	H5	H5-S004	chokcheo	PROC061	OK+CH+E+O	E	KURZ	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	CALIBRATION_ONLY
E097	f56r	H5	H5-S005	sotodan	PROC064	OT+O+AIN	AIN	PORTION	DANACH · ARBEITSGANG · PORTION	CALIBRATION_ONLY
E099	f56r	H5	H5-S006	keol	PROC066	K+E+OL	E	KURZ	ZUGEBEN · KURZ · WEITER	CALIBRATION_ONLY
E100	f56r	H5	H5-S006	daiin	PROC009	AIIN	AIIN	SOLLMASS	SOLLMASS	YES
E101	f81v	B1	B1-S001	qokedy	PROC067	OK+E+DY	E	KURZ	ANSETZEN · KURZ · SCHLUSS	CALIBRATION_ONLY
E102	f81v	B1	B1-S002	okaiin	PROC038	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS	YES
E107	f81v	B1	B1-S002	kain	PROC069	K+AIN	AIN	PORTION	ZUGEBEN · PORTION	CALIBRATION_ONLY
E108	f81v	B1	B1-S002	olkain	PROC070	OL+K+AIN	AIN	PORTION	WEITER · ZUGEBEN · PORTION	CALIBRATION_ONLY
E115	f81v	B1	B1-S002	sheckhal	PROC073	SH+E+CKH+AL	E	KURZ	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	CALIBRATION_ONLY
