handoff_word_id	joint_tuple_id	source_reading_de	handoff_atomic_value_de	surface_forms	herbal_events	bio_events	total_events	herbal_records	bio_records	portable_rule
HW01	2f1c5e56e8f0ff459065	Sollmaß	Sollmaß	aiin|chaiin|daiin|saiin|taiin	9	11	20	H1|H2|H3|H4|H5	B1|B2|B3|B4|B5|B6	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW02	dcda95c81a5460feb191	fortsetzen	Fortsetzung	cheol|chol|ol|qol|sol|tol	3	16	19	H1|H2	B1|B3|B4|B5|B6	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW03	b921a237be883a820352	dieser Arbeitsposten	Diesposten	chey|chy|dy|shy|sy|y	9	9	18	H2|H3|H4	B1|B2|B3|B4|B6	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW04	6f7ff8287eddf4da9fdb	den laufenden Posten umsetzen oder durcharbeiten	Umsetzen	chdy|chedy	1	10	11	H4	B1|B3|B4|B5	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW05	276a7c2d74d1143446f4	Posten ansetzen	Einsetzen	choky|oky|qoky	3	7	10	H1|H5	B1|B2|B3|B4	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW06	dd0ecaf5e27d81befffc	Stelle	Stelle	al|chal|cheal|dal|sal|tal	1	9	10	H5	B1|B2|B3|B4|B5	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW07	b5fcea1eaed06b2f2291	auf Sollmaß einstellen	Sollstellung	okaiin|qokaiin	1	8	9	H4	B1|B2|B3	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW08	7a4bb8136330ee4e6e56	Ansatz	Ansatz	chor|or|shor|sor	5	2	7	H2|H4	B3|B4	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW09	e0b630cb1b5df5e7105b	bereit	Bereit	checthy|cthy|shcthy	3	4	7	H1|H2|H3	B3	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW10	308e8ea2d5d190c498e8	an die Stelle setzen	Zieleinsatz	okal|qokal	1	5	6	H4	B1|B2|B3	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW11	4d4559019a961b834aa1	aus demselben Vorrat	Gleichvorrat	char|dar|sar	2	3	5	H1|H2	B1|B2|B3	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW12	b5df9126607030b95175	Klarauszug	Klarauszug	cheey|shey	1	3	4	H3	B2|B4	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW13	1b1ffdd869fb1429ad03	fortsetzen; Schluss	Fortschluss	oldy	1	1	2	H4	B4	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW14	2c1a5fd92b9e3c762242	länger wärmen	Langwärme	cheeky	1	1	2	H4	B4	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW15	80ebbbbf238eee9f0aef	zerkleinern	Zerkleinern	chety|chty	1	1	2	H1	B3	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW16	dec401773c1f0347793d	Fortsetzungsansatz	Fortsetzungsansatz	cholor|olor	1	1	2	H2	B1	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
HW17	faf321940aed922846a9	Folgeposten	Folgeposten	otchey	1	1	2	H5	B4	SAME_CARD_SAME_SHORT_MEANING_ACROSS_HERBAL_AND_BIO
