global_field_id	section	field_status	hand_a_sequence	hand_c_sequence	card_id_sequence	decoded_card_id_sequence	changed_tokens	position_fallbacks	reading_de
N01	A	OPEN	dchol shey aiin	dchol shey daiin	MC142|MC119|MC039	MC142|MC119|MC039	1	0	vom vorigen Klarauszug ein Sollmass nehmen
N02	A	CLOSED	cheky dain chedy qokeedy	cheky dain chedy qokeedy	MC147|MC059|MC074|MC082	MC147|MC059|MC074|MC082	0	0	kurz waermen Einlage setzen Charge ueberfuehren lange einwirken
N03	A	CLOSED	shckhedy	shckhedy	MC143	MC143	0	0	erster Durchgang
N04	A	CLOSED	shckhedy	shckhedy	MC143	MC143	0	0	zweiter Durchgang
N05	A	CLOSED	kain dal qoky lshedy	kain al qoky lshedy	MC105|MC154|MC026|MC038	MC105|MC154|MC026|MC038	1	1	Anteil zur Zielstelle bringen einsetzen und waschen
N06	C	CLOSED	dchol aiin cheky okal okey kain chedy dal shey aiin dain shckhedy	dchol daiin cheky okal qokey kain chedy al shey daiin dain shckhedy	MC142|MC039|MC147|MC040|MC007|MC105|MC074|MC154|MC119|MC039|MC059|MC143	MC142|MC039|MC147|MC040|MC007|MC105|MC074|MC154|MC119|MC039|MC059|MC143	4	0	Vorigen Ansatz messen, kurz waermen und am ersten Ziel kurz halten; weiteren Anteil dorthin ueberfuehren; Klarauszug messen, Einlage setzen und einmal durchlassen.
N07	C	CLOSED	qotchy otal qoky lshedy	qotchy qotal qoky lshedy	MC107|MC093|MC026|MC038	MC107|MC093|MC026|MC038	1	0	Zum Folgeposten und naechsten Ziel wechseln, dort einsetzen und den Waschgang schliessen.
N08	C	CLOSED	kain talam oldy	kain talam oldy	MC105|MC160|MC019	MC105|MC160|MC019	0	2	Den Restanteil verwahren und fertig markieren.
N09	B	OPEN	talam dchol ykaiin ches	talam dchol ykaiin ches	MC160|MC142|MC170|MC152	MC160|MC142|MC170|MC152	0	4	vom verwahrten vorigen Ansatz eine Sollportion nehmen und teilen
N10	B	CLOSED	ykain ody	ykain ody	MC047|MC100	MC047|MC100	0	1	erste Portion abkuehlen und den Teilvorgang schliessen
N11	B	CLOSED	talam oldy	talam oldy	MC160|MC019	MC160|MC019	0	1	abgekuehlte Portion verwahren und freigeben
N12	B	CLOSED	ykan cheky okal qokedy	ykan cheky okal qokedy	MC148|MC147|MC040|MC083	MC148|MC147|MC040|MC083	0	1	zweite Portion kurz waermen am ersten Ziel einsetzen und kurz einwirken
N13	B	CLOSED	qotchy otal qoky rshedy	qotchy qotal qoky rshedy	MC107|MC093|MC026|MC084	MC107|MC093|MC026|MC084	1	1	Folgeposten zum naechsten Ziel bringen dort einsetzen und Waschfolge schliessen
N14	D	OPEN	chor char okaiin dl cho qcthey cheol	or char qokaiin dl cho qcthey ol	MC080|MC055|MC120|MC012|MC034|MC073|MC153	MC080|MC055|MC120|MC012|MC034|MC073|MC153	3	0	Ansatz aufnehmen, davon bemessen, Zusatz und weitere Zutat zugeben, kurz vorbereiten und weiterarbeiten.
N15	D	CLOSED	chey cheeky shedal cheedy	chey cheeky shedal shedy	MC123|MC032|MC113|MC128	MC123|MC032|MC113|MC128	1	0	Diesen Posten laenger bearbeiten, am Ziel absetzen und den kurzen Absetzschritt schliessen.
N16	D	CLOSED	otchor okain oiiin chdal dchedy	qotchor okain oiiin chdal schedy	MC013|MC017|MC033|MC001|MC025	MC013|MC017|MC033|MC001|MC025	2	0	Folgeansatz mit einer Portion auf die Arbeitsstufe setzen, zum Ziel ueberfuehren und schliessen.
N17	D	CLOSED	chey okeey chdal lchedy	chey qokeey chdal lchedy	MC123|MC002|MC001|MC155	MC123|MC002|MC001|MC155	1	0	Diesen Posten lange einwirken lassen, zum Ziel ueberfuehren und abfuehren.
N18	D	CLOSED	otchor cho qcthey solkeey ldy	qotchor cho qcthey solkeey ldy	MC013|MC034|MC073|MC020|MC004	MC013|MC034|MC073|MC020|MC004	1	1	Folgeansatz mit weiterer Zutat kurz vorbereiten, lange sammeln, abziehen und schliessen.
