master_card_id	value_de	position_class	observed_events	surface_counts	preferred_surface	preferred_event_ids
MC001	Zieltransfer	MEDIAL	1	chdal:1	chdal	E368
MC002	lange einwirken	INITIAL	3	qokeey:3	qokeey	E175|E194|E293
MC002	lange einwirken	MEDIAL	4	okeey:1|qokeey:3	qokeey	E205|E317|E322
MC003	Langabsetzen; Schluss	FINAL	1	sheedy:1	sheedy	E261
MC004	abziehen; Schluss	FINAL	1	ldy:1	ldy	E184
MC004	abziehen; Schluss	ONLY	1	ldy:1	ldy	E308
MC005	einführen; Schluss	FINAL	1	okchedy:1	okchedy	E151
MC005	einführen; Schluss	ONLY	1	qokchedy:1	qokchedy	E264
MC006	Auszug einsetzen	MEDIAL	1	chokcheo:1	chokcheo	E092
MC007	kurz einwirken	MEDIAL	1	qokey:1	qokey	E142
MC007	kurz einwirken	FINAL	1	okey:1	okey	E220
MC008	Abführgut	ONLY	1	lchy:1	lchy	E202
MC009	Quellposten	FINAL	1	chary:1	chary	E253
MC010	Zielzugabe	MEDIAL	1	chodaly:1	chodaly	E076
MC011	Quellabführung	MEDIAL	1	lchedar:1	lchedar	E215
MC012	Zusatz	MEDIAL	1	dl:1	dl	E129
MC012	Zusatz	FINAL	1	dl:1	dl	E112
MC013	Folgeansatz	INITIAL	1	qotchor:1	qotchor	E024
MC013	Folgeansatz	MEDIAL	1	otchor:1	otchor	E080
MC014	Zuguss	MEDIAL	1	chair:1	chair	E006
MC015	erneut einsetzen	FINAL	1	qokokchy:1	qokokchy	E090
MC016	Anschluss	MEDIAL	1	rol:1	rol	E111
MC017	Anteil zugeben	INITIAL	4	okain:1|qokain:3	qokain	E127|E169|E352
MC017	Anteil zugeben	MEDIAL	3	okain:2|qokain:1	okain	E200|E341
MC018	Kurzsoll	MEDIAL	1	qotedaiin:1	qotedaiin	E305
MC019	fertig	FINAL	1	oldy:1	oldy	E067
MC019	fertig	ONLY	1	oldy:1	oldy	E337
MC020	Langsammlung	INITIAL	1	solkeey:1	solkeey	E373
MC021	Folgebereitung	MEDIAL	1	oltchy:1	oltchy	E070
MC022	Zielpassage	FINAL	1	chckhal:1	chckhal	E355
MC023	Beckenlauf	MEDIAL	1	kair:1	kair	E103
MC024	Weiter einsetzen	INITIAL	1	qokol:1	qokol	E346
MC025	überführen; Schluss	FINAL	1	schedy:1	schedy	E120
MC025	überführen; Schluss	ONLY	3	dchedy:1|schedy:1|tchedy:1	dchedy	E167
MC026	einsetzen	INITIAL	1	qoky:1	qoky	E298
MC026	einsetzen	MEDIAL	6	choky:2|oky:1|qoky:3	qoky	E195|E251|E323
MC026	einsetzen	FINAL	2	qoky:2	qoky	E140|E188
MC026	einsetzen	ONLY	1	qoky:1	qoky	E247
MC027	Arbeitsansatz	INITIAL	1	oykchor:1	oykchor	E032
MC028	weiterführen; Schluss	FINAL	1	olchedy:1	olchedy	E242
MC028	weiterführen; Schluss	ONLY	2	qolchedy:2	qolchedy	E126|E168
