fallback_id	global_token_order	global_field_id	master_card_id	value_de	requested_position	used_evidence_position	selected_surface	reason_de
F01	10	N05	MC105	Anteil	INITIAL	MEDIAL	kain	diese exakte Karte hat keinen beobachteten Beleg in der angeforderten Positionsklasse
F02	30	N08	MC105	Anteil	INITIAL	MEDIAL	kain	diese exakte Karte hat keinen beobachteten Beleg in der angeforderten Positionsklasse
F03	31	N08	MC160	Verwahrort	MEDIAL	FINAL	talam	diese exakte Karte hat keinen beobachteten Beleg in der angeforderten Positionsklasse
F04	33	N09	MC160	Verwahrort	INITIAL	FINAL	talam	diese exakte Karte hat keinen beobachteten Beleg in der angeforderten Positionsklasse
F05	34	N09	MC142	vom vorigen	MEDIAL	INITIAL	dchol	diese exakte Karte hat keinen beobachteten Beleg in der angeforderten Positionsklasse
F06	35	N09	MC170	Sollportion	MEDIAL	INITIAL	ykaiin	diese exakte Karte hat keinen beobachteten Beleg in der angeforderten Positionsklasse
F07	36	N09	MC152	Teilen	FINAL	MEDIAL	ches	diese exakte Karte hat keinen beobachteten Beleg in der angeforderten Positionsklasse
F08	37	N10	MC047	erste Portion	INITIAL	MEDIAL	ykain	diese exakte Karte hat keinen beobachteten Beleg in der angeforderten Positionsklasse
F09	39	N11	MC160	Verwahrort	INITIAL	FINAL	talam	diese exakte Karte hat keinen beobachteten Beleg in der angeforderten Positionsklasse
F10	41	N12	MC148	zweite Portion	INITIAL	MEDIAL	ykan	diese exakte Karte hat keinen beobachteten Beleg in der angeforderten Positionsklasse
F11	48	N13	MC084	Waschschluss	FINAL	ONLY	rshedy	diese exakte Karte hat keinen beobachteten Beleg in der angeforderten Positionsklasse
F12	72	N18	MC020	Langsammlung	MEDIAL	INITIAL	solkeey	diese exakte Karte hat keinen beobachteten Beleg in der angeforderten Positionsklasse
