global_token_order	section	global_field_id	field_position	target_position_class	evidence_position_class	position_fallback	grammar_slot	master_card_id	hand_a_surface	hand_c_surface	surface_changed	support_events	decoded_card_id	value_de	finality_rule
1	A	N01	1	INITIAL	INITIAL	NO	G1	MC142	dchol	dchol	NO	1	MC142	vom vorigen	NOT_OBSERVED_AS_CLOSE
2	A	N01	2	MEDIAL	MEDIAL	NO	G2	MC119	shey	shey	NO	2	MC119	Klarauszug	NOT_OBSERVED_AS_CLOSE
3	A	N01	3	FINAL	FINAL	NO	G2	MC039	aiin	daiin	YES	3	MC039	Sollmaß	NOT_OBSERVED_AS_CLOSE
4	A	N02	1	INITIAL	INITIAL	NO	G3	MC147	cheky	cheky	NO	1	MC147	kurz wärmen	NOT_OBSERVED_AS_CLOSE
5	A	N02	2	MEDIAL	MEDIAL	NO	G3	MC059	dain	dain	NO	1	MC059	Einlage	NOT_OBSERVED_AS_CLOSE
6	A	N02	3	MEDIAL	MEDIAL	NO	G4	MC074	chedy	chedy	NO	6	MC074	überführen	NOT_OBSERVED_AS_CLOSE
7	A	N02	4	FINAL	FINAL	NO	G4	MC082	qokeedy	qokeedy	NO	5	MC082	lange einwirken; Schluss	ALWAYS_FIELD_FINAL
8	A	N03	1	ONLY	ONLY	NO	G4	MC143	shckhedy	shckhedy	NO	2	MC143	durchlassen; Schluss	ALWAYS_FIELD_FINAL
9	A	N04	1	ONLY	ONLY	NO	G4	MC143	shckhedy	shckhedy	NO	2	MC143	durchlassen; Schluss	ALWAYS_FIELD_FINAL
10	A	N05	1	INITIAL	MEDIAL	YES	G2	MC105	kain	kain	NO	2	MC105	Anteil	NOT_OBSERVED_AS_CLOSE
11	A	N05	2	MEDIAL	MEDIAL	NO	G5	MC154	dal	al	YES	1	MC154	dorthin	NOT_OBSERVED_AS_CLOSE
12	A	N05	3	MEDIAL	MEDIAL	NO	G5	MC026	qoky	qoky	NO	3	MC026	einsetzen	NOT_OBSERVED_AS_CLOSE
13	A	N05	4	FINAL	FINAL	NO	G6	MC038	lshedy	lshedy	NO	1	MC038	Waschgang; Schluss	ALWAYS_FIELD_FINAL
14	C	N06	1	INITIAL	INITIAL	NO	G1	MC142	dchol	dchol	NO	1	MC142	vom vorigen	NOT_OBSERVED_AS_CLOSE
15	C	N06	2	MEDIAL	MEDIAL	NO	G2	MC039	aiin	daiin	YES	6	MC039	Sollmaß	NOT_OBSERVED_AS_CLOSE
16	C	N06	3	MEDIAL	MEDIAL	NO	G3	MC147	cheky	cheky	NO	2	MC147	kurz wärmen	NOT_OBSERVED_AS_CLOSE
17	C	N06	4	MEDIAL	MEDIAL	NO	G5	MC040	okal	okal	NO	2	MC040	dorthin einsetzen	NOT_OBSERVED_AS_CLOSE
18	C	N06	5	MEDIAL	MEDIAL	NO	G4	MC007	okey	qokey	YES	1	MC007	kurz einwirken	NOT_OBSERVED_AS_CLOSE
19	C	N06	6	MEDIAL	MEDIAL	NO	G2	MC105	kain	kain	NO	2	MC105	Anteil	NOT_OBSERVED_AS_CLOSE
20	C	N06	7	MEDIAL	MEDIAL	NO	G4	MC074	chedy	chedy	NO	6	MC074	überführen	NOT_OBSERVED_AS_CLOSE
21	C	N06	8	MEDIAL	MEDIAL	NO	G5	MC154	dal	al	YES	1	MC154	dorthin	NOT_OBSERVED_AS_CLOSE
22	C	N06	9	MEDIAL	MEDIAL	NO	G2	MC119	shey	shey	NO	2	MC119	Klarauszug	NOT_OBSERVED_AS_CLOSE
23	C	N06	10	MEDIAL	MEDIAL	NO	G2	MC039	aiin	daiin	YES	6	MC039	Sollmaß	NOT_OBSERVED_AS_CLOSE
24	C	N06	11	MEDIAL	MEDIAL	NO	G3	MC059	dain	dain	NO	1	MC059	Einlage	NOT_OBSERVED_AS_CLOSE
25	C	N06	12	FINAL	FINAL	NO	G4	MC143	shckhedy	shckhedy	NO	1	MC143	durchlassen; Schluss	ALWAYS_FIELD_FINAL
26	C	N07	1	INITIAL	INITIAL	NO	G5	MC107	qotchy	qotchy	NO	1	MC107	Folgeposten	NOT_OBSERVED_AS_CLOSE
27	C	N07	2	MEDIAL	MEDIAL	NO	G5	MC093	otal	qotal	YES	1	MC093	danach dorthin	NOT_OBSERVED_AS_CLOSE
28	C	N07	3	MEDIAL	MEDIAL	NO	G5	MC026	qoky	qoky	NO	3	MC026	einsetzen	NOT_OBSERVED_AS_CLOSE
29	C	N07	4	FINAL	FINAL	NO	G6	MC038	lshedy	lshedy	NO	1	MC038	Waschgang; Schluss	ALWAYS_FIELD_FINAL
30	C	N08	1	INITIAL	MEDIAL	YES	G2	MC105	kain	kain	NO	2	MC105	Anteil	NOT_OBSERVED_AS_CLOSE
31	C	N08	2	MEDIAL	FINAL	YES	G3	MC160	talam	talam	NO	1	MC160	Verwahrort	NOT_OBSERVED_AS_CLOSE
32	C	N08	3	FINAL	FINAL	NO	G6	MC019	oldy	oldy	NO	1	MC019	fertig	ALWAYS_FIELD_FINAL
33	B	N09	1	INITIAL	FINAL	YES	G1	MC160	talam	talam	NO	1	MC160	Verwahrort	NOT_OBSERVED_AS_CLOSE
34	B	N09	2	MEDIAL	INITIAL	YES	G1	MC142	dchol	dchol	NO	1	MC142	vom vorigen	NOT_OBSERVED_AS_CLOSE
35	B	N09	3	MEDIAL	INITIAL	YES	G2	MC170	ykaiin	ykaiin	NO	1	MC170	Sollportion	NOT_OBSERVED_AS_CLOSE
36	B	N09	4	FINAL	MEDIAL	YES	G2	MC152	ches	ches	NO	1	MC152	Teilen	NOT_OBSERVED_AS_CLOSE
37	B	N10	1	INITIAL	MEDIAL	YES	G2	MC047	ykain	ykain	NO	1	MC047	erste Portion	NOT_OBSERVED_AS_CLOSE
38	B	N10	2	FINAL	FINAL	NO	G6	MC100	ody	ody	NO	1	MC100	Abkühlen	ALWAYS_FIELD_FINAL
39	B	N11	1	INITIAL	FINAL	YES	G3	MC160	talam	talam	NO	1	MC160	Verwahrort	NOT_OBSERVED_AS_CLOSE
40	B	N11	2	FINAL	FINAL	NO	G6	MC019	oldy	oldy	NO	1	MC019	fertig	ALWAYS_FIELD_FINAL
41	B	N12	1	INITIAL	MEDIAL	YES	G2	MC148	ykan	ykan	NO	1	MC148	zweite Portion	NOT_OBSERVED_AS_CLOSE
42	B	N12	2	MEDIAL	MEDIAL	NO	G3	MC147	cheky	cheky	NO	2	MC147	kurz wärmen	NOT_OBSERVED_AS_CLOSE
43	B	N12	3	MEDIAL	MEDIAL	NO	G5	MC040	okal	okal	NO	2	MC040	dorthin einsetzen	NOT_OBSERVED_AS_CLOSE
44	B	N12	4	FINAL	FINAL	NO	G4	MC083	qokedy	qokedy	NO	5	MC083	kurz einwirken; Schluss	ALWAYS_FIELD_FINAL
45	B	N13	1	INITIAL	INITIAL	NO	G2	MC107	qotchy	qotchy	NO	1	MC107	Folgeposten	NOT_OBSERVED_AS_CLOSE
46	B	N13	2	MEDIAL	MEDIAL	NO	G5	MC093	otal	qotal	YES	1	MC093	danach dorthin	NOT_OBSERVED_AS_CLOSE
47	B	N13	3	MEDIAL	MEDIAL	NO	G4	MC026	qoky	qoky	NO	3	MC026	einsetzen	NOT_OBSERVED_AS_CLOSE
48	B	N13	4	FINAL	ONLY	YES	G6	MC084	rshedy	rshedy	NO	1	MC084	Waschschluss	ALWAYS_FIELD_FINAL
49	D	N14	1	INITIAL	INITIAL	NO	G1	MC080	chor	or	YES	1	MC080	Ansatz	NOT_OBSERVED_AS_CLOSE
50	D	N14	2	MEDIAL	MEDIAL	NO	G1	MC055	char	char	NO	2	MC055	davon	NOT_OBSERVED_AS_CLOSE
51	D	N14	3	MEDIAL	MEDIAL	NO	G2	MC120	okaiin	qokaiin	YES	1	MC120	bemessen	NOT_OBSERVED_AS_CLOSE
52	D	N14	4	MEDIAL	MEDIAL	NO	G1	MC012	dl	dl	NO	1	MC012	Zusatz	NOT_OBSERVED_AS_CLOSE
53	D	N14	5	MEDIAL	MEDIAL	NO	G2	MC034	cho	cho	NO	2	MC034	weitere Zutat	NOT_OBSERVED_AS_CLOSE
54	D	N14	6	MEDIAL	MEDIAL	NO	G3	MC073	qcthey	qcthey	NO	1	MC073	kurz vorbereiten	NOT_OBSERVED_AS_CLOSE
55	D	N14	7	FINAL	FINAL	NO	G4	MC153	cheol	ol	YES	1	MC153	weiter	NOT_OBSERVED_AS_CLOSE
56	D	N15	1	INITIAL	INITIAL	NO	G2	MC123	chey	chey	NO	2	MC123	dies	NOT_OBSERVED_AS_CLOSE
57	D	N15	2	MEDIAL	MEDIAL	NO	G3	MC032	cheeky	cheeky	NO	2	MC032	länger bearbeiten	NOT_OBSERVED_AS_CLOSE
58	D	N15	3	MEDIAL	MEDIAL	NO	G5	MC113	shedal	shedal	NO	1	MC113	am Ziel absetzen	NOT_OBSERVED_AS_CLOSE
59	D	N15	4	FINAL	FINAL	NO	G6	MC128	cheedy	shedy	YES	8	MC128	kurz absetzen; Schluss	ALWAYS_FIELD_FINAL
60	D	N16	1	INITIAL	INITIAL	NO	G1	MC013	otchor	qotchor	YES	1	MC013	Folgeansatz	NOT_OBSERVED_AS_CLOSE
61	D	N16	2	MEDIAL	MEDIAL	NO	G2	MC017	okain	okain	NO	2	MC017	Anteil zugeben	NOT_OBSERVED_AS_CLOSE
62	D	N16	3	MEDIAL	MEDIAL	NO	G3	MC033	oiiin	oiiin	NO	1	MC033	Arbeitsstufe	NOT_OBSERVED_AS_CLOSE
63	D	N16	4	MEDIAL	MEDIAL	NO	G5	MC001	chdal	chdal	NO	1	MC001	Zieltransfer	NOT_OBSERVED_AS_CLOSE
64	D	N16	5	FINAL	FINAL	NO	G4	MC025	dchedy	schedy	YES	1	MC025	überführen; Schluss	ALWAYS_FIELD_FINAL
65	D	N17	1	INITIAL	INITIAL	NO	G2	MC123	chey	chey	NO	2	MC123	dies	NOT_OBSERVED_AS_CLOSE
66	D	N17	2	MEDIAL	MEDIAL	NO	G4	MC002	okeey	qokeey	YES	3	MC002	lange einwirken	NOT_OBSERVED_AS_CLOSE
67	D	N17	3	MEDIAL	MEDIAL	NO	G5	MC001	chdal	chdal	NO	1	MC001	Zieltransfer	NOT_OBSERVED_AS_CLOSE
68	D	N17	4	FINAL	FINAL	NO	G4	MC155	lchedy	lchedy	NO	3	MC155	abführen; Schluss	ALWAYS_FIELD_FINAL
69	D	N18	1	INITIAL	INITIAL	NO	G1	MC013	otchor	qotchor	YES	1	MC013	Folgeansatz	NOT_OBSERVED_AS_CLOSE
70	D	N18	2	MEDIAL	MEDIAL	NO	G2	MC034	cho	cho	NO	2	MC034	weitere Zutat	NOT_OBSERVED_AS_CLOSE
71	D	N18	3	MEDIAL	MEDIAL	NO	G3	MC073	qcthey	qcthey	NO	1	MC073	kurz vorbereiten	NOT_OBSERVED_AS_CLOSE
72	D	N18	4	MEDIAL	INITIAL	YES	G5	MC020	solkeey	solkeey	NO	1	MC020	Langsammlung	NOT_OBSERVED_AS_CLOSE
73	D	N18	5	FINAL	FINAL	NO	G6	MC004	ldy	ldy	NO	1	MC004	abziehen; Schluss	ALWAYS_FIELD_FINAL
