master_card_id	value_de	hand_a_surfaces	hand_c_surfaces	changed_occurrences	positional_classes_used
MC002	lange einwirken	okeey	qokeey	1	MEDIAL
MC007	kurz einwirken	okey	qokey	1	MEDIAL
MC013	Folgeansatz	otchor	qotchor	2	INITIAL
MC025	überführen; Schluss	dchedy	schedy	1	FINAL
MC039	Sollmaß	aiin	daiin	3	FINAL|MEDIAL
MC080	Ansatz	chor	or	1	INITIAL
MC093	danach dorthin	otal	qotal	2	MEDIAL
MC120	bemessen	okaiin	qokaiin	1	MEDIAL
MC128	kurz absetzen; Schluss	cheedy	shedy	1	FINAL
MC153	weiter	cheol	ol	1	FINAL
MC154	dorthin	dal	al	2	MEDIAL
