station_id	page	record	visible_owner_de	station_class	accepted_product_forms	function_tags	statements	observed_operations_de	global_flow_claim
B1:OWNER_01	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	COMMON_BATH_WASH_AND_MIXING_POOL	LIQUID|SEMI_SOLID	BATH|COLLECT|FLOW|HOLD|MIX|WASH	21	ansetzen | ansetzen -> zufuehren -> ansetzen -> zufuehren -> zufuehren -> abkuehlen -> fuehren -> halten -> ansetzen -> umsetzen | halten + zufuehren + umsetzen | umsetzen -> absetzen | umsetzen | ansetzen -> fuehren -> abkuehlen | ansetzen + umsetzen | waermen -> absetzen | ansetzen | ansetzen | ansetzen | waschen -> ansetzen -> waschen | waschen | umsetzen -> auffangen -> fuehren + umsetzen | eintragen -> ansetzen + umsetzen | ansetzen -> ansetzen -> absetzen | umsetzen | fuehren -> halten -> auffangen | absetzen | waermen -> halten | nur Objekt, Mass, Ziel oder Zustand setzen	NONE__LOCAL_STATION_ONLY
B2:OWNER_01	f82r	B2	oberes Beckenpaar mit Zylinder	UPPER_BASIN_FILL_AND_TRANSFER	LIQUID	BATH|FEED|FLOW|HOLD|WARM	6	umsetzen | umsetzen | ansetzen -> ansetzen | ansetzen -> fuehren -> fuehren + umsetzen -> ansetzen -> fuehren | ansetzen -> auffangen -> ansetzen -> ansetzen -> waermen -> fuehren | ansetzen -> halten -> ansetzen	NONE__LOCAL_STATION_ONLY
B2:OWNER_02	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	HAND_DEVICE_HOLD_AND_SETTLE	LIQUID|SEMI_SOLID	HOLD|MIX|SETTLE	4	halten | ansetzen -> absetzen | halten | ansetzen -> ansetzen -> halten	NONE__LOCAL_STATION_ONLY
B2:OWNER_03	f82r	B2	mittlere rechte unklare Station	UNCLEAR_CHARGE_AND_TRANSFER_STATION	LIQUID|SEMI_SOLID	APPLY|FEED|FLOW|HOLD	2	ansetzen -> ansetzen -> ansetzen | fuehren + abziehen -> halten -> ansetzen -> fuehren -> ansetzen	NONE__LOCAL_STATION_ONLY
B2:OWNER_04	f82r	B2	unteres grünes Mehrfigurenbecken	LOWER_MULTI_FIGURE_BATH_TRANSFER	LIQUID	BATH|FLOW	2	fuehren + umsetzen | fuehren	NONE__LOCAL_STATION_ONLY
B2:OWNER_05	f82r	B2	kleine Randstationen des unteren Beckens	MARGIN_COOL_HOLD_AND_APPLICATION_CELLS	LIQUID|SEMI_SOLID	APPLY|COOL|HOLD|SETTLE	8	halten -> ansetzen | fuehren + umsetzen -> abziehen + teilen -> ansetzen -> ansetzen -> hineingeben + umsetzen | abkuehlen + halten | ansetzen | abkuehlen + absetzen | nur Objekt, Mass, Ziel oder Zustand setzen | ansetzen | fuehren + umsetzen	NONE__LOCAL_STATION_ONLY
B3:OWNER_01	f83r	B3	obere offene Fächerstation am Rand	OPEN_FAN_COLLECT_AND_WARM_STATION	LIQUID	COLLECT|FLOW|WARM	4	auffangen | waermen | fuehren + umsetzen | ansetzen	NONE__LOCAL_STATION_ONLY
B3:OWNER_02	f83r	B3	mittlere Randfigur im runden Gefäß	ROUND_VESSEL_LOCAL_IMMERSION	LIQUID|SEMI_SOLID	APPLY|BATH|FLOW	5	umsetzen | umsetzen -> ansetzen -> umsetzen | ansetzen -> umsetzen -> ansetzen | fuehren + umsetzen | ansetzen	NONE__LOCAL_STATION_ONLY
B3:OWNER_03	f83r	B3	untere Randfigur im korbartigen Gefäß	BASKET_VESSEL_IMMERSION_AND_SETTLE	LIQUID	BATH|FEED|HOLD|SETTLE	7	hineingeben + umsetzen | halten + umsetzen -> ansetzen -> umsetzen | absetzen | ansetzen -> zufuehren -> ansetzen | ansetzen -> halten | fuehren + umsetzen | fuehren -> ansetzen + umsetzen	NONE__LOCAL_STATION_ONLY
B3:OWNER_04	f83r	B3	unverbundener Zwischenbereich	UNCONNECTED_GENERIC_PREPARATION_CELLS	LIQUID|SEMI_SOLID	COLLECT|COOL|HOLD|MIX|SETTLE	10	ansetzen | absetzen | ansetzen + halten | fuehren + umsetzen | ansetzen -> absetzen -> halten -> umsetzen | umsetzen | fuehren + umsetzen | umsetzen | ansetzen + umsetzen | fuehren -> umsetzen -> ansetzen -> abkuehlen -> auffangen	NONE__LOCAL_STATION_ONLY
B3:OWNER_05	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PAIRED_ARCH_APPLICATION_OR_FLOW	LIQUID|SEMI_SOLID	APPLY|FLOW|SETTLE	8	nur Objekt, Mass, Ziel oder Zustand setzen | ansetzen -> ansetzen | eintragen -> ansetzen | ansetzen -> umsetzen -> umsetzen | ansetzen | umsetzen -> umsetzen | fuehren | eintragen -> absetzen	NONE__LOCAL_STATION_ONLY
B4:OWNER_01	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	PAIRED_ARCH_POULTICE_HOLDING	LIQUID|SEMI_SOLID	APPLY|HOLD|SETTLE|WARM	10	ansetzen | ansetzen -> ansetzen | umsetzen -> ansetzen -> ansetzen -> absetzen | ansetzen + befestigen | umsetzen -> ansetzen | halten | halten | waermen -> halten -> ansetzen | absetzen | nur Objekt, Mass, Ziel oder Zustand setzen	NONE__LOCAL_STATION_ONLY
