boundary_id	record_unit_id	page	boundary_ordinal_in_record	from_locus	to_locus	from_locus_fields	to_locus_fields	from_locus_closure_pattern	to_locus_closure_pattern	from_last_field	from_last_field_closure	from_last_field_selected_skeleton	from_last_field_local_reading	to_first_field	to_first_field_closure	to_first_field_selected_skeleton	to_first_field_local_reading	classification	rationale	strongest_alternative	from_statement_id	to_statement_id	cross_line_statement_id	apprentice_boundary_rule	highlight_f82r_3_to_4	highlight_all_f83r_boundaries	status
H1-LB01	H1	f10r	1	f10r.2	f10r.5	F001	F002	OPEN	OPEN	F001	OPEN	ANWENDEN? MASS?	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	F002	OPEN	BEREIT?	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	RESUME_ACTIVE_ITEM	F001 bleibt OPEN; F002 greift die frisch bereitete und vorige Zubereitung wieder auf, beginnt aber einen zweiten Gebrauch.	START_NEW_CLAUSE: F002 könnte ein unabhängiger zweiter Rezeptzusatz sein.	H1-S001	H1-S002	NONE	Am Zeilenreset neuen Klauselzettel beginnen; Besitzerstatus gemäß Klasse führen.	NO	NO	CREATIVE_SEGMENTATION;NO_NEW_CARD_MEANING
H2-LB01	H2	f10r	1	f10r.6	f10r.8	F003	F004	OPEN	OPEN	F003	OPEN	BEREIT? ANSATZ? MASS?	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	F004	OPEN	ANSATZ? VORIGES? MASS?	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	RESUME_ACTIVE_ITEM	Beide Felder sind OPEN; F004 kehrt mit ANSATZ?, VORIGES? und MASS? zum in F003 begonnenen Arbeitsbestand zurück.	NEXT_PARALLEL_CELL: die abweichende Sammelzeit kann eine zweite Erntevariante eröffnen.	H2-S001	H2-S002	NONE	Am Zeilenreset neuen Klauselzettel beginnen; Besitzerstatus gemäß Klasse führen.	NO	NO	CREATIVE_SEGMENTATION;NO_NEW_CARD_MEANING
H2-LB02	H2	f10r	2	f10r.8	f10r.9	F004	F005	OPEN	OPEN	F004	OPEN	ANSATZ? VORIGES? MASS?	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	F005	OPEN	ANSATZ? ANSATZ?	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	NEXT_PARALLEL_CELL	F004 nennt Sammeln vor der Blüte, F005 beginnt mit geöffneter Blüte und einem ANSATZ?-Doppel; das liest sich als Parallelcharge.	CONTINUE_SAME_CLAUSE: beide OPEN-Felder könnten eine einzige lange Ernte-/Zubereitungsanweisung sein.	H2-S002	H2-S003	NONE	Am Zeilenreset neuen Klauselzettel beginnen; Besitzerstatus gemäß Klasse führen.	NO	NO	CREATIVE_SEGMENTATION;NO_NEW_CARD_MEANING
H3-LB01	H3	f11r	1	f11r.1	f11r.4	F006|F007	F008	TERMINAL|OPEN	OPEN	F007	OPEN	∅	behalte die Blütenkrone zurück	F008	OPEN	MASS?	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	RESUME_ACTIVE_ITEM	Nach dem terminalen Auszug bleibt F007 OPEN und hält die Blütenkrone zurück; F008 nimmt denselben Bildbesitzer als Portion wieder auf.	START_NEW_CLAUSE: F008 kann eine eigenständige Anwendung des Simplex beginnen.	H3-S002	H3-S003	NONE	Am Zeilenreset neuen Klauselzettel beginnen; Besitzerstatus gemäß Klasse führen.	NO	NO	CREATIVE_SEGMENTATION;NO_NEW_CARD_MEANING
H3-LB02	H3	f11r	2	f11r.4	f11r.7	F008	F009	OPEN	OPEN	F008	OPEN	MASS?	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	F009	OPEN	BEREIT?	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	NEXT_PARALLEL_CELL	F008 endet OPEN nach Maß und Aufbinden; F009 eröffnet eine eigens bereitete warme Auflage als parallele Anwendung.	CONTINUE_SAME_CLAUSE: F009 könnte die in F008 nur knapp bezeichnete Auflage ausführen.	H3-S003	H3-S004	NONE	Am Zeilenreset neuen Klauselzettel beginnen; Besitzerstatus gemäß Klasse führen.	NO	NO	CREATIVE_SEGMENTATION;NO_NEW_CARD_MEANING
H4-LB01	H4	f55v	1	f55v.5	f55v.11	F010|F011	F012|F013	TERMINAL|TERMINAL	TERMINAL|OPEN	F011	TERMINAL	MASS?	Ein vorgeschriebenes Maß ; rühre, bis alles gleichmäßig vermischt ist ; wasche die wunde Stelle einmal	F012	TERMINAL	∅	für den zweiten Arzneigebrauch ; gib Weißwein hinzu ; solange es noch warm ist ; koche sanft und beende diesen Arbeitsschritt	START_NEW_CLAUSE	F011 ist TERMINAL; F012 beginnt ausdrücklich den zweiten Arzneigebrauch und schließt ebenfalls formal.	NEXT_PARALLEL_CELL: beide Linien können als zwei gleichrangige Fraktionen desselben Blattes gelten.	H4-S002	H4-S003	NONE	Am Zeilenreset neuen Klauselzettel beginnen; Besitzerstatus gemäß Klasse führen.	NO	NO	CREATIVE_SEGMENTATION;NO_NEW_CARD_MEANING
H5-LB01	H5	f56r	1	f56r.5	f56r.7	F014	F015	OPEN	OPEN	F014	OPEN	MASS?	sammle die Pflanze im Frühjahr ; nimm danach den folgenden Zusatz oder Pflanzenteil ; die dünne untere Wurzel ; Ein vorgeschriebenes Maß	F015	OPEN	ANWENDEN? ZIEL?	nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen	CONTINUE_SAME_CLAUSE	F014 bleibt nach Sammeln, Wurzel und MASS? OPEN; F015 setzt Zusatz, Auszug, ANWENDEN? und ZIEL? unmittelbar fort.	RESUME_ACTIVE_ITEM: F015 könnte eine neue Klausel mit demselben Pflanzenteil beginnen.	H5-S001	H5-S001	H5-S001	Zeilenreset ignorieren und denselben Klauselzettel weiterführen.	NO	NO	CREATIVE_SEGMENTATION;NO_NEW_CARD_MEANING
H5-LB02	H5	f56r	2	f56r.7	f56r.8	F015	F016	OPEN	TERMINAL	F015	OPEN	ANWENDEN? ZIEL?	nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen	F016	TERMINAL	ANWENDEN?	von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen	RESUME_ACTIVE_ITEM	F015 endet OPEN am Ziel; F016 identifiziert den Bild-Simplex erneut, setzt ANWENDEN? ein und schließt die Anwendung.	CONTINUE_SAME_CLAUSE: der Zeilenreset kann bloßer Reflow innerhalb derselben Anwendung sein.	H5-S001	H5-S002	NONE	Am Zeilenreset neuen Klauselzettel beginnen; Besitzerstatus gemäß Klasse führen.	NO	NO	CREATIVE_SEGMENTATION;NO_NEW_CARD_MEANING
H5-LB03	H5	f56r	3	f56r.8	f56r.12	F016	F017	TERMINAL	OPEN	F016	TERMINAL	ANWENDEN?	von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen	F017	OPEN	∅	ihren kleinen Samen- oder Knospenkopf ; nimm danach den folgenden Zusatz oder Pflanzenteil ; das getrocknete schmale Blatt ; trockne es im Schatten	NEXT_PARALLEL_CELL	F016 ist TERMINAL; F017 wechselt zu Samen-/Knospenkopf und getrocknetem Blatt als nächster Teilzelle.	START_NEW_CLAUSE: die neue Linie kann statt einer Parallelzelle einen neuen Rezeptabschnitt eröffnen.	H5-S002	H5-S003	NONE	Am Zeilenreset neuen Klauselzettel beginnen; Besitzerstatus gemäß Klasse führen.	NO	NO	CREATIVE_SEGMENTATION;NO_NEW_CARD_MEANING
H5-LB04	H5	f56r	4	f56r.12	f56r.13	F017	F018	OPEN	OPEN	F017	OPEN	∅	ihren kleinen Samen- oder Knospenkopf ; nimm danach den folgenden Zusatz oder Pflanzenteil ; das getrocknete schmale Blatt ; trockne es im Schatten	F018	OPEN	∅	gebrauche die frisch bereitete Arznei ; trinke es bei Magenschmerz ; bewahre den Rest trocken im Schatten	RESUME_ACTIVE_ITEM	F017 bleibt nach dem Trocknen OPEN; F018 gebraucht eine frische Arznei und verwahrt den Rest desselben Bildbesitzers.	START_NEW_CLAUSE: frisch und getrocknet können zwei unabhängige Zubereitungen bezeichnen.	H5-S003	H5-S004	NONE	Am Zeilenreset neuen Klauselzettel beginnen; Besitzerstatus gemäß Klasse führen.	NO	NO	CREATIVE_SEGMENTATION;NO_NEW_CARD_MEANING
