boundary_id	page	record_unit_id	from_locus	to_locus	from_field_id	to_field_id	from_closure_status	to_closure_status	decision	from_statement_id	to_statement_id	same_statement_after_reflow	boundary_context	german_reflow_preview	historical_evidence	catchword_or_carry_signal	strongest_historical_rival	confidence	interpretation_status	source_lineage
IB001	f10r	H1	f10r.2	f10r.5	F001	F002	OPEN	OPEN	RESUME_ACTIVE_ITEM	H1_S001	H1_S002	NO	bewahre die übrige Wurzel trocken auf || gebrauche die frisch bereitete Arznei	bewahre die übrige Wurzel trocken auf. [stiller aktiver Gegenstand:] gebrauche die frisch bereitete Arznei …	Die zweite Zeile setzt die bereits bereitete Arznei als stilles Objekt voraus.	IMPLICIT_ACTIVE_PREPARATION	NEUER_POSTEN_MIT_NUR_FORMELHAFT_GLEICHEM_WORTLAUT	.53	BOUNDARY_HYPOTHESIS_NOT_SYNTAX_DECIPHERMENT	V59_R1_PHYSICAL_LOCI+FIELDS>V61_R2
IB002	f10r	H2	f10r.6	f10r.8	F003	F004	OPEN	OPEN	CONTINUE_SAME_CLAUSE	H2_S001	H2_S001	YES	Diese aktive Portion || vor der Blüte gesammelt	Diese aktive Portion; vor der Blüte gesammelt …	Beide Felder bleiben offen; Erntezeit, Ansatz und Mass können dieselbe Simplex-Bereitung fortsetzen.	NONE	ZWEI_SELBSTÄNDIGE_LISTENPUNKTE_TROTZ_OFFENHEIT	.42	BOUNDARY_HYPOTHESIS_NOT_SYNTAX_DECIPHERMENT	V59_R1_PHYSICAL_LOCI+FIELDS>V61_R2
IB003	f10r	H2	f10r.8	f10r.9	F004	F005	OPEN	OPEN	START_NEW_CLAUSE	H2_S001	H2_S002	NO	Daraus, aus demselben Ansatz || wenn sich die Blüte geöffnet hat	Daraus, aus demselben Ansatz. Item: wenn sich die Blüte geöffnet hat …	Der Wechsel von vor der Blüte zu geöffneter Blüte und neuer Aufbewahrung spricht für einen neuen parataktischen Satz.	NONE	BLOSSER_ZEILENRESET_IN_FORTLAUFENDER_PROSA	.45	BOUNDARY_HYPOTHESIS_NOT_SYNTAX_DECIPHERMENT	V59_R1_PHYSICAL_LOCI+FIELDS>V61_R2
IB004	f11r	H3	f11r.1	f11r.4	F007	F008	OPEN	OPEN	RESUME_ACTIVE_ITEM	H3_S002	H3_S003	NO	behalte die Blütenkrone zurück || von diesem abgebildeten Simplex	behalte die Blütenkrone zurück. [stiller aktiver Gegenstand:] von diesem abgebildeten Simplex …	Die zurückbehaltene Blütenkrone kann als aktiver Teil in die folgende Anwendung übernommen werden.	IMPLICIT_RETAINED_PART	NEUER_POSTEN_MIT_NUR_FORMELHAFT_GLEICHEM_WORTLAUT	.48	BOUNDARY_HYPOTHESIS_NOT_SYNTAX_DECIPHERMENT	V59_R1_PHYSICAL_LOCI+FIELDS>V61_R2
IB005	f11r	H3	f11r.4	f11r.7	F008	F009	OPEN	OPEN	START_NEW_CLAUSE	H3_S003	H3_S004	NO	Ein vorgeschriebenes Maß || bereite aus den Blättern einen warmen Umschlag	Ein vorgeschriebenes Maß. Item: bereite aus den Blättern einen warmen Umschlag …	Der Blätterumschlag ist ein neuer Gebrauch und nicht die sichere Fortsetzung der zuvor gebundenen Portion.	NONE	BLOSSER_ZEILENRESET_IN_FORTLAUFENDER_PROSA	.55	BOUNDARY_HYPOTHESIS_NOT_SYNTAX_DECIPHERMENT	V59_R1_PHYSICAL_LOCI+FIELDS>V61_R2
IB006	f55v	H4	f55v.5	f55v.11	F011	F012	TERMINAL	TERMINAL	START_NEW_CLAUSE	H4_S002	H4_S003	NO	wasche die wunde Stelle einmal || für den zweiten Arzneigebrauch	wasche die wunde Stelle einmal. Item: für den zweiten Arzneigebrauch …	Die Waschhandlung ist terminal; die nächste Zeile bezeichnet ausdrücklich einen zweiten Arzneigebrauch.	SECOND_USE_RUBRIC	BLOSSER_ZEILENRESET_IN_FORTLAUFENDER_PROSA	.72	BOUNDARY_HYPOTHESIS_NOT_SYNTAX_DECIPHERMENT	V59_R1_PHYSICAL_LOCI+FIELDS>V61_R2
IB007	f56r	H5	f56r.5	f56r.7	F014	F015	OPEN	OPEN	CONTINUE_SAME_CLAUSE	H5_S001	H5_S001	YES	Ein vorgeschriebenes Maß || nimm danach den folgenden Zusatz oder Pflanzenteil	Ein vorgeschriebenes Maß; nimm danach den folgenden Zusatz oder Pflanzenteil …	Wurzel und Mass erhalten im Folgefeld Medium, Anwendung und Ziel.	NONE	ZWEI_SELBSTÄNDIGE_LISTENPUNKTE_TROTZ_OFFENHEIT	.61	BOUNDARY_HYPOTHESIS_NOT_SYNTAX_DECIPHERMENT	V59_R1_PHYSICAL_LOCI+FIELDS>V61_R2
IB008	f56r	H5	f56r.7	f56r.8	F015	F016	OPEN	TERMINAL	CONTINUE_SAME_CLAUSE	H5_S001	H5_S001	YES	An die bezeichnete Zielstelle führen || von diesem abgebildeten Simplex	An die bezeichnete Zielstelle führen; von diesem abgebildeten Simplex …	Der folgende Simplex-Bezug und das Trocknen des Pflasters schließen die offene Anwendung ab.	SAME_SIMPLEX	ZWEI_SELBSTÄNDIGE_LISTENPUNKTE_TROTZ_OFFENHEIT	.56	BOUNDARY_HYPOTHESIS_NOT_SYNTAX_DECIPHERMENT	V59_R1_PHYSICAL_LOCI+FIELDS>V61_R2
IB009	f56r	H5	f56r.8	f56r.12	F016	F017	TERMINAL	OPEN	NEXT_PARALLEL_CELL	H5_S001	H5_S002	NO	lasse das Pflaster unbedeckt trocknen || ihren kleinen Samen- oder Knospenkopf	lasse das Pflaster unbedeckt trocknen. [nächste Parallelzelle:] ihren kleinen Samen- oder Knospenkopf …	Nach der terminalen Pflasterhandlung beginnt ein anderer Samen-, Knospen- oder Blattposten.	NEW_PLANT_PART	FORTLAUFENDE_PROSA_OHNE_ECHTE_ZELLENGRENZE	.69	BOUNDARY_HYPOTHESIS_NOT_SYNTAX_DECIPHERMENT	V59_R1_PHYSICAL_LOCI+FIELDS>V61_R2
IB010	f56r	H5	f56r.12	f56r.13	F017	F018	OPEN	OPEN	RESUME_ACTIVE_ITEM	H5_S002	H5_S003	NO	trockne es im Schatten || gebrauche die frisch bereitete Arznei	trockne es im Schatten. [stiller aktiver Gegenstand:] gebrauche die frisch bereitete Arznei …	Der getrocknete Pflanzenteil wird in der Folgezeile gebraucht und verwahrt.	IMPLICIT_DRIED_PART	NEUER_POSTEN_MIT_NUR_FORMELHAFT_GLEICHEM_WORTLAUT	.58	BOUNDARY_HYPOTHESIS_NOT_SYNTAX_DECIPHERMENT	V59_R1_PHYSICAL_LOCI+FIELDS>V61_R2
