field_serial	field_id	page	record_unit_id	locus	field_ordinal_in_locus	field_ordinal_in_record	event_count	surface_sequence	formal_sequence_opaque	FORMAL_VALUE	source_closure_status	boundary_before	statement_id	field_position_in_statement	statement_spans_physical_lines	exact_short_mnemonics_in_field	exact_anchor_count_in_field	unknown_exemplar_events_in_field	anchor_silent_trace_in_field	canonical_local_expansion_unchanged	statement_german_source_expansion	silent_additions_rule	source_clause_type	strongest_historical_rival	interpretation_status	source_lineage
1	F001	f10r	H1	f10r.2	1	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	OPEN	RECORD_START	H1_S001	1/1	NO	OKY=ANWENDEN? | AIIN=MASS?	2	8	[EXEMPLAR:Nimm die faserige untere Wurzel] | [EXEMPLAR:wasche sie in fließendem Wasser] | [EXEMPLAR:Daraus, aus demselben Ansatz] | [EXEMPLAR:Gleichmäßig bearbeiten] | [EXEMPLAR:zerstoße sie zu grobem Pulver] | [EXEMPLAR:gib Rotwein hinzu] | [EXEMPLAR:trinke es bei Magenschmerz] | {oky/OKY=ANWENDEN?}[STILL_GRAMMAR:Objekt, Ziel und Flexion des Gebrauchsverbs] | {daiin/AIIN=MASS?}[STILL_GRAMMAR:Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff] | [EXEMPLAR:bewahre die übrige Wurzel trocken auf]	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	Nimm die faserige untere Wurzel; wasche sie in fließendem Wasser; Daraus, aus demselben Ansatz; Gleichmäßig bearbeiten; zerstoße sie zu grobem Pulver; gib Rotwein hinzu; trinke es bei Magenschmerz; Die aktive Portion verwenden; Ein vorgeschriebenes Maß; bewahre die übrige Wurzel trocken auf.	ONLY_BRACED_CARD=MNEMONIC_IS_EXACT;ALL_GRAMMAR_OBJECTS_OWNERS_AND_EXEMPLAR_TEXT_ARE_SILENT_LOCAL_EXPANSION	HERBAL_PARATACTIC_ITEM	Wurzelstoff aus dem Bildlos übernehmen [Ganzfeldexemplar H1, Feld 1/2]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELD+V60_SELECTED_EXACT_DECK>V61_R2
2	F002	f10r	H1	f10r.5	1	2	4	qokchy qotchol chol cthy	OPAQUE_PAYLOAD | FRAME_OT(OPAQUE_PAYLOAD) | FRAME_O(LINK) | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	OPEN	RESUME_ACTIVE_ITEM	H1_S002	1/1	NO	CTHY=BEREIT?	1	3	[EXEMPLAR:gebrauche die frisch bereitete Arznei] | [EXEMPLAR:wende sie warm an] | [EXEMPLAR:Mit der vorigen Zubereitung weiter] | {cthy/CTHY=BEREIT?}[STILL_GRAMMAR:Subjekt, Kopula und zeitliche Schwellenkonstruktion]	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	gebrauche die frisch bereitete Arznei; wende sie warm an; Mit der vorigen Zubereitung weiter; Sobald die Zubereitung gebrauchsfertig ist.	ONLY_BRACED_CARD=MNEMONIC_IS_EXACT;ALL_GRAMMAR_OBJECTS_OWNERS_AND_EXEMPLAR_TEXT_ARE_SILENT_LOCAL_EXPANSION	HERBAL_ACTIVE_ITEM_RESUMPTION	als Standardzusatz ansetzen [Ganzfeldexemplar H1, Feld 2/2]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELD+V60_SELECTED_EXACT_DECK>V61_R2
3	F003	f10r	H2	f10r.6	1	1	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD + <ARG_AIIN> | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	OPEN	RECORD_START	H2_S001	1/2	YES	CTHY=BEREIT? | OR=ANSATZ? | AIIN=MASS?	3	6	[EXEMPLAR:sie wächst auf feuchtem Wiesengrund] | {cthy/CTHY=BEREIT?}[STILL_GRAMMAR:Subjekt, Kopula und zeitliche Schwellenkonstruktion] | {chor/OR=ANSATZ?}[STILL_GRAMMAR:Artikel, Materialart und Herstellungszustand] | [EXEMPLAR:gib den ausgepressten Saft hinzu] | [EXEMPLAR:koche es sanft] | [EXEMPLAR:Diese aktive Portion] | [EXEMPLAR:Diese aktive Portion] | {taiin/AIIN=MASS?}[STILL_GRAMMAR:Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff] | [EXEMPLAR:Diese aktive Portion]	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	sie wächst auf feuchtem Wiesengrund; Sobald die Zubereitung gebrauchsfertig ist; Die bereitete Arbeitsflüssigkeit; gib den ausgepressten Saft hinzu; koche es sanft; Diese aktive Portion; Diese aktive Portion; Ein vorgeschriebenes Maß; Diese aktive Portion; vor der Blüte gesammelt; Die bereitete Arbeitsflüssigkeit; eine Handvoll; Mit der vorigen Zubereitung weiter; Aus dem vorigen Ansatz entnehmen; Mit der vorigen Zubereitung weiter; Ein vorgeschriebenes Maß; Daraus, aus demselben Ansatz.	ONLY_BRACED_CARD=MNEMONIC_IS_EXACT;ALL_GRAMMAR_OBJECTS_OWNERS_AND_EXEMPLAR_TEXT_ARE_SILENT_LOCAL_EXPANSION	HERBAL_REFLOWED_RECIPE_CLAUSE	obere Pflanzenteile übernehmen [Ganzfeldexemplar H2, Feld 1/3]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELD+V60_SELECTED_EXACT_DECK>V61_R2
4	F004	f10r	H2	f10r.8	1	2	8	qotchor chor otol chol cholor chol daiin dar	FRAME_OT(OPAQUE_PAYLOAD) | OPAQUE_PAYLOAD | FRAME_OT(OPAQUE_PAYLOAD) | FRAME_O(LINK) | OPAQUE_PAYLOAD | FRAME_O(LINK) | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	OPEN	CONTINUE_SAME_CLAUSE	H2_S001	2/2	YES	OR=ANSATZ? | OLOR=VORIGES? | AIIN=MASS?	3	5	[EXEMPLAR:vor der Blüte gesammelt] | {chor/OR=ANSATZ?}[STILL_GRAMMAR:Artikel, Materialart und Herstellungszustand] | [EXEMPLAR:eine Handvoll] | [EXEMPLAR:Mit der vorigen Zubereitung weiter] | {cholor/OLOR=VORIGES?}[STILL_GRAMMAR:Antezedent, Entnahmeverb und Stoffklasse] | [EXEMPLAR:Mit der vorigen Zubereitung weiter] | {daiin/AIIN=MASS?}[STILL_GRAMMAR:Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff] | [EXEMPLAR:Daraus, aus demselben Ansatz]	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	sie wächst auf feuchtem Wiesengrund; Sobald die Zubereitung gebrauchsfertig ist; Die bereitete Arbeitsflüssigkeit; gib den ausgepressten Saft hinzu; koche es sanft; Diese aktive Portion; Diese aktive Portion; Ein vorgeschriebenes Maß; Diese aktive Portion; vor der Blüte gesammelt; Die bereitete Arbeitsflüssigkeit; eine Handvoll; Mit der vorigen Zubereitung weiter; Aus dem vorigen Ansatz entnehmen; Mit der vorigen Zubereitung weiter; Ein vorgeschriebenes Maß; Daraus, aus demselben Ansatz.	ONLY_BRACED_CARD=MNEMONIC_IS_EXACT;ALL_GRAMMAR_OBJECTS_OWNERS_AND_EXEMPLAR_TEXT_ARE_SILENT_LOCAL_EXPANSION	HERBAL_REFLOWED_RECIPE_CLAUSE	ausziehen [Ganzfeldexemplar H2, Feld 2/3]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELD+V60_SELECTED_EXACT_DECK>V61_R2
5	F005	f10r	H2	f10r.9	1	3	7	oykchor shor chor chy kaiiin dy chodaiin	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | FRAME_O(OPAQUE_PAYLOAD + <ARG_AIIN>)	FIELD_OPEN:NONCLOSE* TERMINAL?	OPEN	START_NEW_CLAUSE	H2_S002	1/1	NO	OR=ANSATZ? | OR=ANSATZ?	2	5	[EXEMPLAR:wenn sich die Blüte geöffnet hat] | {shor/OR=ANSATZ?}[STILL_GRAMMAR:Artikel, Materialart und Herstellungszustand] | {chor/OR=ANSATZ?}[STILL_GRAMMAR:Artikel, Materialart und Herstellungszustand] | [EXEMPLAR:Diese aktive Portion] | [EXEMPLAR:bis ein bitterer Geschmack bleibt] | [EXEMPLAR:Diese aktive Portion] | [EXEMPLAR:bewahre diesen Anteil unter Öl]	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	wenn sich die Blüte geöffnet hat; Die bereitete Arbeitsflüssigkeit; Die bereitete Arbeitsflüssigkeit; Diese aktive Portion; bis ein bitterer Geschmack bleibt; Diese aktive Portion; bewahre diesen Anteil unter Öl.	ONLY_BRACED_CARD=MNEMONIC_IS_EXACT;ALL_GRAMMAR_OBJECTS_OWNERS_AND_EXEMPLAR_TEXT_ARE_SILENT_LOCAL_EXPANSION	HERBAL_PARATACTIC_ITEM	mit einem Träger verbinden [Ganzfeldexemplar H2, Feld 3/3]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELD+V60_SELECTED_EXACT_DECK>V61_R2
6	F006	f11r	H3	f11r.1	1	1	7	tshol schoal cfhy shfydaiin cphy shey tchody	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD + <ARG_AL> | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD + <ARG_AIIN> | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | CLOSE(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	TERMINAL	RECORD_START	H3_S001	1/1	NO	EY=KLAR?	1	6	[EXEMPLAR:sammle die Wurzel im Frühjahr] | [EXEMPLAR:vom schattigen Waldort] | [EXEMPLAR:bevor sich die Blütenkrone öffnet] | [EXEMPLAR:presse die gequetschte Wurzel durch ein Tuch] | [EXEMPLAR:seihe die Flüssigkeit ein zweites Mal] | {shey/EY=KLAR?}[STILL_GRAMMAR:Trägerflüssigkeit, Zustandsverb und gegebenenfalls Ablauf] | [EXEMPLAR:lasse die geseihte Flüssigkeit offen abkühlen]	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen	sammle die Wurzel im Frühjahr; vom schattigen Waldort; bevor sich die Blütenkrone öffnet; presse die gequetschte Wurzel durch ein Tuch; seihe die Flüssigkeit ein zweites Mal; Bis die Flüssigkeit klar abläuft; lasse die geseihte Flüssigkeit offen abkühlen.	ONLY_BRACED_CARD=MNEMONIC_IS_EXACT;ALL_GRAMMAR_OBJECTS_OWNERS_AND_EXEMPLAR_TEXT_ARE_SILENT_LOCAL_EXPANSION	HERBAL_PARATACTIC_ITEM	Blüten- oder Krautanteil übernehmen [Ganzfeldexemplar H3, Feld 1/4]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELD+V60_SELECTED_EXACT_DECK>V61_R2
7	F007	f11r	H3	f11r.1	2	2	1	shoyty	OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	OPEN	INTRA_LINE_FIELD_BREAK	H3_S002	1/1	NO	NONE	0	1	[EXEMPLAR:behalte die Blütenkrone zurück]	behalte die Blütenkrone zurück	behalte die Blütenkrone zurück.	ONLY_BRACED_CARD=MNEMONIC_IS_EXACT;ALL_GRAMMAR_OBJECTS_OWNERS_AND_EXEMPLAR_TEXT_ARE_SILENT_LOCAL_EXPANSION	HERBAL_PARATACTIC_ITEM	ausziehen [Ganzfeldexemplar H3, Feld 2/4]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELD+V60_SELECTED_EXACT_DECK>V61_R2
8	F008	f11r	H3	f11r.4	1	3	5	dchol chy kchy dy daiin	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	OPEN	RESUME_ACTIVE_ITEM	H3_S003	1/1	NO	AIIN=MASS?	1	4	[EXEMPLAR:von diesem abgebildeten Simplex] | [EXEMPLAR:Diese aktive Portion] | [EXEMPLAR:binde es auf die geschwollene Stelle] | [EXEMPLAR:Diese aktive Portion] | {daiin/AIIN=MASS?}[STILL_GRAMMAR:Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff]	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	von diesem abgebildeten Simplex; Diese aktive Portion; binde es auf die geschwollene Stelle; Diese aktive Portion; Ein vorgeschriebenes Maß.	ONLY_BRACED_CARD=MNEMONIC_IS_EXACT;ALL_GRAMMAR_OBJECTS_OWNERS_AND_EXEMPLAR_TEXT_ARE_SILENT_LOCAL_EXPANSION	HERBAL_ACTIVE_ITEM_RESUMPTION	filtrieren [Ganzfeldexemplar H3, Feld 3/4]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELD+V60_SELECTED_EXACT_DECK>V61_R2
9	F009	f11r	H3	f11r.7	1	4	4	qotchy okchol cthy dy	FRAME_OT(OPAQUE_PAYLOAD) | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	OPEN	START_NEW_CLAUSE	H3_S004	1/1	NO	CTHY=BEREIT?	1	3	[EXEMPLAR:bereite aus den Blättern einen warmen Umschlag] | [EXEMPLAR:lege ihn warm auf] | {cthy/CTHY=BEREIT?}[STILL_GRAMMAR:Subjekt, Kopula und zeitliche Schwellenkonstruktion] | [EXEMPLAR:Diese aktive Portion]	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	bereite aus den Blättern einen warmen Umschlag; lege ihn warm auf; Sobald die Zubereitung gebrauchsfertig ist; Diese aktive Portion.	ONLY_BRACED_CARD=MNEMONIC_IS_EXACT;ALL_GRAMMAR_OBJECTS_OWNERS_AND_EXEMPLAR_TEXT_ARE_SILENT_LOCAL_EXPANSION	HERBAL_PARATACTIC_ITEM	getrennt verwahren [Ganzfeldexemplar H3, Feld 4/4]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELD+V60_SELECTED_EXACT_DECK>V61_R2
10	F010	f55v	H4	f55v.5	1	1	5	qokaiin chaiin ykain ykan ody	SET(<ARG_AIIN>) | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD + <ARG_AIN> | OPAQUE_PAYLOAD | CLOSE(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	TERMINAL	RECORD_START	H4_S001	1/1	NO	AIIN=MASS?	1	4	[EXEMPLAR:beginne den nächsten abgemessenen Posten] | {chaiin/AIIN=MASS?}[STILL_GRAMMAR:Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff] | [EXEMPLAR:koche das breite Blatt sanft] | [EXEMPLAR:in Weißwein] | [EXEMPLAR:lasse es ziehen, bis die Flüssigkeit klar ist]	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist	beginne den nächsten abgemessenen Posten; Ein vorgeschriebenes Maß; koche das breite Blatt sanft; in Weißwein; lasse es ziehen, bis die Flüssigkeit klar ist.	ONLY_BRACED_CARD=MNEMONIC_IS_EXACT;ALL_GRAMMAR_OBJECTS_OWNERS_AND_EXEMPLAR_TEXT_ARE_SILENT_LOCAL_EXPANSION	HERBAL_PARATACTIC_ITEM	Blattflotte ansetzen [Ganzfeldexemplar H4, Feld 1/4]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELD+V60_SELECTED_EXACT_DECK>V61_R2
