record_unit_id	left_locus	right_locus	left_last_field	left_last_field_closure	left_edge_surface	right_edge_surface	exact_joint_tuple_edge_repeat	classification	confidence	rationale
H1	f10r.2	f10r.5	F001	OPEN	etyd	qokchy	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
H2	f10r.6	f10r.8	F003	OPEN	shy	qotchor	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
H2	f10r.8	f10r.9	F004	OPEN	dar	oykchor	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
H3	f11r.1	f11r.4	F007	OPEN	shoyty	dchol	FALSE	START_NEW_CLAUSE	MEDIUM_LOW	A completed preparation or topic phase precedes a new source clause; the record owner remains unchanged.
H3	f11r.4	f11r.7	F008	OPEN	daiin	qotchy	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
H4	f55v.5	f55v.11	F011	TERMINAL	talam	ykaiin	FALSE	START_NEW_CLAUSE	MEDIUM_LOW	A completed preparation or topic phase precedes a new source clause; the record owner remains unchanged.
H5	f56r.5	f56r.7	F014	OPEN	daiin	sho	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
H5	f56r.7	f56r.8	F015	OPEN	dal	schol	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
H5	f56r.8	f56r.12	F016	TERMINAL	cheeckhody	sh	FALSE	START_NEW_CLAUSE	MEDIUM_LOW	A completed preparation or topic phase precedes a new source clause; the record owner remains unchanged.
H5	f56r.12	f56r.13	F017	OPEN	qokokchy	okchy	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
H5	f56r.13	f56r.18	F018	OPEN	kchal	sho	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
H5	f56r.18	f56r.19	F019	OPEN	sotodan	otchey	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
B1	f81v.2	f81v.7	F022	OPEN	dl	olor	FALSE	RESUME_ACTIVE_ITEM	MEDIUM_HIGH	The next line explicitly reopens the previous active working item rather than introducing a new owner.
