statement_id	record_unit_id	page	loci	crosses_physical_line	field_ids	surface_fields	selected_short_card_skeleton	creative_source_clause	strongest_segmentation_rival
H1_S01	H1	f10r	f10r.2|f10r.5	TRUE	F001|F002	dchey cthoor char chty os chair otytchol oky daiin etyd || qokchy qotchol chol cthy	ANWENDEN? | MASS? | BEREIT?	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf ; gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	ONE_STATEMENT_PER_PHYSICAL_LOCUS
H2_S01	H2	f10r	f10r.6|f10r.8|f10r.9	TRUE	F003|F004|F005	ycheor cthy chor cthaiin qoctholy dy chy taiin shy || qotchor chor otol chol cholor chol daiin dar || oykchor shor chor chy kaiiin dy chodaiin	BEREIT? | ANSATZ? | MASS? | ANSATZ? | VORIGES? | MASS? | ANSATZ? | ANSATZ?	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion ; vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz ; wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	ONE_STATEMENT_PER_PHYSICAL_LOCUS
H3_S01	H3	f11r	f11r.1	FALSE	F006|F007	tshol schoal cfhy shfydaiin cphy shey tchody || shoyty	KLAR?	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen ; behalte die Blütenkrone zurück	MERGE_WITH_NEIGHBOURING_LOCUS
H3_S02	H3	f11r	f11r.4|f11r.7	TRUE	F008|F009	dchol chy kchy dy daiin || qotchy okchol cthy dy	MASS? | BEREIT?	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	ONE_STATEMENT_PER_PHYSICAL_LOCUS
H4_S01	H4	f55v	f55v.5	FALSE	F010|F011	qokaiin chaiin ykain ykan ody || daiin chedy talam	MASS? | MASS?	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist ; Ein vorgeschriebenes Maß ; rühre, bis alles gleichmäßig vermischt ist ; wasche die wunde Stelle einmal	MERGE_WITH_NEIGHBOURING_LOCUS
H4_S02	H4	f55v	f55v.11	FALSE	F012|F013	ykaiin cheoar cheeky oldy || aiin okal oltchy or y orain	MASS? | ANSATZ?	für den zweiten Arzneigebrauch ; gib Weißwein hinzu ; solange es noch warm ist ; koche sanft und beende diesen Arbeitsschritt ; Ein vorgeschriebenes Maß ; mische beide Anteile zusammen ; bewahre es in einem bedeckten Gefäß ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; gebrauche die fertige Flüssigkeit frisch	MERGE_WITH_NEIGHBOURING_LOCUS
H5_S01	H5	f56r	f56r.5|f56r.7|f56r.8	TRUE	F014|F015|F016	chochor cho chodaly daiin || sho kchol otchor choky dal || schol choy choky cheeckhody	MASS? | ANWENDEN? | ZIEL? | ANWENDEN?	sammle die Pflanze im Frühjahr ; nimm danach den folgenden Zusatz oder Pflanzenteil ; die dünne untere Wurzel ; Ein vorgeschriebenes Maß ; nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen ; von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen	ONE_STATEMENT_PER_PHYSICAL_LOCUS
H5_S02	H5	f56r	f56r.12|f56r.13|f56r.18|f56r.19	TRUE	F017|F018|F019|F020	sh cho kchey qokokchy || okchy chokcheo kchal || sho chokchy kchoar sotodan || otchey keol daiin	ANTEIL? | MASS?	ihren kleinen Samen- oder Knospenkopf ; nimm danach den folgenden Zusatz oder Pflanzenteil ; das getrocknete schmale Blatt ; trockne es im Schatten ; gebrauche die frisch bereitete Arznei ; trinke es bei Magenschmerz ; bewahre den Rest trocken im Schatten ; nimm danach den folgenden Zusatz oder Pflanzenteil ; gebrauche die frisch bereitete Arznei ; mische es mit Honig ; gebrauche es frisch vermischt ; Nimm den bezeichneten Anteil ; die helle geöffnete Blüte ; Ein vorgeschriebenes Maß	ONE_STATEMENT_PER_PHYSICAL_LOCUS
B1_S01	B1	f81v	f81v.2	FALSE	F021|F022	qokedy || okaiin kair okal sar ol kain olkain al ol rol dl	SPÜLEN? | ZIEL?	spüle die bezeichnete Stelle einmal und beende den Schritt ; beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; das bereitete Öl	MERGE_WITH_NEIGHBOURING_LOCUS
B1_S02	B1	f81v	f81v.7	FALSE	F023|F024	olor ol sheckhal daiin qokeedal daiin chckhy schedy || qol	VORIGES? | MASS? | MASS?	Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt ; Mit der vorigen Zubereitung weiter	MERGE_WITH_NEIGHBOURING_LOCUS
