record_unit_id	page	module	field_count	event_count	physical_line_count	statement_count	line_spanning_statement_count	interline_boundary_count	boundary_profile	statement_ids	formal_source_skeleton	exact_short_mnemonic_inventory	historical_source_structure	reconstructed_german_source_text	silent_local_expansion_inventory	strongest_historical_analogy	strongest_historical_rival	strongest_counterevidence	interpretation_status	source_lineage
H1	f10r	HERBAL_RECORD	2	14	2	2	0	1	RESUME_ACTIVE_ITEM=1	H1_S001|H1_S002	PICTURED_OWNER+OPEN_HEAVY_HERBAL_RECORD+FIELD*	MASS?=1;ANWENDEN?=1;BEREIT?=1	BILDLEMMA_PLUS_HERBAL_ARTICLE_PLUS_PARATACTIC_RECIPE	Von der abgebildeten Pflanze den unteren Wurzelstock nehmen, reinigen und zerkleinern. Mit gutem Wasser eine Arznei bereiten, davon ein vorgeschriebenes Mass verwenden und den Rest verwahren. Fuer einen zweiten Gebrauch die frische Bereitung mit dem vorigen Arbeitsstand verbinden und nur gelinde waermen.	Bildbesitzer; konkrete Pflanze und Teile; Habitat und Sammelzeit; Wasser/Wein/Öl/Honig; Indikation; Artikel, Pronomen und Flexion.	Kompilierter Simplexartikel mit still erhaltenem Bildbesitzer, Recipe/Item-Fortsetzungen und de-eodem-artiger Wiederaufnahme; nur Strukturvergleich.	Wurzelstoff wässern, als Standardzusatz ansetzen und den Rest lagern.	Wasser Wurzel Indikation und Waerme sind Artikelannahmen; nur 5 von 14 Ereignissen tragen Anker.	COMPLETE_RECORD_SOURCE_RECONSTRUCTION_NOT_ATOM_BY_ATOM_TRANSLATION	V59_R1_CANONICAL_RECORD+FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H2	f10r	HERBAL_RECORD	3	24	3	2	1	2	CONTINUE_SAME_CLAUSE=1;START_NEW_CLAUSE=1	H2_S001|H2_S002	PICTURED_OWNER+OPEN_HEAVY_HERBAL_RECORD+FIELD*	MASS?=2;BEREIT?=1;ANSATZ?=4;VORIGES?=1	BILDLEMMA_PLUS_HERBAL_ARTICLE_PLUS_PARATACTIC_RECIPE	Die oberen Teile vor voller Bluete sammeln, zerquetschen und Saft oder Sud bereiten. Ein Mass davon mit der zuvor gewonnenen Zubereitung verbinden, mit Oel sanft bearbeiten und als aeusserliche Arznei verwahren.	Bildbesitzer; konkrete Pflanze und Teile; Habitat und Sammelzeit; Wasser/Wein/Öl/Honig; Indikation; Artikel, Pronomen und Flexion.	Kompilierter Simplexartikel mit still erhaltenem Bildbesitzer, Recipe/Item-Fortsetzungen und de-eodem-artiger Wiederaufnahme; nur Strukturvergleich.	Obere Teile ausziehen, mit einem Träger verbinden und als zweite Charge buchen.	Bluetenzeit Saft Oel und aeusserlicher Gebrauch sind nicht durch die Ankerfolge festgelegt.	COMPLETE_RECORD_SOURCE_RECONSTRUCTION_NOT_ATOM_BY_ATOM_TRANSLATION	V59_R1_CANONICAL_RECORD+FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H3	f11r	HERBAL_RECORD	4	17	3	4	0	2	RESUME_ACTIVE_ITEM=1;START_NEW_CLAUSE=1	H3_S001|H3_S002|H3_S003|H3_S004	PICTURED_OWNER+OPEN_HEAVY_HERBAL_RECORD+FIELD*	MASS?=1;BEREIT?=1;KLAR?=1	BILDLEMMA_PLUS_HERBAL_ARTICLE_PLUS_PARATACTIC_RECIPE	Blueten und junge Teile im Fruehjahr nehmen, in Wein oder Wasser gelinde ausziehen, durch ein Tuch pressen und nochmals klaeren. Einen Teil zurueckbehalten; aus dem uebrigen Material eine warme Auflage bereiten und massweise gebrauchen.	Bildbesitzer; konkrete Pflanze und Teile; Habitat und Sammelzeit; Wasser/Wein/Öl/Honig; Indikation; Artikel, Pronomen und Flexion.	Kompilierter Simplexartikel mit still erhaltenem Bildbesitzer, Recipe/Item-Fortsetzungen und de-eodem-artiger Wiederaufnahme; nur Strukturvergleich.	Blüten- oder Krautanteil ausziehen, filtrieren und getrennt verwahren.	Nur 3 von 17 Ereignissen sind benannt; selbst die Pflanzenfamilie bleibt bildlich zweideutig.	COMPLETE_RECORD_SOURCE_RECONSTRUCTION_NOT_ATOM_BY_ATOM_TRANSLATION	V59_R1_CANONICAL_RECORD+FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H4	f55v	HERBAL_RECORD	4	18	2	4	0	1	START_NEW_CLAUSE=1	H4_S001|H4_S002|H4_S003|H4_S004	PICTURED_OWNER+OPEN_HEAVY_HERBAL_RECORD+FIELD*	MASS?=3;ANSATZ?=1	BILDLEMMA_PLUS_HERBAL_ARTICLE_PLUS_PARATACTIC_RECIPE	Ein Mass frischer Blaetter zerkleinern, in Wein oder Wasser ausziehen und durch Tuch geben; die betroffene Stelle mit der Fluessigkeit waschen. Fuer eine zweite Bereitung die warmen Blaetter mit wenig Honig oder Oel verbinden und frisch auflegen.	Bildbesitzer; konkrete Pflanze und Teile; Habitat und Sammelzeit; Wasser/Wein/Öl/Honig; Indikation; Artikel, Pronomen und Flexion.	Kompilierter Simplexartikel mit still erhaltenem Bildbesitzer, Recipe/Item-Fortsetzungen und de-eodem-artiger Wiederaufnahme; nur Strukturvergleich.	Blattflotte und weichen Rest als zwei Arbeitsfraktionen führen.	Allium und Wegerich liefern beide passende historische Verfahren; Medium und Anwendung sind Kontext.	COMPLETE_RECORD_SOURCE_RECONSTRUCTION_NOT_ATOM_BY_ATOM_TRANSLATION	V59_R1_CANONICAL_RECORD+FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H5	f56r	HERBAL_RECORD	7	27	7	5	1	6	CONTINUE_SAME_CLAUSE=2;NEXT_PARALLEL_CELL=3;RESUME_ACTIVE_ITEM=1	H5_S001|H5_S002|H5_S003|H5_S004|H5_S005	PICTURED_OWNER+OPEN_HEAVY_HERBAL_RECORD+FIELD*	MASS?=2;ANWENDEN?=2;ZIEL?=1;ANTEIL?=1	BILDLEMMA_PLUS_HERBAL_ARTICLE_PLUS_PARATACTIC_RECIPE	Eine kleine Menge des frischen ganzen Krauts sammeln, in mildem Wein oder Wasser ausziehen und mit wenig Honig bereiten. Blaetter Koepfe und Bluetenschaft getrennt trocknen; den frischen Auszug massweise bei Brust- oder Hustenbeschwerden verwenden.	Bildbesitzer; konkrete Pflanze und Teile; Habitat und Sammelzeit; Wasser/Wein/Öl/Honig; Indikation; Artikel, Pronomen und Flexion.	Kompilierter Simplexartikel mit still erhaltenem Bildbesitzer, Recipe/Item-Fortsetzungen und de-eodem-artiger Wiederaufnahme; nur Strukturvergleich.	Seltenes klebriges Feuchtlandmaterial klein dosieren und trocknen.	21 von 27 Ereignissen sind opak und eine nahe Rezeptquelle um 1420 fehlt.	COMPLETE_RECORD_SOURCE_RECONSTRUCTION_NOT_ATOM_BY_ATOM_TRANSLATION	V59_R1_CANONICAL_RECORD+FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
B1	f81v	BIOLOGICAL_RECORD	24	66	7	22	2	6	CONTINUE_SAME_CLAUSE=2;NEXT_PARALLEL_CELL=1;RESUME_ACTIVE_ITEM=1;START_NEW_CLAUSE=2	B1_S001|B1_S002|B1_S003|B1_S004|B1_S005|B1_S006|B1_S007|B1_S008|B1_S009|B1_S010|B1_S011|B1_S012|B1_S013|B1_S014|B1_S015|B1_S016|B1_S017|B1_S018|B1_S019|B1_S020|B1_S021|B1_S022	PICTURED_WORKCELL_OWNER+SHORT_BIO_CELLS+FIELD*	MASS?=2;ANWENDEN?=1;ZIEL?=3;VORIGES?=1;TEMPERIEREN?=1;SPÜLEN?=3	PICTURED_BATH_OR_VESSEL_OWNER_PLUS_PARALLEL_SHORT_WORKCELLS	Den vorbereiteten Zusatz im unteren Becken ansetzen, mehrere gemessene Portionen mit dem vorhandenen Arbeitsstand verbinden und durch die sichtbaren Laeufe fuehren. Warm halten, mischen, stehen und klaeren lassen; nachfuellen und die fertige Portion ueber die erste Station weitergeben.	Bildbesitzer Apparat oder Patient; Gefäß, Lauf und Öffnung; konkrete Flüssigkeit; Reihenfolge, Wiederholung und Körperziel; Artikel, Pronomen und Flexion.	Bade-, Wasch- oder Gefäßregimen mit kurzen Arbeitszellen, fortgeltender Flüssigkeit/Station und parataktischen Item-Folgen; Körper und Apparat bleiben Rivalen.	Den Hauptkreislauf temperieren, absetzen, klären und weitergeben.	39 von 66 Ereignissen sind opak; Becken Ruecklauf und Anwendung stammen aus Bild und Genre.	COMPLETE_RECORD_SOURCE_RECONSTRUCTION_NOT_ATOM_BY_ATOM_TRANSLATION	V59_R1_CANONICAL_RECORD+FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
B2	f82r	BIOLOGICAL_RECORD	26	62	8	24	2	7	CONTINUE_SAME_CLAUSE=2;NEXT_PARALLEL_CELL=1;RESUME_ACTIVE_ITEM=1;START_NEW_CLAUSE=2;UNRESOLVED=1	B2_S001|B2_S002|B2_S003|B2_S004|B2_S005|B2_S006|B2_S007|B2_S008|B2_S009|B2_S010|B2_S011|B2_S012|B2_S013|B2_S014|B2_S015|B2_S016|B2_S017|B2_S018|B2_S019|B2_S020|B2_S021|B2_S022|B2_S023|B2_S024	PICTURED_WORKCELL_OWNER+SHORT_BIO_CELLS+FIELD*	MASS?=2;ANWENDEN?=2;ZIEL?=1;KLAR?=2;TEMPERIEREN?=3;ABLASSEN?=1	PICTURED_BATH_OR_VESSEL_OWNER_PLUS_PARALLEL_SHORT_WORKCELLS	Eine gemessene Portion in ein temperiertes Teilbad oder Gefaess geben, zwischen mehreren Zugaengen bewegen, durch Tuch klaeren, ablassen und warm nachfuellen. Die bezeichnete Portion als Waschung Bad oder Auflage verwenden und die Schlussvarianten nacheinander buchen.	Bildbesitzer Apparat oder Patient; Gefäß, Lauf und Öffnung; konkrete Flüssigkeit; Reihenfolge, Wiederholung und Körperziel; Artikel, Pronomen und Flexion.	Bade-, Wasch- oder Gefäßregimen mit kurzen Arbeitszellen, fortgeltender Flüssigkeit/Station und parataktischen Item-Folgen; Körper und Apparat bleiben Rivalen.	Das Einzelbecken füllen, bewegen, filtern, ablassen und nachfüllen.	Baden Auflage Tuch und Koerperziel sind austauschbare Expansionen; die meisten Labels sind nur nahe bei Figuren oder Formen.	COMPLETE_RECORD_SOURCE_RECONSTRUCTION_NOT_ATOM_BY_ATOM_TRANSLATION	V59_R1_CANONICAL_RECORD+FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
B3	f83r	BIOLOGICAL_RECORD	38	86	10	35	3	9	CONTINUE_SAME_CLAUSE=3;NEXT_PARALLEL_CELL=3;RESUME_ACTIVE_ITEM=2;START_NEW_CLAUSE=1	B3_S001|B3_S002|B3_S003|B3_S004|B3_S005|B3_S006|B3_S007|B3_S008|B3_S009|B3_S010|B3_S011|B3_S012|B3_S013|B3_S014|B3_S015|B3_S016|B3_S017|B3_S018|B3_S019|B3_S020|B3_S021|B3_S022|B3_S023|B3_S024|B3_S025|B3_S026|B3_S027|B3_S028|B3_S029|B3_S030|B3_S031|B3_S032|B3_S033|B3_S034|B3_S035	PICTURED_WORKCELL_OWNER+SHORT_BIO_CELLS+FIELD*	MASS?=3;ANWENDEN?=3;BEREIT?=4;ANSATZ?=1;ZIEL?=3;TEMPERIEREN?=1;SPÜLEN?=3;ABLASSEN?=5	PICTURED_BATH_OR_VESSEL_OWNER_PLUS_PARALLEL_SHORT_WORKCELLS	Die Fluessigkeit absetzen, warm nachfuellen, mischen, eintauchen oder baden, unten ablassen, wieder klaeren und am markierten Ort verwenden. Oeffnungen und Intervalle wechseln, Rueckstand behalten und Bad Filterung und Spuelung in mehreren Stationsgaengen wiederholen.	Bildbesitzer Apparat oder Patient; Gefäß, Lauf und Öffnung; konkrete Flüssigkeit; Reihenfolge, Wiederholung und Körperziel; Artikel, Pronomen und Flexion.	Bade-, Wasch- oder Gefäßregimen mit kurzen Arbeitszellen, fortgeltender Flüssigkeit/Station und parataktischen Item-Folgen; Körper und Apparat bleiben Rivalen.	Einen wiederholten Mehrbecken- und Stationszyklus betreiben.	50 von 86 Ereignissen sind opak; zwei klare Bildlabels gehoeren Auslaeufen ohne lokale Figur.	COMPLETE_RECORD_SOURCE_RECONSTRUCTION_NOT_ATOM_BY_ATOM_TRANSLATION	V59_R1_CANONICAL_RECORD+FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
B4	f83r	BIOLOGICAL_RECORD	20	47	10	18	2	9	CONTINUE_SAME_CLAUSE=2;NEXT_PARALLEL_CELL=3;RESUME_ACTIVE_ITEM=1;START_NEW_CLAUSE=3	B4_S001|B4_S002|B4_S003|B4_S004|B4_S005|B4_S006|B4_S007|B4_S008|B4_S009|B4_S010|B4_S011|B4_S012|B4_S013|B4_S014|B4_S015|B4_S016|B4_S017|B4_S018	PICTURED_WORKCELL_OWNER+SHORT_BIO_CELLS+FIELD*	MASS?=2;ANWENDEN?=1;ANSATZ?=1;ZIEL?=1;KLAR?=1;ANTEIL?=1;TEMPERIEREN?=2;SPÜLEN?=2;ABLASSEN?=2	PICTURED_BATH_OR_VESSEL_OWNER_PLUS_PARALLEL_SHORT_WORKCELLS	Den bezeichneten Teil lauwarm spuelen, einen Anteil entnehmen, durch Tuch fuehren und als Auflage oder Waschung verwenden. Gefaess und unteren Lauf reinigen, ablassen, erneut ansetzen und warmes Wasser nachgiessen.	Bildbesitzer Apparat oder Patient; Gefäß, Lauf und Öffnung; konkrete Flüssigkeit; Reihenfolge, Wiederholung und Körperziel; Artikel, Pronomen und Flexion.	Bade-, Wasch- oder Gefäßregimen mit kurzen Arbeitszellen, fortgeltender Flüssigkeit/Station und parataktischen Item-Folgen; Körper und Apparat bleiben Rivalen.	Den bezeichneten Lauf warm reinigen, filtern und neu ansetzen.	Auflegen oder Binden setzt einen Koerper voraus, waehrend der sichtbare Owner auch eine Station sein kann.	COMPLETE_RECORD_SOURCE_RECONSTRUCTION_NOT_ATOM_BY_ATOM_TRANSLATION	V59_R1_CANONICAL_RECORD+FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
B5	f83r	BIOLOGICAL_RECORD	5	11	3	4	1	2	CONTINUE_SAME_CLAUSE=1;RESUME_ACTIVE_ITEM=1	B5_S001|B5_S002|B5_S003|B5_S004	PICTURED_WORKCELL_OWNER+SHORT_BIO_CELLS+FIELD*	MASS?=1;ZIEL?=1	PICTURED_BATH_OR_VESSEL_OWNER_PLUS_PARALLEL_SHORT_WORKCELLS	Den Arbeitsbestand abziehen, einmal erwaermen, einen Zeitraum halten und mit dem vorigen Posten im vorgeschriebenen Mass zur naechsten sichtbaren Station weiterfuehren.	Bildbesitzer Apparat oder Patient; Gefäß, Lauf und Öffnung; konkrete Flüssigkeit; Reihenfolge, Wiederholung und Körperziel; Artikel, Pronomen und Flexion.	Bade-, Wasch- oder Gefäßregimen mit kurzen Arbeitszellen, fortgeltender Flüssigkeit/Station und parataktischen Item-Folgen; Körper und Apparat bleiben Rivalen.	Den Restbestand erwärmen, halten und an die nächste Station übergeben.	Nur vier von elf Ereignissen tragen Anker und drei der fuenf Felder bleiben offen.	COMPLETE_RECORD_SOURCE_RECONSTRUCTION_NOT_ATOM_BY_ATOM_TRANSLATION	V59_R1_CANONICAL_RECORD+FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
