record_unit_id	page	physical_loci	fields	events	line_boundaries	statements	open_fields	terminal_fields	boundary_class_counts	selected_short_card_skeleton	complete_workshop_reading	strongest_nonmedical_alternative	strongest_segmentation_pressure	apprentice_record_rule	inherited_record_contradiction	status
H1	f10r	2	2	14	1	2	2	0	RESUME_ACTIVE_ITEM:1	ANWENDEN? > MASS? > BEREIT?	Von der abgebildeten Pflanze den unteren Wurzelstock nehmen, reinigen und zerkleinern. Mit gutem Wasser eine Arznei bereiten, davon ein vorgeschriebenes Mass verwenden und den Rest verwahren. Fuer einen zweiten Gebrauch die frische Bereitung mit dem vorigen Arbeitsstand verbinden und nur gelinde waermen.	Wurzelstoff wässern, als Standardzusatz ansetzen und den Rest lagern.	H1-LB01=RESUME_ACTIVE_ITEM; ALT=START_NEW_CLAUSE: F002 könnte ein unabhängiger zweiter Rezeptzusatz sein.	Felder und Klauselzettel zählen; Zeilenreset nur nach dem Grenzledger behandeln; aktive Besitzer bei RESUME behalten; CLOSE nie sprechen.	Wasser Wurzel Indikation und Waerme sind Artikelannahmen; nur 5 von 14 Ereignissen tragen Anker.	COMPLETE_RECORD_FLOW;CREATIVE_NOT_TRANSLATION
H2	f10r	3	3	24	2	3	3	0	NEXT_PARALLEL_CELL:1|RESUME_ACTIVE_ITEM:1	BEREIT? > ANSATZ? > MASS? > ANSATZ? > VORIGES? > MASS? > ANSATZ? > ANSATZ?	Die oberen Teile vor voller Bluete sammeln, zerquetschen und Saft oder Sud bereiten. Ein Mass davon mit der zuvor gewonnenen Zubereitung verbinden, mit Oel sanft bearbeiten und als aeusserliche Arznei verwahren.	Obere Teile ausziehen, mit einem Träger verbinden und als zweite Charge buchen.	H2-LB01=RESUME_ACTIVE_ITEM; ALT=NEXT_PARALLEL_CELL: die abweichende Sammelzeit kann eine zweite Erntevariante eröffnen.	Felder und Klauselzettel zählen; Zeilenreset nur nach dem Grenzledger behandeln; aktive Besitzer bei RESUME behalten; CLOSE nie sprechen.	Bluetenzeit Saft Oel und aeusserlicher Gebrauch sind nicht durch die Ankerfolge festgelegt.	COMPLETE_RECORD_FLOW;CREATIVE_NOT_TRANSLATION
H3	f11r	3	4	17	2	4	3	1	NEXT_PARALLEL_CELL:1|RESUME_ACTIVE_ITEM:1	KLAR? > MASS? > BEREIT?	Blueten und junge Teile im Fruehjahr nehmen, in Wein oder Wasser gelinde ausziehen, durch ein Tuch pressen und nochmals klaeren. Einen Teil zurueckbehalten; aus dem uebrigen Material eine warme Auflage bereiten und massweise gebrauchen.	Blüten- oder Krautanteil ausziehen, filtrieren und getrennt verwahren.	H3-LB01=RESUME_ACTIVE_ITEM; ALT=START_NEW_CLAUSE: F008 kann eine eigenständige Anwendung des Simplex beginnen.	Felder und Klauselzettel zählen; Zeilenreset nur nach dem Grenzledger behandeln; aktive Besitzer bei RESUME behalten; CLOSE nie sprechen.	Nur 3 von 17 Ereignissen sind benannt; selbst die Pflanzenfamilie bleibt bildlich zweideutig.	COMPLETE_RECORD_FLOW;CREATIVE_NOT_TRANSLATION
H4	f55v	2	4	18	1	4	1	3	START_NEW_CLAUSE:1	MASS? > MASS? > MASS? > ANSATZ?	Ein Mass frischer Blaetter zerkleinern, in Wein oder Wasser ausziehen und durch Tuch geben; die betroffene Stelle mit der Fluessigkeit waschen. Fuer eine zweite Bereitung die warmen Blaetter mit wenig Honig oder Oel verbinden und frisch auflegen.	Blattflotte und weichen Rest als zwei Arbeitsfraktionen führen.	H4-LB01=START_NEW_CLAUSE; ALT=NEXT_PARALLEL_CELL: beide Linien können als zwei gleichrangige Fraktionen desselben Blattes gelten.	Felder und Klauselzettel zählen; Zeilenreset nur nach dem Grenzledger behandeln; aktive Besitzer bei RESUME behalten; CLOSE nie sprechen.	Allium und Wegerich liefern beide passende historische Verfahren; Medium und Anwendung sind Kontext.	COMPLETE_RECORD_FLOW;CREATIVE_NOT_TRANSLATION
H5	f56r	7	7	27	6	6	6	1	CONTINUE_SAME_CLAUSE:1|NEXT_PARALLEL_CELL:3|RESUME_ACTIVE_ITEM:2	MASS? > ANWENDEN? > ZIEL? > ANWENDEN? > ANTEIL? > MASS?	Eine kleine Menge des frischen ganzen Krauts sammeln, in mildem Wein oder Wasser ausziehen und mit wenig Honig bereiten. Blaetter Koepfe und Bluetenschaft getrennt trocknen; den frischen Auszug massweise bei Brust- oder Hustenbeschwerden verwenden.	Seltenes klebriges Feuchtlandmaterial klein dosieren und trocknen.	H5-LB01=CONTINUE_SAME_CLAUSE; ALT=RESUME_ACTIVE_ITEM: F015 könnte eine neue Klausel mit demselben Pflanzenteil beginnen.	Felder und Klauselzettel zählen; Zeilenreset nur nach dem Grenzledger behandeln; aktive Besitzer bei RESUME behalten; CLOSE nie sprechen.	21 von 27 Ereignissen sind opak und eine nahe Rezeptquelle um 1420 fehlt.	COMPLETE_RECORD_FLOW;CREATIVE_NOT_TRANSLATION
B1	f81v	7	24	66	6	21	7	17	CONTINUE_SAME_CLAUSE:3|NEXT_PARALLEL_CELL:2|START_NEW_CLAUSE:1	SPÜLEN? > ZIEL? > VORIGES? > MASS? > MASS? > SPÜLEN? > SPÜLEN? > ANWENDEN? > TEMPERIEREN? > ZIEL? > ZIEL?	Den vorbereiteten Zusatz im unteren Becken ansetzen, mehrere gemessene Portionen mit dem vorhandenen Arbeitsstand verbinden und durch die sichtbaren Laeufe fuehren. Warm halten, mischen, stehen und klaeren lassen; nachfuellen und die fertige Portion ueber die erste Station weitergeben.	Den Hauptkreislauf temperieren, absetzen, klären und weitergeben.	B1-LB01=CONTINUE_SAME_CLAUSE; ALT=RESUME_ACTIVE_ITEM: F023 kann eine neue Klausel mit demselben Ansatz sein.	Felder und Klauselzettel zählen; Zeilenreset nur nach dem Grenzledger behandeln; aktive Besitzer bei RESUME behalten; CLOSE nie sprechen.	39 von 66 Ereignissen sind opak; Becken Ruecklauf und Anwendung stammen aus Bild und Genre.	COMPLETE_RECORD_FLOW;CREATIVE_NOT_TRANSLATION
B2	f82r	8	26	62	7	22	7	19	CONTINUE_SAME_CLAUSE:4|START_NEW_CLAUSE:2|UNRESOLVED:1	TEMPERIEREN? > ANWENDEN? > TEMPERIEREN? > ANWENDEN? > KLAR? > KLAR? > TEMPERIEREN? > MASS? > ABLASSEN? > ZIEL? > MASS?	Eine gemessene Portion in ein temperiertes Teilbad oder Gefaess geben, zwischen mehreren Zugaengen bewegen, durch Tuch klaeren, ablassen und warm nachfuellen. Die bezeichnete Portion als Waschung Bad oder Auflage verwenden und die Schlussvarianten nacheinander buchen.	Das Einzelbecken füllen, bewegen, filtern, ablassen und nachfüllen.	B2-LB04=UNRESOLVED; ALT=CONTINUE_SAME_CLAUSE: die klare Flüssigkeit aus F056 kann unmittelbar in F057 dosiert werden.	Felder und Klauselzettel zählen; Zeilenreset nur nach dem Grenzledger behandeln; aktive Besitzer bei RESUME behalten; CLOSE nie sprechen.	Baden Auflage Tuch und Koerperziel sind austauschbare Expansionen; die meisten Labels sind nur nahe bei Figuren oder Formen.	COMPLETE_RECORD_FLOW;CREATIVE_NOT_TRANSLATION
B3	f83r	10	38	86	9	34	7	31	CONTINUE_SAME_CLAUSE:4|NEXT_PARALLEL_CELL:1|RESUME_ACTIVE_ITEM:3|START_NEW_CLAUSE:1	MASS? > ABLASSEN? > ABLASSEN? > ANWENDEN? > ANWENDEN? > ANSATZ? > SPÜLEN? > ABLASSEN? > ZIEL? > ABLASSEN? > BEREIT? > ZIEL? > MASS? > ZIEL? > BEREIT? > ABLASSEN? > BEREIT? > TEMPERIEREN? > SPÜLEN? > SPÜLEN? > ANWENDEN? > MASS? > BEREIT?	Die Fluessigkeit absetzen, warm nachfuellen, mischen, eintauchen oder baden, unten ablassen, wieder klaeren und am markierten Ort verwenden. Oeffnungen und Intervalle wechseln, Rueckstand behalten und Bad Filterung und Spuelung in mehreren Stationsgaengen wiederholen.	Einen wiederholten Mehrbecken- und Stationszyklus betreiben.	B3-LB04=CONTINUE_SAME_CLAUSE; ALT=NEXT_PARALLEL_CELL: Abkühlen kann eine unabhängige kurze Zelle sein.	Felder und Klauselzettel zählen; Zeilenreset nur nach dem Grenzledger behandeln; aktive Besitzer bei RESUME behalten; CLOSE nie sprechen.	50 von 86 Ereignissen sind opak; zwei klare Bildlabels gehoeren Auslaeufen ohne lokale Figur.	COMPLETE_RECORD_FLOW;CREATIVE_NOT_TRANSLATION
B4	f83r	10	20	47	9	16	4	16	CONTINUE_SAME_CLAUSE:4|NEXT_PARALLEL_CELL:2|START_NEW_CLAUSE:3	TEMPERIEREN? > SPÜLEN? > ANTEIL? > TEMPERIEREN? > ANWENDEN? > MASS? > SPÜLEN? > MASS? > ABLASSEN? > ANSATZ? > KLAR? > ABLASSEN? > ZIEL?	Den bezeichneten Teil lauwarm spuelen, einen Anteil entnehmen, durch Tuch fuehren und als Auflage oder Waschung verwenden. Gefaess und unteren Lauf reinigen, ablassen, erneut ansetzen und warmes Wasser nachgiessen.	Den bezeichneten Lauf warm reinigen, filtern und neu ansetzen.	B4-LB01=CONTINUE_SAME_CLAUSE; ALT=RESUME_ACTIVE_ITEM: F112 kann eine neue Anwendungsklausel am gleichen Bestand sein.	Felder und Klauselzettel zählen; Zeilenreset nur nach dem Grenzledger behandeln; aktive Besitzer bei RESUME behalten; CLOSE nie sprechen.	Auflegen oder Binden setzt einen Koerper voraus, waehrend der sichtbare Owner auch eine Station sein kann.	COMPLETE_RECORD_FLOW;CREATIVE_NOT_TRANSLATION
B5	f83r	3	5	11	2	3	3	2	CONTINUE_SAME_CLAUSE:2	ZIEL? > MASS?	Den Arbeitsbestand abziehen, einmal erwaermen, einen Zeitraum halten und mit dem vorigen Posten im vorgeschriebenen Mass zur naechsten sichtbaren Station weiterfuehren.	Den Restbestand erwärmen, halten und an die nächste Station übergeben.	B5-LB01=CONTINUE_SAME_CLAUSE; ALT=RESUME_ACTIVE_ITEM: die Dauer kann als eigener Merkslot vor einer neuen Klausel stehen.	Felder und Klauselzettel zählen; Zeilenreset nur nach dem Grenzledger behandeln; aktive Besitzer bei RESUME behalten; CLOSE nie sprechen.	Nur vier von elf Ereignissen tragen Anker und drei der fuenf Felder bleiben offen.	COMPLETE_RECORD_FLOW;CREATIVE_NOT_TRANSLATION
