statement_id	record_unit_id	page	field_ids	loci	field_count	event_count	spans_physical_lines	entry_relation	interline_relations_inside_statement	final_closure_status	exact_short_mnemonic_sequence	exact_anchor_count	unknown_exemplar_event_count	anchor_silent_trace	silent_anchor_grammar	silent_unknown_event_expansions	german_source_expansion	source_clause_type	historical_mechanism	strongest_historical_rival	interpretation_status	source_lineage
H1_S001	H1	f10r	F001	f10r.2	1	10	NO	RECORD_START	NONE	OPEN	OKY=ANWENDEN? | AIIN=MASS?	2	8	[EXEMPLAR:Nimm die faserige untere Wurzel] | [EXEMPLAR:wasche sie in fließendem Wasser] | [EXEMPLAR:Daraus, aus demselben Ansatz] | [EXEMPLAR:Gleichmäßig bearbeiten] | [EXEMPLAR:zerstoße sie zu grobem Pulver] | [EXEMPLAR:gib Rotwein hinzu] | [EXEMPLAR:trinke es bei Magenschmerz] | {oky/OKY=ANWENDEN?}[STILL_GRAMMAR:Objekt, Ziel und Flexion des Gebrauchsverbs] | {daiin/AIIN=MASS?}[STILL_GRAMMAR:Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff] | [EXEMPLAR:bewahre die übrige Wurzel trocken auf]	Objekt, Ziel und Flexion des Gebrauchsverbs | Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff	Nimm die faserige untere Wurzel | wasche sie in fließendem Wasser | Daraus, aus demselben Ansatz | Gleichmäßig bearbeiten | zerstoße sie zu grobem Pulver | gib Rotwein hinzu | trinke es bei Magenschmerz | bewahre die übrige Wurzel trocken auf	Nimm die faserige untere Wurzel; wasche sie in fließendem Wasser; Daraus, aus demselben Ansatz; Gleichmäßig bearbeiten; zerstoße sie zu grobem Pulver; gib Rotwein hinzu; trinke es bei Magenschmerz; Die aktive Portion verwenden; Ein vorgeschriebenes Maß; bewahre die übrige Wurzel trocken auf.	HERBAL_PARATACTIC_ITEM	Kurzer Herbal- oder Rezeptposten im Recipe/Item-Stil; Feldtrenner ordnet, ohne einen modernen Satz zu behaupten.	Wurzelstoff aus dem Bildlos übernehmen [Ganzfeldexemplar H1, Feld 1/2]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H1_S002	H1	f10r	F002	f10r.5	1	4	NO	RESUME_ACTIVE_ITEM	NONE	OPEN	CTHY=BEREIT?	1	3	[EXEMPLAR:gebrauche die frisch bereitete Arznei] | [EXEMPLAR:wende sie warm an] | [EXEMPLAR:Mit der vorigen Zubereitung weiter] | {cthy/CTHY=BEREIT?}[STILL_GRAMMAR:Subjekt, Kopula und zeitliche Schwellenkonstruktion]	Subjekt, Kopula und zeitliche Schwellenkonstruktion	gebrauche die frisch bereitete Arznei | wende sie warm an | Mit der vorigen Zubereitung weiter	gebrauche die frisch bereitete Arznei; wende sie warm an; Mit der vorigen Zubereitung weiter; Sobald die Zubereitung gebrauchsfertig ist.	HERBAL_ACTIVE_ITEM_RESUMPTION	Ein stiller Bildbesitzer oder zuvor genannter Pflanzenteil wird wie de eodem/praedictum wieder aufgenommen; nur Funktionsvergleich.	als Standardzusatz ansetzen [Ganzfeldexemplar H1, Feld 2/2]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H2_S001	H2	f10r	F003|F004	f10r.6|f10r.8	2	17	YES	RECORD_START	CONTINUE_SAME_CLAUSE	OPEN	CTHY=BEREIT? | OR=ANSATZ? | AIIN=MASS? | OR=ANSATZ? | OLOR=VORIGES? | AIIN=MASS?	6	11	[EXEMPLAR:sie wächst auf feuchtem Wiesengrund] | {cthy/CTHY=BEREIT?}[STILL_GRAMMAR:Subjekt, Kopula und zeitliche Schwellenkonstruktion] | {chor/OR=ANSATZ?}[STILL_GRAMMAR:Artikel, Materialart und Herstellungszustand] | [EXEMPLAR:gib den ausgepressten Saft hinzu] | [EXEMPLAR:koche es sanft] | [EXEMPLAR:Diese aktive Portion] | [EXEMPLAR:Diese aktive Portion] | {taiin/AIIN=MASS?}[STILL_GRAMMAR:Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff] | [EXEMPLAR:Diese aktive Portion] || [EXEMPLAR:vor der Blüte gesammelt] | {chor/OR=ANSATZ?}[STILL_GRAMMAR:Artikel, Materialart und Herstellungszustand] | [EXEMPLAR:eine Handvoll] | [EXEMPLAR:Mit der vorigen Zubereitung weiter] | {cholor/OLOR=VORIGES?}[STILL_GRAMMAR:Antezedent, Entnahmeverb und Stoffklasse] | [EXEMPLAR:Mit der vorigen Zubereitung weiter] | {daiin/AIIN=MASS?}[STILL_GRAMMAR:Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff] | [EXEMPLAR:Daraus, aus demselben Ansatz]	Subjekt, Kopula und zeitliche Schwellenkonstruktion | Artikel, Materialart und Herstellungszustand | Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff | Antezedent, Entnahmeverb und Stoffklasse	sie wächst auf feuchtem Wiesengrund | gib den ausgepressten Saft hinzu | koche es sanft | Diese aktive Portion | Diese aktive Portion | Diese aktive Portion | vor der Blüte gesammelt | eine Handvoll | Mit der vorigen Zubereitung weiter | Mit der vorigen Zubereitung weiter | Daraus, aus demselben Ansatz	sie wächst auf feuchtem Wiesengrund; Sobald die Zubereitung gebrauchsfertig ist; Die bereitete Arbeitsflüssigkeit; gib den ausgepressten Saft hinzu; koche es sanft; Diese aktive Portion; Diese aktive Portion; Ein vorgeschriebenes Maß; Diese aktive Portion; vor der Blüte gesammelt; Die bereitete Arbeitsflüssigkeit; eine Handvoll; Mit der vorigen Zubereitung weiter; Aus dem vorigen Ansatz entnehmen; Mit der vorigen Zubereitung weiter; Ein vorgeschriebenes Maß; Daraus, aus demselben Ansatz.	HERBAL_REFLOWED_RECIPE_CLAUSE	Simplex oder Ansatz bleibt über den physischen Zeilenwechsel aktiv; parataktische Rezeptglieder werden im selben Aussageschritt gelesen.	obere Pflanzenteile übernehmen [Ganzfeldexemplar H2, Feld 1/3] | ausziehen [Ganzfeldexemplar H2, Feld 2/3]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H2_S002	H2	f10r	F005	f10r.9	1	7	NO	START_NEW_CLAUSE	NONE	OPEN	OR=ANSATZ? | OR=ANSATZ?	2	5	[EXEMPLAR:wenn sich die Blüte geöffnet hat] | {shor/OR=ANSATZ?}[STILL_GRAMMAR:Artikel, Materialart und Herstellungszustand] | {chor/OR=ANSATZ?}[STILL_GRAMMAR:Artikel, Materialart und Herstellungszustand] | [EXEMPLAR:Diese aktive Portion] | [EXEMPLAR:bis ein bitterer Geschmack bleibt] | [EXEMPLAR:Diese aktive Portion] | [EXEMPLAR:bewahre diesen Anteil unter Öl]	Artikel, Materialart und Herstellungszustand	wenn sich die Blüte geöffnet hat | Diese aktive Portion | bis ein bitterer Geschmack bleibt | Diese aktive Portion | bewahre diesen Anteil unter Öl	wenn sich die Blüte geöffnet hat; Die bereitete Arbeitsflüssigkeit; Die bereitete Arbeitsflüssigkeit; Diese aktive Portion; bis ein bitterer Geschmack bleibt; Diese aktive Portion; bewahre diesen Anteil unter Öl.	HERBAL_PARATACTIC_ITEM	Kurzer Herbal- oder Rezeptposten im Recipe/Item-Stil; Feldtrenner ordnet, ohne einen modernen Satz zu behaupten.	mit einem Träger verbinden [Ganzfeldexemplar H2, Feld 3/3]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H3_S001	H3	f11r	F006	f11r.1	1	7	NO	RECORD_START	NONE	TERMINAL	EY=KLAR?	1	6	[EXEMPLAR:sammle die Wurzel im Frühjahr] | [EXEMPLAR:vom schattigen Waldort] | [EXEMPLAR:bevor sich die Blütenkrone öffnet] | [EXEMPLAR:presse die gequetschte Wurzel durch ein Tuch] | [EXEMPLAR:seihe die Flüssigkeit ein zweites Mal] | {shey/EY=KLAR?}[STILL_GRAMMAR:Trägerflüssigkeit, Zustandsverb und gegebenenfalls Ablauf] | [EXEMPLAR:lasse die geseihte Flüssigkeit offen abkühlen]	Trägerflüssigkeit, Zustandsverb und gegebenenfalls Ablauf	sammle die Wurzel im Frühjahr | vom schattigen Waldort | bevor sich die Blütenkrone öffnet | presse die gequetschte Wurzel durch ein Tuch | seihe die Flüssigkeit ein zweites Mal | lasse die geseihte Flüssigkeit offen abkühlen	sammle die Wurzel im Frühjahr; vom schattigen Waldort; bevor sich die Blütenkrone öffnet; presse die gequetschte Wurzel durch ein Tuch; seihe die Flüssigkeit ein zweites Mal; Bis die Flüssigkeit klar abläuft; lasse die geseihte Flüssigkeit offen abkühlen.	HERBAL_PARATACTIC_ITEM	Kurzer Herbal- oder Rezeptposten im Recipe/Item-Stil; Feldtrenner ordnet, ohne einen modernen Satz zu behaupten.	Blüten- oder Krautanteil übernehmen [Ganzfeldexemplar H3, Feld 1/4]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H3_S002	H3	f11r	F007	f11r.1	1	1	NO	INTRA_LINE_FIELD_BREAK	NONE	OPEN	NONE	0	1	[EXEMPLAR:behalte die Blütenkrone zurück]	NONE	behalte die Blütenkrone zurück	behalte die Blütenkrone zurück.	HERBAL_PARATACTIC_ITEM	Kurzer Herbal- oder Rezeptposten im Recipe/Item-Stil; Feldtrenner ordnet, ohne einen modernen Satz zu behaupten.	ausziehen [Ganzfeldexemplar H3, Feld 2/4]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H3_S003	H3	f11r	F008	f11r.4	1	5	NO	RESUME_ACTIVE_ITEM	NONE	OPEN	AIIN=MASS?	1	4	[EXEMPLAR:von diesem abgebildeten Simplex] | [EXEMPLAR:Diese aktive Portion] | [EXEMPLAR:binde es auf die geschwollene Stelle] | [EXEMPLAR:Diese aktive Portion] | {daiin/AIIN=MASS?}[STILL_GRAMMAR:Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff]	Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff	von diesem abgebildeten Simplex | Diese aktive Portion | binde es auf die geschwollene Stelle | Diese aktive Portion	von diesem abgebildeten Simplex; Diese aktive Portion; binde es auf die geschwollene Stelle; Diese aktive Portion; Ein vorgeschriebenes Maß.	HERBAL_ACTIVE_ITEM_RESUMPTION	Ein stiller Bildbesitzer oder zuvor genannter Pflanzenteil wird wie de eodem/praedictum wieder aufgenommen; nur Funktionsvergleich.	filtrieren [Ganzfeldexemplar H3, Feld 3/4]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H3_S004	H3	f11r	F009	f11r.7	1	4	NO	START_NEW_CLAUSE	NONE	OPEN	CTHY=BEREIT?	1	3	[EXEMPLAR:bereite aus den Blättern einen warmen Umschlag] | [EXEMPLAR:lege ihn warm auf] | {cthy/CTHY=BEREIT?}[STILL_GRAMMAR:Subjekt, Kopula und zeitliche Schwellenkonstruktion] | [EXEMPLAR:Diese aktive Portion]	Subjekt, Kopula und zeitliche Schwellenkonstruktion	bereite aus den Blättern einen warmen Umschlag | lege ihn warm auf | Diese aktive Portion	bereite aus den Blättern einen warmen Umschlag; lege ihn warm auf; Sobald die Zubereitung gebrauchsfertig ist; Diese aktive Portion.	HERBAL_PARATACTIC_ITEM	Kurzer Herbal- oder Rezeptposten im Recipe/Item-Stil; Feldtrenner ordnet, ohne einen modernen Satz zu behaupten.	getrennt verwahren [Ganzfeldexemplar H3, Feld 4/4]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H4_S001	H4	f55v	F010	f55v.5	1	5	NO	RECORD_START	NONE	TERMINAL	AIIN=MASS?	1	4	[EXEMPLAR:beginne den nächsten abgemessenen Posten] | {chaiin/AIIN=MASS?}[STILL_GRAMMAR:Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff] | [EXEMPLAR:koche das breite Blatt sanft] | [EXEMPLAR:in Weißwein] | [EXEMPLAR:lasse es ziehen, bis die Flüssigkeit klar ist]	Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff	beginne den nächsten abgemessenen Posten | koche das breite Blatt sanft | in Weißwein | lasse es ziehen, bis die Flüssigkeit klar ist	beginne den nächsten abgemessenen Posten; Ein vorgeschriebenes Maß; koche das breite Blatt sanft; in Weißwein; lasse es ziehen, bis die Flüssigkeit klar ist.	HERBAL_PARATACTIC_ITEM	Kurzer Herbal- oder Rezeptposten im Recipe/Item-Stil; Feldtrenner ordnet, ohne einen modernen Satz zu behaupten.	Blattflotte ansetzen [Ganzfeldexemplar H4, Feld 1/4]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H4_S002	H4	f55v	F011	f55v.5	1	3	NO	INTRA_LINE_FIELD_BREAK	NONE	TERMINAL	AIIN=MASS?	1	2	{daiin/AIIN=MASS?}[STILL_GRAMMAR:Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff] | [EXEMPLAR:rühre, bis alles gleichmäßig vermischt ist] | [EXEMPLAR:wasche die wunde Stelle einmal]	Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff	rühre, bis alles gleichmäßig vermischt ist | wasche die wunde Stelle einmal	Ein vorgeschriebenes Maß; rühre, bis alles gleichmäßig vermischt ist; wasche die wunde Stelle einmal.	HERBAL_PARATACTIC_ITEM	Kurzer Herbal- oder Rezeptposten im Recipe/Item-Stil; Feldtrenner ordnet, ohne einen modernen Satz zu behaupten.	weichen Rest abteilen [Ganzfeldexemplar H4, Feld 2/4]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H4_S003	H4	f55v	F012	f55v.11	1	4	NO	START_NEW_CLAUSE	NONE	TERMINAL	NONE	0	4	[EXEMPLAR:für den zweiten Arzneigebrauch] | [EXEMPLAR:gib Weißwein hinzu] | [EXEMPLAR:solange es noch warm ist] | [EXEMPLAR:koche sanft und beende diesen Arbeitsschritt]	NONE	für den zweiten Arzneigebrauch | gib Weißwein hinzu | solange es noch warm ist | koche sanft und beende diesen Arbeitsschritt	für den zweiten Arzneigebrauch; gib Weißwein hinzu; solange es noch warm ist; koche sanft und beende diesen Arbeitsschritt.	HERBAL_PARATACTIC_ITEM	Kurzer Herbal- oder Rezeptposten im Recipe/Item-Stil; Feldtrenner ordnet, ohne einen modernen Satz zu behaupten.	zwei Arbeitsfraktionen vergleichen [Ganzfeldexemplar H4, Feld 3/4]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H4_S004	H4	f55v	F013	f55v.11	1	6	NO	INTRA_LINE_FIELD_BREAK	NONE	OPEN	AIIN=MASS? | OR=ANSATZ?	2	4	{aiin/AIIN=MASS?}[STILL_GRAMMAR:Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff] | [EXEMPLAR:mische beide Anteile zusammen] | [EXEMPLAR:bewahre es in einem bedeckten Gefäß] | {or/OR=ANSATZ?}[STILL_GRAMMAR:Artikel, Materialart und Herstellungszustand] | [EXEMPLAR:Diese aktive Portion] | [EXEMPLAR:gebrauche die fertige Flüssigkeit frisch]	Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff | Artikel, Materialart und Herstellungszustand	mische beide Anteile zusammen | bewahre es in einem bedeckten Gefäß | Diese aktive Portion | gebrauche die fertige Flüssigkeit frisch	Ein vorgeschriebenes Maß; mische beide Anteile zusammen; bewahre es in einem bedeckten Gefäß; Die bereitete Arbeitsflüssigkeit; Diese aktive Portion; gebrauche die fertige Flüssigkeit frisch.	HERBAL_PARATACTIC_ITEM	Kurzer Herbal- oder Rezeptposten im Recipe/Item-Stil; Feldtrenner ordnet, ohne einen modernen Satz zu behaupten.	Fraktionen buchen [Ganzfeldexemplar H4, Feld 4/4]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
H5_S001	H5	f56r	F014|F015|F016	f56r.5|f56r.7|f56r.8	3	13	YES	RECORD_START	CONTINUE_SAME_CLAUSE|CONTINUE_SAME_CLAUSE	TERMINAL	AIIN=MASS? | OKY=ANWENDEN? | AL=ZIEL? | OKY=ANWENDEN?	4	9	[EXEMPLAR:sammle die Pflanze im Frühjahr] | [EXEMPLAR:nimm danach den folgenden Zusatz oder Pflanzenteil] | [EXEMPLAR:die dünne untere Wurzel] | {daiin/AIIN=MASS?}[STILL_GRAMMAR:Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff] || [EXEMPLAR:nimm danach den folgenden Zusatz oder Pflanzenteil] | [EXEMPLAR:lasse es in Weißwein ziehen] | [EXEMPLAR:vor der Blüte gesammelt] | {choky/OKY=ANWENDEN?}[STILL_GRAMMAR:Objekt, Ziel und Flexion des Gebrauchsverbs] | {dal/AL=ZIEL?}[STILL_GRAMMAR:Bewegungsverb, Deixis und konkreter Ort oder Körperteil] || [EXEMPLAR:von diesem abgebildeten Simplex] | [EXEMPLAR:die auf feuchter schattiger Heide wächst] | {choky/OKY=ANWENDEN?}[STILL_GRAMMAR:Objekt, Ziel und Flexion des Gebrauchsverbs] | [EXEMPLAR:lasse das Pflaster unbedeckt trocknen]	Artikel, Vorgeschriebenheitsgrad, Einheit und gemessener Stoff | Objekt, Ziel und Flexion des Gebrauchsverbs | Bewegungsverb, Deixis und konkreter Ort oder Körperteil	sammle die Pflanze im Frühjahr | nimm danach den folgenden Zusatz oder Pflanzenteil | die dünne untere Wurzel | nimm danach den folgenden Zusatz oder Pflanzenteil | lasse es in Weißwein ziehen | vor der Blüte gesammelt | von diesem abgebildeten Simplex | die auf feuchter schattiger Heide wächst | lasse das Pflaster unbedeckt trocknen	sammle die Pflanze im Frühjahr; nimm danach den folgenden Zusatz oder Pflanzenteil; die dünne untere Wurzel; Ein vorgeschriebenes Maß; nimm danach den folgenden Zusatz oder Pflanzenteil; lasse es in Weißwein ziehen; vor der Blüte gesammelt; Die aktive Portion verwenden; An die bezeichnete Zielstelle führen; von diesem abgebildeten Simplex; die auf feuchter schattiger Heide wächst; Die aktive Portion verwenden; lasse das Pflaster unbedeckt trocknen.	HERBAL_REFLOWED_RECIPE_CLAUSE	Simplex oder Ansatz bleibt über den physischen Zeilenwechsel aktiv; parataktische Rezeptglieder werden im selben Aussageschritt gelesen.	klebriges Feuchtlandmaterial übernehmen [Ganzfeldexemplar H5, Feld 1/7] | klebriges Feuchtlandmaterial übernehmen [Ganzfeldexemplar H5, Feld 2/7] | klein dosieren [Ganzfeldexemplar H5, Feld 3/7]	CREATIVE_LOCAL_SOURCE_EXPANSION_NOT_CARD_COMPOSITION_OR_TRANSLATION	V59_R1_CANONICAL_FIELDS+V60_SELECTED_EXACT_DECK>V61_R2
