boundary_serial	boundary_id	record_unit_id	page	boundary_ordinal_in_record	left_locus	right_locus	left_last_field_id	right_first_field_id	left_field_closure_status	boundary_classification	same_source_statement	left_source_statement_id	right_source_statement_id	active_state_before_boundary	boundary_transition	parallel_cell_pattern	left_tail_exact_id	left_tail_selected_mnemonic	left_tail_formal_control	right_head_exact_id	right_head_selected_mnemonic	right_head_formal_control	repeated_exact_joint_tuple_across_boundary	decision_evidence	strongest_rival_segmentation	focus_status	line_statement_contract	source_lineage
1	LBOUND001	H1	f10r	1	f10r.2	f10r.5	F001	F002	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S001	S001	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_EXTENDED_BY_NEXT_OPEN_HEAD	a6939862e33ece5a0483	UNKNOWN	NONE	9ad66e67803a12e745de	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
2	LBOUND002	H2	f10r	1	f10r.6	f10r.8	F003	F004	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S002	S002	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_EXTENDED_BY_NEXT_OPEN_HEAD	b921a237be883a820352	UNKNOWN	NONE	10488b911aae52b3b334	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
3	LBOUND003	H2	f10r	2	f10r.8	f10r.9	F004	F005	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S002	S002	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_EXTENDED_BY_NEXT_OPEN_HEAD	4d4559019a961b834aa1	UNKNOWN	NONE	27d97af8c96eb056c2e6	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
4	LBOUND004	H3	f11r	1	f11r.1	f11r.4	F007	F008	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S004	S004	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_EXTENDED_BY_NEXT_OPEN_HEAD	577c03a928d674d420d7	UNKNOWN	NONE	d665560c8ff80799a82c	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
5	LBOUND005	H3	f11r	2	f11r.4	f11r.7	F008	F009	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S004	S004	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_EXTENDED_BY_NEXT_OPEN_HEAD	2f1c5e56e8f0ff459065	MASS?	VORGABEPARAMETER?	a48efd6c4491a046ba78	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
6	LBOUND006	H4	f55v	1	f55v.5	f55v.11	F011	F012	TERMINAL	RESET_AFTER_COMMIT	NO	S006	S007	TRANSACTION_COMMITTED_AT_LEFT_LOCUS_END	START_NEW_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	CLOSED_PARALLEL_CELL_SEQUENCE	e026af581c99322fbd46	UNKNOWN	NONE	f7dc90b2c31fd341f0a4	UNKNOWN	NONE	NO	Left final field is TERMINAL; the next locus starts a different source statement ID.	CROSS_LOCUS_MERGE: treat formal CLOSE as an internal checkpoint and continue one larger statement.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
7	LBOUND007	H5	f56r	1	f56r.5	f56r.7	F014	F015	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S009	S009	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_EXTENDED_BY_NEXT_OPEN_HEAD	2f1c5e56e8f0ff459065	MASS?	VORGABEPARAMETER?	2cc054357a929df85f64	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
8	LBOUND008	H5	f56r	2	f56r.7	f56r.8	F015	F016	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S009	S009	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	dd0ecaf5e27d81befffc	ZIEL?	NONE	d665560c8ff80799a82c	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
9	LBOUND009	H5	f56r	3	f56r.8	f56r.12	F016	F017	TERMINAL	RESET_AFTER_COMMIT	NO	S009	S010	TRANSACTION_COMMITTED_AT_LEFT_LOCUS_END	START_NEW_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	SINGLE_CLOSED_CELL	95987d6f198d6d247511	UNKNOWN	NONE	ad3581d3144f69a5912d	UNKNOWN	NONE	NO	Left final field is TERMINAL; the next locus starts a different source statement ID.	CROSS_LOCUS_MERGE: treat formal CLOSE as an internal checkpoint and continue one larger statement.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
10	LBOUND010	H5	f56r	4	f56r.12	f56r.13	F017	F018	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S010	S010	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_EXTENDED_BY_NEXT_OPEN_HEAD	1322bc176443fc2a8a86	UNKNOWN	NONE	9ad66e67803a12e745de	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
