field_serial	field_id	page	record_unit_id	locus	field_ordinal_in_locus	field_ordinal_in_record	source_statement_id	statement_field_position	field_closure_status	event_count	event_serials	source_surface_sequence_display_only	selected_exact_mnemonic_slots	formal_control_slots	active_state_before_field	active_state_after_field	assignment_reason	full_local_field_reading	field_nonmedical_rival	binding_contract	source_lineage
1	F001	f10r	H1	f10r.2	1	1	S001	FIRST	OPEN	10	E1,E2,E3,E4,E5,E6,E7,E8,E9,E10	dchey cthoor char chty os chair otytchol oky daiin etyd	E8:276a7c2d74d1143446f4:ANWENDEN? | E9:2f1c5e56e8f0ff459065:MASS?	E9:VORGABEPARAMETER?	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	Wurzelstoff aus dem Bildlos übernehmen [Ganzfeldexemplar H1, Feld 1/2]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
2	F002	f10r	H1	f10r.5	1	2	S001	LAST	OPEN	4	E11,E12,E13,E14	qokchy qotchol chol cthy	E14:e0b630cb1b5df5e7105b:BEREIT?	E13:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	ACTIVE_STATE_OPEN_AT_RECORD_END	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	als Standardzusatz ansetzen [Ganzfeldexemplar H1, Feld 2/2]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
3	F003	f10r	H2	f10r.6	1	1	S002	FIRST	OPEN	9	E15,E16,E17,E18,E19,E20,E21,E22,E23	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	E16:e0b630cb1b5df5e7105b:BEREIT? | E17:7a4bb8136330ee4e6e56:ANSATZ? | E22:2f1c5e56e8f0ff459065:MASS?	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	obere Pflanzenteile übernehmen [Ganzfeldexemplar H2, Feld 1/3]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
4	F004	f10r	H2	f10r.8	1	2	S002	MIDDLE	OPEN	8	E24,E25,E26,E27,E28,E29,E30,E31	qotchor chor otol chol cholor chol daiin dar	E25:7a4bb8136330ee4e6e56:ANSATZ? | E28:dec401773c1f0347793d:VORIGES? | E30:2f1c5e56e8f0ff459065:MASS?	E27:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN | E29:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN | E30:VORGABEPARAMETER?	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	ausziehen [Ganzfeldexemplar H2, Feld 2/3]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
5	F005	f10r	H2	f10r.9	1	3	S002	LAST	OPEN	7	E32,E33,E34,E35,E36,E37,E38	oykchor shor chor chy kaiiin dy chodaiin	E33:7a4bb8136330ee4e6e56:ANSATZ? | E34:7a4bb8136330ee4e6e56:ANSATZ?	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	ACTIVE_STATE_OPEN_AT_RECORD_END	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	mit einem Träger verbinden [Ganzfeldexemplar H2, Feld 3/3]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
6	F006	f11r	H3	f11r.1	1	1	S003	ONLY	TERMINAL	7	E39,E40,E41,E42,E43,E44,E45	tshol schoal cfhy shfydaiin cphy shey tchody	E44:b5df9126607030b95175:KLAR?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen	Blüten- oder Krautanteil übernehmen [Ganzfeldexemplar H3, Feld 1/4]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
7	F007	f11r	H3	f11r.1	2	2	S004	FIRST	OPEN	1	E46	shoyty	NONE	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	behalte die Blütenkrone zurück	ausziehen [Ganzfeldexemplar H3, Feld 2/4]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
8	F008	f11r	H3	f11r.4	1	3	S004	MIDDLE	OPEN	5	E47,E48,E49,E50,E51	dchol chy kchy dy daiin	E51:2f1c5e56e8f0ff459065:MASS?	E51:VORGABEPARAMETER?	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	filtrieren [Ganzfeldexemplar H3, Feld 3/4]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
9	F009	f11r	H3	f11r.7	1	4	S004	LAST	OPEN	4	E52,E53,E54,E55	qotchy okchol cthy dy	E54:e0b630cb1b5df5e7105b:BEREIT?	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	ACTIVE_STATE_OPEN_AT_RECORD_END	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	getrennt verwahren [Ganzfeldexemplar H3, Feld 4/4]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
10	F010	f55v	H4	f55v.5	1	1	S005	ONLY	TERMINAL	5	E56,E57,E58,E59,E60	qokaiin chaiin ykain ykan ody	E57:2f1c5e56e8f0ff459065:MASS?	E56:STANDARDSLOT_SETZEN	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist	Blattflotte ansetzen [Ganzfeldexemplar H4, Feld 1/4]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
