field_id	record_unit_id	locus	statement_id	field_ordinal_in_record	closure_status
F001	H1	f10r.2	H1_S01	1	OPEN
F002	H1	f10r.5	H1_S01	2	OPEN
F003	H2	f10r.6	H2_S01	1	OPEN
F004	H2	f10r.8	H2_S01	2	OPEN
F005	H2	f10r.9	H2_S01	3	OPEN
F006	H3	f11r.1	H3_S01	1	TERMINAL
F007	H3	f11r.1	H3_S01	2	OPEN
F008	H3	f11r.4	H3_S02	3	OPEN
F009	H3	f11r.7	H3_S02	4	OPEN
F010	H4	f55v.5	H4_S01	1	TERMINAL
F011	H4	f55v.5	H4_S01	2	TERMINAL
F012	H4	f55v.11	H4_S02	3	TERMINAL
F013	H4	f55v.11	H4_S02	4	OPEN
F014	H5	f56r.5	H5_S01	1	OPEN
F015	H5	f56r.7	H5_S01	2	OPEN
F016	H5	f56r.8	H5_S01	3	TERMINAL
F017	H5	f56r.12	H5_S02	4	OPEN
F018	H5	f56r.13	H5_S02	5	OPEN
F019	H5	f56r.18	H5_S02	6	OPEN
F020	H5	f56r.19	H5_S02	7	OPEN
F021	B1	f81v.2	B1_S01	1	TERMINAL
F022	B1	f81v.2	B1_S01	2	OPEN
F023	B1	f81v.7	B1_S02	3	TERMINAL
F024	B1	f81v.7	B1_S02	4	OPEN
F025	B1	f81v.17	B1_S03	5	TERMINAL
F026	B1	f81v.17	B1_S03	6	TERMINAL
F027	B1	f81v.17	B1_S03	7	TERMINAL
F028	B1	f81v.17	B1_S03	8	OPEN
F029	B1	f81v.18	B1_S04	9	TERMINAL
F030	B1	f81v.18	B1_S04	10	TERMINAL
F031	B1	f81v.18	B1_S04	11	TERMINAL
F032	B1	f81v.18	B1_S04	12	TERMINAL
F033	B1	f81v.18	B1_S04	13	OPEN
F034	B1	f81v.21	B1_S05	14	TERMINAL
F035	B1	f81v.21	B1_S05	15	TERMINAL
F036	B1	f81v.21	B1_S05	16	OPEN
F037	B1	f81v.24	B1_S06	17	TERMINAL
F038	B1	f81v.24	B1_S06	18	TERMINAL
F039	B1	f81v.24	B1_S06	19	TERMINAL
F040	B1	f81v.24	B1_S06	20	OPEN
F041	B1	f81v.27	B1_S07	21	TERMINAL
F042	B1	f81v.27	B1_S07	22	TERMINAL
F043	B1	f81v.27	B1_S07	23	TERMINAL
F044	B1	f81v.27	B1_S07	24	OPEN
F045	B2	f82r.2	B2_S01	1	TERMINAL
F046	B2	f82r.2	B2_S01	2	TERMINAL
F047	B2	f82r.2	B2_S01	3	TERMINAL
F048	B2	f82r.2	B2_S01	4	OPEN
F049	B2	f82r.3	B2_S02	5	TERMINAL
F050	B2	f82r.3	B2_S02	6	OPEN
F051	B2	f82r.4	B2_S02	7	TERMINAL
F052	B2	f82r.4	B2_S02	8	OPEN
F053	B2	f82r.7	B2_S03	9	TERMINAL
F054	B2	f82r.7	B2_S03	10	TERMINAL
F055	B2	f82r.7	B2_S03	11	TERMINAL
F056	B2	f82r.7	B2_S03	12	OPEN
F057	B2	f82r.19	B2_S04	13	TERMINAL
F058	B2	f82r.19	B2_S04	14	OPEN
F059	B2	f82r.23	B2_S05	15	TERMINAL
F060	B2	f82r.23	B2_S05	16	TERMINAL
F061	B2	f82r.23	B2_S05	17	OPEN
F062	B2	f82r.26	B2_S06	18	TERMINAL
F063	B2	f82r.26	B2_S06	19	OPEN
F064	B2	f82r.27	B2_S07	20	TERMINAL
F065	B2	f82r.27	B2_S07	21	TERMINAL
F066	B2	f82r.27	B2_S07	22	TERMINAL
F067	B2	f82r.27	B2_S07	23	TERMINAL
F068	B2	f82r.27	B2_S07	24	TERMINAL
F069	B2	f82r.27	B2_S07	25	TERMINAL
F070	B2	f82r.27	B2_S07	26	TERMINAL
F071	B3	f83r.3	B3_S01	1	TERMINAL
F072	B3	f83r.3	B3_S01	2	TERMINAL
F073	B3	f83r.3	B3_S01	3	TERMINAL
F074	B3	f83r.3	B3_S01	4	OPEN
F075	B3	f83r.6	B3_S02	5	TERMINAL
F076	B3	f83r.6	B3_S02	6	TERMINAL
F077	B3	f83r.6	B3_S02	7	TERMINAL
F078	B3	f83r.6	B3_S02	8	TERMINAL
F079	B3	f83r.6	B3_S02	9	OPEN
F080	B3	f83r.8	B3_S02	10	TERMINAL
F081	B3	f83r.8	B3_S02	11	OPEN
