master_card_id	master_form	instruction_de	registered_surface_count	registered_surfaces	event_count	page_position_neighbour_events	owner_override_events	pages	teaching_rule
MC002	okeey	LAENGER_SETZEN_ODER_HALTEN	2	okeey|qokeey	7	7	0	f81v|f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC005	okchedy	vorigen Posten überführen; Schluss	2	okchedy|qokchedy	2	2	0	f81v|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC007	okey	KURZ_SETZEN	2	okey|qokey	2	2	0	f81v|f82r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC013	otchor	Folgeansatz	2	otchor|qotchor	2	2	0	f10r|f56r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC017	okain	Anteil zugeben	2	okain|qokain	7	7	0	f81v|f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC025	dchedy	überführen; Schluss	3	dchedy|schedy|tchedy	4	2	2	f81v|f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC026	choky	einsetzen	3	choky|oky|qoky	10	10	0	f10r|f56r|f81v|f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC028	olchedy	weiterführen; Schluss	2	olchedy|qolchedy	3	3	0	f81v|f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC033	oiiin	Arbeitsstufe	2	oiiin|soiiin	2	2	0	f81v|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC034	cho	EINGABE_ODER_BEDINGUNG	2	cho|sho	4	4	0	f56r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC035	chckhy	durchleiten	2	chckhy|shckhy	4	4	0	f81v|f82r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC039	aiin	Sollmaß	5	aiin|chaiin|daiin|saiin|taiin	20	20	0	f10r|f11r|f55v|f56r|f81v|f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC040	okal	dorthin einsetzen	2	okal|qokal	6	6	0	f55v|f81v|f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC045	olkeedy	lange sammeln; Schluss	2	olkeedy|solkeedy	3	1	2	f81v|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC055	char	davon	3	char|dar|sar	5	5	0	f10r|f81v|f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC057	otchedy	Folgetransfer; Schluss	2	otchedy|qotchedy	2	2	0	f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC060	otaiin	Folgemaß	2	otaiin|sotaiin	3	3	0	f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC073	qcthey	kurz vorbereiten	2	qcthey|shcthey	2	2	0	f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC074	chdy	überführen	2	chdy|chedy	11	11	0	f55v|f81v|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC080	chor	Ansatz	4	chor|or|shor|sor	7	7	0	f10r|f55v|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC086	chety	Teil	2	chety|chty	2	2	0	f10r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC093	otal	danach dorthin	2	otal|qotal	3	3	0	f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC097	olkain	weiterer Anteil	2	olkain|qolkain	2	2	0	f81v|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC103	chokchy	den laufenden Posten einsetzen und weiterbearbeiten	3	chokchy|okchy|qokchy	3	3	0	f10r|f56r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC105	chkain	Portion	2	chkain|kain	3	3	0	f81v|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC119	cheey	Klarlauf	2	cheey|shey	4	4	0	f11r|f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC120	okaiin	bemessen	2	okaiin|qokaiin	9	9	0	f55v|f81v|f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC123	chey	dies	6	chey|chy|dy|shy|sy|y	18	18	0	f10r|f11r|f55v|f81v|f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC128	cheedy	kurz absetzen; Schluss	3	cheedy|shedy|tedy	12	12	0	f81v|f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC142	dchol	vom vorigen Arbeitsgang nehmen	2	dchol|schol	2	2	0	f11r|f56r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC153	cheol	weiter	6	cheol|chol|ol|qol|sol|tol	19	19	0	f10r|f81v|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC154	al	dorthin	6	al|chal|cheal|dal|sal|tal	10	10	0	f56r|f81v|f82r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC157	cholor	derselbe Ansatz	2	cholor|olor	2	2	0	f10r|f81v	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
MC161	checthy	bereit	3	checthy|cthy|shcthy	7	7	0	f10r|f11r|f83r	choose by page/register, field position and neighbours; use visible owner only for marked isolated station cases
