event_id	statement_id	page	field_id	field_position	visible_owner	master_card_id	master_form	registered_surfaces	previous_master_card	next_master_card	renderer_mode	renderer_key	predicted_visible_surface	actual_visible_surface	renderer_result
E003	H1-S001	f10r	F001	3	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC055	char	char|dar|sar	MC158	MC086	PAGE_POSITION_NEIGHBOUR_RENDERER	MC055|f10r|3|MC158|MC086	char	char	PASS
E004	H1-S001	f10r	F001	4	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC086	chety	chety|chty	MC055	MC159	PAGE_POSITION_NEIGHBOUR_RENDERER	MC086|f10r|4|MC055|MC159	chty	chty	PASS
E008	H1-S001	f10r	F001	8	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC026	choky	choky|oky|qoky	MC069	MC039	PAGE_POSITION_NEIGHBOUR_RENDERER	MC026|f10r|8|MC069|MC039	oky	oky	PASS
E009	H1-S001	f10r	F001	9	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC039	aiin	aiin|chaiin|daiin|saiin|taiin	MC026	MC108	PAGE_POSITION_NEIGHBOUR_RENDERER	MC039|f10r|9|MC026|MC108	daiin	daiin	PASS
E011	H1-S002	f10r	F002	1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC103	chokchy	chokchy|okchy|qokchy	FIELD_START	MC163	PAGE_POSITION_NEIGHBOUR_RENDERER	MC103|f10r|1|FIELD_START|MC163	qokchy	qokchy	PASS
E013	H1-S002	f10r	F002	3	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC153	cheol	cheol|chol|ol|qol|sol|tol	MC163	MC161	PAGE_POSITION_NEIGHBOUR_RENDERER	MC153|f10r|3|MC163|MC161	chol	chol	PASS
E014	H1-S002	f10r	F002	4	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC161	checthy	checthy|cthy|shcthy	MC153	FIELD_END	PAGE_POSITION_NEIGHBOUR_RENDERER	MC161|f10r|4|MC153|FIELD_END	cthy	cthy	PASS
E016	H2-S001	f10r	F003	2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC161	checthy	checthy|cthy|shcthy	MC075	MC080	PAGE_POSITION_NEIGHBOUR_RENDERER	MC161|f10r|2|MC075|MC080	cthy	cthy	PASS
E017	H2-S001	f10r	F003	3	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC080	chor	chor|or|shor|sor	MC161	MC169	PAGE_POSITION_NEIGHBOUR_RENDERER	MC080|f10r|3|MC161|MC169	chor	chor	PASS
E020	H2-S001	f10r	F003	6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC123	chey	chey|chy|dy|shy|sy|y	MC115	MC123	PAGE_POSITION_NEIGHBOUR_RENDERER	MC123|f10r|6|MC115|MC123	dy	dy	PASS
