event_id	statement_id	page	master_card_id	instruction_de	renderer_mode	renderer_key	generated_visible_surface	actual_visible_surface	result
E001	H1-S001	f10r	MC071	Wurzel	SOLE_REGISTERED_SURFACE	MC071	dchey	dchey	PASS
E002	H1-S001	f10r	MC158	den Ansatz bereitstellen	SOLE_REGISTERED_SURFACE	MC158	cthoor	cthoor	PASS
E003	H1-S001	f10r	MC055	davon	PAGE_POSITION_NEIGHBOUR_RENDERER	MC055|f10r|3|MC158|MC086	char	char	PASS
E004	H1-S001	f10r	MC086	Teil	PAGE_POSITION_NEIGHBOUR_RENDERER	MC086|f10r|4|MC055|MC159	chty	chty	PASS
E005	H1-S001	f10r	MC159	AUFNAHMEFELD_ODER_UMSCHLUSS	SOLE_REGISTERED_SURFACE	MC159	os	os	PASS
E006	H1-S001	f10r	MC014	laufendes Medium zugießen	SOLE_REGISTERED_SURFACE	MC014	chair	chair	PASS
E007	H1-S001	f10r	MC069	Folgeteil	SOLE_REGISTERED_SURFACE	MC069	otytchol	otytchol	PASS
E008	H1-S001	f10r	MC026	einsetzen	PAGE_POSITION_NEIGHBOUR_RENDERER	MC026|f10r|8|MC069|MC039	oky	oky	PASS
E009	H1-S001	f10r	MC039	Sollmaß	PAGE_POSITION_NEIGHBOUR_RENDERER	MC039|f10r|9|MC026|MC108	daiin	daiin	PASS
E010	H1-S001	f10r	MC108	kleiner Rest	SOLE_REGISTERED_SURFACE	MC108	etyd	etyd	PASS
E011	H1-S002	f10r	MC103	den laufenden Posten einsetzen und weiterbearbeiten	PAGE_POSITION_NEIGHBOUR_RENDERER	MC103|f10r|1|FIELD_START|MC163	qokchy	qokchy	PASS
E012	H1-S002	f10r	MC163	zum Folgegang wechseln	SOLE_REGISTERED_SURFACE	MC163	qotchol	qotchol	PASS
E013	H1-S002	f10r	MC153	weiter	PAGE_POSITION_NEIGHBOUR_RENDERER	MC153|f10r|3|MC163|MC161	chol	chol	PASS
E014	H1-S002	f10r	MC161	bereit	PAGE_POSITION_NEIGHBOUR_RENDERER	MC161|f10r|4|MC153|FIELD_END	cthy	cthy	PASS
E015	H2-S001	f10r	MC075	aktueller Auszugsansatz	SOLE_REGISTERED_SURFACE	MC075	ycheor	ycheor	PASS
E016	H2-S001	f10r	MC161	bereit	PAGE_POSITION_NEIGHBOUR_RENDERER	MC161|f10r|2|MC075|MC080	cthy	cthy	PASS
E017	H2-S001	f10r	MC080	Ansatz	PAGE_POSITION_NEIGHBOUR_RENDERER	MC080|f10r|3|MC161|MC169	chor	chor	PASS
E018	H2-S001	f10r	MC169	die Sollvorbereitung setzen	SOLE_REGISTERED_SURFACE	MC169	cthaiin	cthaiin	PASS
E019	H2-S001	f10r	MC115	danach mit diesem Posten weiter	SOLE_REGISTERED_SURFACE	MC115	qoctholy	qoctholy	PASS
E020	H2-S001	f10r	MC123	dies	PAGE_POSITION_NEIGHBOUR_RENDERER	MC123|f10r|6|MC115|MC123	dy	dy	PASS
E021	H2-S001	f10r	MC123	dies	PAGE_POSITION_NEIGHBOUR_RENDERER	MC123|f10r|7|MC123|MC039	chy	chy	PASS
E022	H2-S001	f10r	MC039	Sollmaß	PAGE_POSITION_NEIGHBOUR_RENDERER	MC039|f10r|8|MC123|MC123	taiin	taiin	PASS
E023	H2-S001	f10r	MC123	dies	PAGE_POSITION_NEIGHBOUR_RENDERER	MC123|f10r|9|MC039|FIELD_END	shy	shy	PASS
E024	H2-S002	f10r	MC013	Folgeansatz	PAGE_POSITION_NEIGHBOUR_RENDERER	MC013|f10r|1|FIELD_START|MC080	qotchor	qotchor	PASS
E025	H2-S002	f10r	MC080	Ansatz	PAGE_POSITION_NEIGHBOUR_RENDERER	MC080|f10r|2|MC013|MC053	chor	chor	PASS
E026	H2-S002	f10r	MC053	danach im selben Gang weiter	SOLE_REGISTERED_SURFACE	MC053	otol	otol	PASS
E027	H2-S002	f10r	MC153	weiter	PAGE_POSITION_NEIGHBOUR_RENDERER	MC153|f10r|4|MC053|MC157	chol	chol	PASS
E028	H2-S002	f10r	MC157	derselbe Ansatz	PAGE_POSITION_NEIGHBOUR_RENDERER	MC157|f10r|5|MC153|MC153	cholor	cholor	PASS
E029	H2-S002	f10r	MC153	weiter	PAGE_POSITION_NEIGHBOUR_RENDERER	MC153|f10r|6|MC157|MC039	chol	chol	PASS
E030	H2-S002	f10r	MC039	Sollmaß	PAGE_POSITION_NEIGHBOUR_RENDERER	MC039|f10r|7|MC153|MC055	daiin	daiin	PASS
E031	H2-S002	f10r	MC055	davon	PAGE_POSITION_NEIGHBOUR_RENDERER	MC055|f10r|8|MC039|FIELD_END	dar	dar	PASS
E032	H2-S003	f10r	MC027	Gefäß für den Ansatz	SOLE_REGISTERED_SURFACE	MC027	oykchor	oykchor	PASS
E033	H2-S003	f10r	MC080	Ansatz	PAGE_POSITION_NEIGHBOUR_RENDERER	MC080|f10r|2|MC027|MC080	shor	shor	PASS
E034	H2-S003	f10r	MC080	Ansatz	PAGE_POSITION_NEIGHBOUR_RENDERER	MC080|f10r|3|MC080|MC123	chor	chor	PASS
E035	H2-S003	f10r	MC123	dies	PAGE_POSITION_NEIGHBOUR_RENDERER	MC123|f10r|4|MC080|MC048	chy	chy	PASS
E036	H2-S003	f10r	MC048	die Arbeitsstufe setzen	SOLE_REGISTERED_SURFACE	MC048	kaiiin	kaiiin	PASS
