gdt756_control_id	target_ychor_locus	control_page	control_locus	control_initial_surface	same_section_language_hand	both_paragraph_continuations	line_length_delta	global_line_order_distance	control_line_token_count	control_written_line_eva	independent_body_axes	body_token_count	reader_exact_body_tokens	independent_axis_body_tokens	content_present	amount_or_level_present	process_present	quality_or_stage_present	recipe_content_amount_process_triad	suspect_axis_tokens_excluded	comparison_uses_initial_surface_meaning	confirmed_lexeme
G756-C001	f6v.8	f6v	f6v.7	ychos	1	1	1	1	5	ychos ychol daiin cthol dol	DRY|MATERIAL	4	4	2	1	0	0	1	0	0	0	0
G756-C002	f6v.8	f6v	f6v.9	oeeo	1	1	1	1	5	oeeo dal chor cthom s	AMOUNT|PREPARATION	4	4	1	1	1	0	0	0	0	0	0
G756-C003	f6v.8	f6v	f6v.12	ytchos	1	1	0	4	4	ytchos shy qokam cthy	MATERIAL	3	3	1	1	0	0	0	0	0	0	0
G756-C004	f6v.8	f6v	f6v.14	qokor	1	1	0	6	4	qokor chol cthol tchalody	MATERIAL	3	3	1	1	0	0	0	0	0	0	0
G756-C005	f6v.8	f6r	f6r.14	ysho	1	1	0	8	4	ysho taiin y kaiim	NONE	3	3	0	0	0	0	0	0	0	0	0
G756-C006	f6v.8	f6v	f6v.16	ochy	1	1	0	8	4	ochy cthar cthar cthy	PART|MATERIAL	3	2	2	1	1	0	0	0	0	0	0
G756-C007	f6v.8	f6r	f6r.13	qocthol	1	1	1	9	3	qocthol yodaiin cthy	MATERIAL	2	1	1	1	0	0	0	0	0	0	0
G756-C008	f6v.8	f6r	f6r.12	or	1	1	1	10	5	or shol cthom chor cthy	AMOUNT|MATERIAL|PREPARATION	4	4	2	1	1	0	0	0	0	0	0
G756-C009	f6v.8	f6r	f6r.11	ychar	1	1	0	11	4	ychar olchaj ol chokaiin	HOT|DRY|PREPARATION|LEVEL_III	3	2	1	1	1	0	1	0	0	0	0
G756-C010	f6v.8	f6v	f6v.19	ocholy	1	1	0	11	4	ocholy kchos chy dor	NONE	3	1	0	0	0	0	0	0	0	0	0
G756-C011	f6v.8	f6v	f6v.20	dchor	1	1	0	12	4	dchor choldar okol daiin	NONE	3	3	0	0	0	0	0	0	0	0	0
