recipe_triad_rate_rank	initial_surface	reader_exact_initial_lines	recipe_triad_lines	recipe_triad_rate	content_lines	amount_or_level_lines	process_lines	quality_or_stage_lines	global_reader_exact_occurrences	global_reader_exact_line_initial	global_line_initial_purity	comparison_uses_initial_surface_meaning	body_axes_exclude_gdt754_suspect_surfaces	confirmed_lexeme
1	pchor	7	3	0.428571	4	4	3	4	10	7	0.700000	0	1	0
2	ykar	5	2	0.400000	4	4	2	4	27	5	0.185185	0	1	0
3	yteedy	5	2	0.400000	2	2	3	5	19	5	0.263158	0	1	0
4	ychor	13	4	0.307692	9	6	4	6	13	13	1.000000	0	1	0
5	polaiin	7	2	0.285714	5	3	4	5	8	7	0.875000	0	1	0
6	pol	11	3	0.272727	7	4	4	9	13	11	0.846154	0	1	0
7	qotor	11	3	0.272727	10	8	3	11	22	11	0.500000	0	1	0
8	ycheol	8	2	0.250000	4	3	2	5	8	8	1.000000	0	1	0
9	ychol	8	2	0.250000	5	4	2	5	9	8	0.888889	0	1	0
10	dchey	9	2	0.222222	5	4	3	8	13	9	0.692308	0	1	0
11	ykeey	9	2	0.222222	7	5	3	8	41	9	0.219512	0	1	0
12	chor	10	2	0.200000	6	5	2	6	176	10	0.056818	0	1	0
13	qokol	10	2	0.200000	8	4	4	8	82	10	0.121951	0	1	0
14	dcheol	5	1	0.200000	4	2	1	5	7	5	0.714286	0	1	0
15	lol	5	1	0.200000	5	5	1	5	31	5	0.161290	0	1	0
16	okchey	5	1	0.200000	3	3	1	5	26	5	0.192308	0	1	0
17	paiin	5	1	0.200000	2	1	1	4	6	5	0.833333	0	1	0
18	qoaiin	5	1	0.200000	3	1	2	3	20	5	0.250000	0	1	0
19	qokchor	5	1	0.200000	5	2	1	4	7	5	0.714286	0	1	0
20	qotcho	5	1	0.200000	5	2	1	4	9	5	0.555556	0	1	0
21	shodaiin	5	1	0.200000	3	2	1	3	16	5	0.312500	0	1	0
22	tshol	5	1	0.200000	2	3	2	3	6	5	0.833333	0	1	0
23	ycheor	5	1	0.200000	4	3	1	2	6	5	0.833333	0	1	0
24	dchedy	11	2	0.181818	5	4	6	10	15	11	0.733333	0	1	0
25	chedy	6	1	0.166667	1	1	3	3	296	6	0.020270	0	1	0
26	kchor	6	1	0.166667	6	3	1	2	18	6	0.333333	0	1	0
27	otchor	6	1	0.166667	6	4	1	6	16	6	0.375000	0	1	0
28	pcheol	6	1	0.166667	4	2	3	4	10	6	0.600000	0	1	0
29	ycheo	6	1	0.166667	4	2	1	3	7	6	0.857143	0	1	0
30	yshedy	6	1	0.166667	5	2	2	6	6	6	1.000000	0	1	0
31	qokedy	14	2	0.142857	6	2	6	9	164	14	0.085366	0	1	0
32	olkeey	7	1	0.142857	4	4	2	5	32	7	0.218750	0	1	0
33	otol	7	1	0.142857	4	3	2	4	56	7	0.125000	0	1	0
34	qokar	7	1	0.142857	2	4	3	3	132	7	0.053030	0	1	0
35	qotol	7	1	0.142857	7	2	1	6	40	7	0.175000	0	1	0
36	sal	7	1	0.142857	3	2	2	4	33	7	0.212121	0	1	0
37	ol	22	3	0.136364	13	6	7	15	376	22	0.058511	0	1	0
38	shol	15	2	0.133333	12	7	3	14	146	15	0.102740	0	1	0
39	shor	16	2	0.125000	10	5	3	11	77	16	0.207792	0	1	0
40	dsheol	8	1	0.125000	4	2	3	6	9	8	0.888889	0	1	0
41	ydaiin	8	1	0.125000	6	4	2	4	14	8	0.571429	0	1	0
42	or	25	3	0.120000	14	11	6	15	235	25	0.106383	0	1	0
43	qol	17	2	0.117647	8	6	9	14	124	17	0.137097	0	1	0
44	sho	27	3	0.111111	19	10	5	21	93	27	0.290323	0	1	0
45	sair	9	1	0.111111	3	2	2	4	16	9	0.562500	0	1	0
46	ykaiin	9	1	0.111111	7	5	3	8	33	9	0.272727	0	1	0
47	saiin	46	5	0.108696	22	15	15	33	89	46	0.516854	0	1	0
48	tchedy	19	2	0.105263	7	4	3	10	24	19	0.791667	0	1	0
49	dol	10	1	0.100000	6	3	3	6	64	10	0.156250	0	1	0
50	qokain	21	2	0.095238	14	6	8	18	256	21	0.082031	0	1	0
51	daiin	119	11	0.092437	70	43	25	84	602	119	0.197674	0	1	0
52	tchor	11	1	0.090909	8	3	2	7	17	11	0.647059	0	1	0
53	taiin	12	1	0.083333	4	5	5	8	38	12	0.315789	0	1	0
54	sor	25	2	0.080000	16	10	7	20	34	25	0.735294	0	1	0
55	qokeey	26	2	0.076923	13	4	9	15	264	26	0.098485	0	1	0
56	okaiin	13	1	0.076923	6	6	2	7	177	13	0.073446	0	1	0
57	qokal	13	1	0.076923	6	4	2	4	158	13	0.082278	0	1	0
58	qokchy	13	1	0.076923	10	5	2	13	58	13	0.224138	0	1	0
59	tar	13	1	0.076923	6	5	3	7	33	13	0.393939	0	1	0
60	sain	29	2	0.068966	18	8	10	21	53	29	0.547170	0	1	0
61	ycheey	15	1	0.066667	10	6	3	9	17	15	0.882353	0	1	0
62	chol	16	1	0.062500	7	2	2	8	303	16	0.052805	0	1	0
63	dor	16	1	0.062500	10	4	6	11	48	16	0.333333	0	1	0
64	dshedy	16	1	0.062500	4	2	4	13	19	16	0.842105	0	1	0
65	tol	16	1	0.062500	11	8	5	11	27	16	0.592593	0	1	0
66	dair	18	1	0.055556	9	6	3	9	63	18	0.285714	0	1	0
67	sar	21	1	0.047619	10	6	2	14	45	21	0.466667	0	1	0
68	dar	24	1	0.041667	12	7	4	14	195	24	0.123077	0	1	0
69	qokaiin	25	1	0.040000	16	6	5	16	241	25	0.103734	0	1	0
70	qokeedy	25	1	0.040000	9	3	8	18	201	25	0.124378	0	1	0
71	sol	31	1	0.032258	10	4	9	16	49	31	0.632653	0	1	0
72	dain	39	1	0.025641	23	12	10	26	149	39	0.261745	0	1	0
73	y	29	0	0.000000	9	5	3	12	84	29	0.345238	0	1	0
74	qotchy	17	0	0.000000	7	1	3	8	55	17	0.309091	0	1	0
75	o	14	0	0.000000	3	2	2	4	33	14	0.424242	0	1	0
76	dchor	11	0	0.000000	8	3	1	7	22	11	0.500000	0	1	0
77	okeey	11	0	0.000000	6	2	1	8	116	11	0.094828	0	1	0
78	s	10	0	0.000000	2	1	1	2	154	10	0.064935	0	1	0
79	oaiin	9	0	0.000000	8	4	0	7	17	9	0.529412	0	1	0
80	okain	9	0	0.000000	3	3	0	3	112	9	0.080357	0	1	0
81	qotchor	9	0	0.000000	6	4	0	4	11	9	0.818182	0	1	0
82	qoteedy	9	0	0.000000	6	2	4	9	51	9	0.176471	0	1	0
83	soiin	9	0	0.000000	4	5	1	7	12	9	0.750000	0	1	0
84	dcheey	8	0	0.000000	3	4	2	6	9	8	0.888889	0	1	0
85	dchol	8	0	0.000000	4	1	0	5	20	8	0.400000	0	1	0
86	dshor	8	0	0.000000	2	1	1	5	12	8	0.666667	0	1	0
87	otchol	8	0	0.000000	1	2	0	2	24	8	0.333333	0	1	0
88	oteey	7	0	0.000000	3	3	1	4	90	7	0.077778	0	1	0
89	pchedy	7	0	0.000000	1	1	3	6	25	7	0.280000	0	1	0
90	qor	7	0	0.000000	4	3	2	4	19	7	0.368421	0	1	0
91	ychey	7	0	0.000000	2	2	0	3	11	7	0.636364	0	1	0
92	yshey	7	0	0.000000	4	2	3	5	8	7	0.875000	0	1	0
93	d	6	0	0.000000	0	0	0	0	20	6	0.300000	0	1	0
