page	locus	section	language	hand	paragraph_line_index	paragraph_start	paragraph_end	line_token_count	written_line_eva	immediate_follower_surface	immediate_follower_candidate_de	line_final_surface	line_final_candidate_de	gdt755_external_field_channel	gdt755_external_field_complete	independent_body_axes	body_token_count	reader_exact_body_tokens	independent_axis_body_tokens	content_present	amount_or_level_present	process_present	quality_or_stage_present	recipe_content_amount_process_triad	suspect_axis_tokens_excluded	selected_item_marker_render_de	recipe_command_rival_render_de	item_plus_command_rival_render_de	all_written_tokens_have_candidate_default	candidate_line_not_plaintext	confirmed_lexeme
f6v	f6v.8	H	A	1	3	0	0	4	ychor chor okchey qokom	chor	Blätter	qokom	erhitze eine Handvoll	PRESCRIPTIVE_RECIPE	1	HOT|DRY|AMOUNT|PREPARATION|PROCESS|MIDDLE_STAGE	3	3	2	1	1	1	1	1	0	ferner: Blätter; heiße trockene Zubereitung; erhitze eine Handvoll	nimm: Blätter; heiße trockene Zubereitung; erhitze eine Handvoll	ferner, nimm: Blätter; heiße trockene Zubereitung; erhitze eine Handvoll	1	1	0
f9v	f9v.11	H	A	1	7	0	0	4	ychor chshoty oky kaiin	chshoty	weiche ein	kaiin	heiß im dritten Grad	OPEN	1	NONE	3	1	0	0	0	0	0	0	0	ferner: weiche ein; heiß am Anfang; heiß im dritten Grad	nimm: weiche ein; heiß am Anfang; heiß im dritten Grad	ferner, nimm: weiche ein; heiß am Anfang; heiß im dritten Grad	1	1	0
f17v	f17v.15	H	A	1	15	0	0	6	ychor cthy cheeky cheo otor oteol	cthy	Wurzel	oteol	kühle bis zur Mittelstufe	PRESCRIPTIVE_RECIPE	0	HOT|COLD|DRY|AMOUNT|MATERIAL|PREPARATION|PROCESS|BEGIN_STAGE|MIDDLE_STAGE|END_STAGE	5	5	5	1	1	1	1	1	0	ferner: Wurzel; trockne vollständig, dann erwärme; trockene Zubereitung; eine kalte Portion; kühle bis zur Mittelstufe	nimm: Wurzel; trockne vollständig, dann erwärme; trockene Zubereitung; eine kalte Portion; kühle bis zur Mittelstufe	ferner, nimm: Wurzel; trockne vollständig, dann erwärme; trockene Zubereitung; eine kalte Portion; kühle bis zur Mittelstufe	1	1	0
f19v	f19v.9	H	A	1	2	0	0	7	ychor oky chor ytol chol oky ddor	oky	heiß am Anfang	ddor	miss eine Portion ab	OPEN	0	NONE	6	3	0	0	0	0	0	0	0	ferner: heiß am Anfang; Blätter; kühle den Arzneistoff ab; trockenes Kraut; heiß am Anfang; miss eine Portion ab	nimm: heiß am Anfang; Blätter; kühle den Arzneistoff ab; trockenes Kraut; heiß am Anfang; miss eine Portion ab	ferner, nimm: heiß am Anfang; Blätter; kühle den Arzneistoff ab; trockenes Kraut; heiß am Anfang; miss eine Portion ab	1	1	0
f22v	f22v.7	H	A	1	2	0	0	4	ychor chor qokchol chory	chor	Blätter	chory	frische Blätter	DESCRIPTIVE_MATERIA	1	HOT|DRY|PART|MATERIAL|BEGIN_STAGE	3	3	2	1	1	0	1	0	0	ferner: Blätter; heiß getrocknetes Kraut; frische Blätter	nimm: Blätter; heiß getrocknetes Kraut; frische Blätter	ferner, nimm: Blätter; heiß getrocknetes Kraut; frische Blätter	1	1	0
f23r	f23r.5	H	A	1	2	0	1	11	ychor qokchol ytym chol dair chol ar ol ol dol dain	qokchol	heiß getrocknetes Kraut	dain	zweiter Grad	DESCRIPTIVE_MATERIA	0	HOT|DRY|MATERIAL	10	9	1	1	0	0	1	0	0	ferner: heiß getrocknetes Kraut; eine Handvoll gekühltes Kraut; trockenes Kraut; zweiter Teil; trockenes Kraut; erster Teil; Arzneistoff; Arzneistoff; eine Dosis; zweiter Grad	nimm: heiß getrocknetes Kraut; eine Handvoll gekühltes Kraut; trockenes Kraut; zweiter Teil; trockenes Kraut; erster Teil; Arzneistoff; Arzneistoff; eine Dosis; zweiter Grad	ferner, nimm: heiß getrocknetes Kraut; eine Handvoll gekühltes Kraut; trockenes Kraut; zweiter Teil; trockenes Kraut; erster Teil; Arzneistoff; Arzneistoff; eine Dosis; zweiter Grad	1	1	0
f24r	f24r.8	H	A	1	8	0	0	6	ychor s om qoear daiin qokeol	s	Samen	qokeol	heiß im zweiten Grad	OPEN	0	NONE	5	5	0	0	0	0	0	0	1	ferner: Samen; eine Handvoll; nimm den ersten Teil; dritter Grad; heiß im zweiten Grad	nimm: Samen; eine Handvoll; nimm den ersten Teil; dritter Grad; heiß im zweiten Grad	ferner, nimm: Samen; eine Handvoll; nimm den ersten Teil; dritter Grad; heiß im zweiten Grad	1	1	0
f45v	f45v.9	H	A	1	5	0	0	7	ychor cthy chol qokom sy sa ykchom	cthy	Wurzel	ykchom	erhitze und trockne eine Handvoll	PRESCRIPTIVE_RECIPE	1	HOT|AMOUNT|MATERIAL|PREPARATION|PROCESS	6	5	2	1	1	1	1	1	0	ferner: Wurzel; trockenes Kraut; erhitze eine Handvoll; Samen; gib Samen zu; erhitze und trockne eine Handvoll	nimm: Wurzel; trockenes Kraut; erhitze eine Handvoll; Samen; gib Samen zu; erhitze und trockne eine Handvoll	ferner, nimm: Wurzel; trockenes Kraut; erhitze eine Handvoll; Samen; gib Samen zu; erhitze und trockne eine Handvoll	1	1	0
f86v5	f86v5.20	T	B	2	3	0	0	10	ychor ar aiin ytaly otaiin ykaiin otal ytar aiin ytaiiil	ar	erster Teil	ytaiiil	drei Einheiten	OPEN	0	PART|MATERIAL	9	7	1	1	1	0	0	0	0	ferner: erster Teil; drei Einheiten; kalte Zubereitung; kalt im dritten Grad; erhitze auf den dritten Grad; kalter Rohstoff, erster Grad; nimm den ersten gekühlten Teil; drei Einheiten; drei Einheiten	nimm: erster Teil; drei Einheiten; kalte Zubereitung; kalt im dritten Grad; erhitze auf den dritten Grad; kalter Rohstoff, erster Grad; nimm den ersten gekühlten Teil; drei Einheiten; drei Einheiten	ferner, nimm: erster Teil; drei Einheiten; kalte Zubereitung; kalt im dritten Grad; erhitze auf den dritten Grad; kalter Rohstoff, erster Grad; nimm den ersten gekühlten Teil; drei Einheiten; drei Einheiten	1	1	0
f93r	f93r.28	H	A	1	28	0	0	4	ychor odol chodaiin s	odol	miss den Arzneistoff ab	s	Samen	PRESCRIPTIVE_RECIPE	1	AMOUNT|MATERIAL|PREPARATION|PROCESS	3	2	1	1	1	1	0	1	0	ferner: miss den Arzneistoff ab; drei Dosen Trockenansatz; Samen	nimm: miss den Arzneistoff ab; drei Dosen Trockenansatz; Samen	ferner, nimm: miss den Arzneistoff ab; drei Dosen Trockenansatz; Samen	1	1	0
