surface	ychor_body_occurrences	ychor_body_reader_exact_occurrences	ychor_immediate_follower_occurrences	ychor_line_final_occurrences	ychor_pages	ychor_independent_axis_profiles	global_reader_exact_occurrences	global_reader_exact_line_initial	global_reader_exact_line_final	global_section_counts	global_herbal_share	working_candidate_de	alternate_1_de	alternate_2_de	working_confidence	semantic_role	selection_basis	candidate_source	eva_spelling_used_to_select_candidate	literal_identity	confirmed_lexeme	component_export_credit
chol	5	5	1	0	4	NONE:5	303	16	5	B:8|C:4|H:194|P:30|S:58|T:9	0.640264	trockenes Kraut	Pulver	getrocknete Wurzel	C1_FRAME_CONSTRAINED	DRY_CONTENT	fünf ychor-Körpervorkommen und stabiler älterer Trockenheitskern; Träger bleibt Kandidat	GDT756_BODY_PRIOR	0	OPEN	0	0
chor	3	3	2	0	3	NONE:3	176	10	5	H:141|P:12|S:18|T:5	0.801136	Blätter	Wurzel	Samen	C0_FORCED_CONTEXT	PLANT_PART	zweimal direkter ychor-Folger und starke Herbal-Konzentration; Auswahl Blatt bleibt austauschbar	GDT756_BODY_PRIOR	0	OPEN	0	0
oky	3	1	1	0	2	NONE:3	80	4	22	B:10|H:48|P:4|S:10|T:8	0.600000	heiß am Anfang	erwärme zuerst	heiße Zubereitung	C1_FRAME_CONSTRAINED	HOT_BEGIN	wiederkehrender älterer Hitze-/Anfangskandidat; eine von drei Stellen reader-exakt	GDT756_BODY_PRIOR	0	OPEN	0	0
aiin	2	2	0	0	1	NONE:2	338	0	20	B:25|C:11|H:77|P:12|S:181|T:32	0.227811	drei Einheiten	dritter Grad	eine Menge	C1_FRAME_CONSTRAINED	AMOUNT_OR_LEVEL	zweimal im Mengen-/Gradregister derselben ychor-Zeile; keine EVA-Lautlesung	GDT756_BODY_PRIOR	0	OPEN	0	0
ar	2	2	1	0	2	NONE:2	242	1	18	B:12|C:7|H:58|P:3|S:136|T:26	0.239669	erster Teil	erste Dosis	Pflanzenteil	C1_FRAME_CONSTRAINED	PART_OR_AMOUNT	Teil-/Anteilsrolle und zweimaliges Auftreten; genaue Referenz offen	GDT756_BODY_PRIOR	0	OPEN	0	0
cheo	2	1	0	0	2	DRY|PREPARATION:1|NONE:1	36	1	0	H:9|P:2|S:25	0.250000	trockene Zubereitung	getrocknetes Kraut	Pulver	C1_FRAME_CONSTRAINED	PREPARATION_STATE	DRY PREPARATION an einer exakten Stelle; zweite Stelle reader-variabel	GDT756_BODY_PRIOR	0	OPEN	0	0
cthy	2	2	2	0	2	MATERIAL:2	85	0	26	H:83|S:1|T:1	0.976471	Wurzel	Blätter	Kraut	C0_FORCED_CONTEXT	CONTENT_NOUN	zweimal direkter ychor-Folger mit MATERIAL-Achse und fast ausschließlich Herbal-Verteilung	GDT756_BODY_PRIOR	0	OPEN	0	0
daiin	2	1	0	1	2	NONE:2	602	119	95	B:57|C:7|H:379|P:28|S:112|T:19	0.629568	dritter Grad	drei Einheiten	dritte Dosis	C1_FRAME_CONSTRAINED	LEVEL_OR_AMOUNT	zweimaliger Grad-/Maßslot, einmal final; kein Lautwert aus EVA	GDT756_BODY_PRIOR	0	OPEN	0	0
ol	2	2	0	0	1	NONE:2	376	22	37	B:167|C:4|H:70|P:17|S:87|T:31	0.186170	Arzneistoff	Zubereitung	Öl	C0_FORCED_CONTEXT	CONTENT_OR_CARRIER	doppelter innerer Inhaltsträger; Öl bleibt nur Rivale und wird nicht aus EVA-Buchstaben abgeleitet	GDT756_BODY_PRIOR	0	OPEN	0	0
qokchol	2	2	1	0	2	HOT|DRY|MATERIAL:2	15	2	0	H:13|P:1|S:1	0.866667	heiß getrocknetes Kraut	Pulver	getrocknete Wurzel	C1_FRAME_CONSTRAINED	DRY_HOT_CONTENT	zweimal exakte HOT DRY MATERIAL-Achsen, einmal direkt nach ychor	GDT756_BODY_PRIOR	0	OPEN	0	0
