gdt756_body_token_id	page	locus	token_ordinal	body_offset_after_ychor	line_token_count	line_position	surface	reader_exact	gdt754_suspect_surface	independent_axes_at_position	raw_axes_not_counted_when_variant_or_suspect	active_cache_value_background	active_cache_confidence_background	working_candidate_de	alternate_1_de	alternate_2_de	working_confidence	semantic_role	selection_basis	candidate_source	candidate_not_plaintext	literal_identity	confirmed_lexeme	component_export_credit
G756-B001	f6v	f6v.8	2	1	4	MIDDLE	chor	1	0	NONE	NONE	Pflanzen-/Reproduktionsteil	NA	Blätter	Wurzel	Samen	C0_FORCED_CONTEXT	PLANT_PART	zweimal direkter ychor-Folger und starke Herbal-Konzentration; Auswahl Blatt bleibt austauschbar	GDT756_BODY_PRIOR	1	OPEN	0	0
G756-B002	f6v	f6v.8	3	2	4	MIDDLE	okchey	1	0	HOT|DRY|PREPARATION|MIDDLE_STAGE	HOT|DRY|PREPARATION|MIDDLE_STAGE	heiß-trockener Ansatz in der Mitte des Grades	W3_SOLID_WORKING_THEORY	heiße trockene Zubereitung	trockne bei mittlerer Hitze	Pulver	C1_FRAME_CONSTRAINED	QUALITY_PREPARATION	exakte HOT DRY PREPARATION MIDDLE-Achsen	GDT756_BODY_PRIOR	1	OPEN	0	0
G756-B003	f6v	f6v.8	4	3	4	LAST	qokom	1	0	HOT|AMOUNT|PREPARATION|PROCESS	HOT|AMOUNT|PREPARATION|PROCESS	erhitze eine Handvoll Ansatz	W2_PROVISIONAL_WORKING	erhitze eine Handvoll	eine Handvoll heiße Zubereitung	miss eine Dosis ab	C1_FRAME_CONSTRAINED	HOT_AMOUNT_PROCESS	zweimal exakte HOT AMOUNT PREPARATION PROCESS-Achsen	GDT756_BODY_PRIOR	1	OPEN	0	0
G756-B004	f9v	f9v.11	2	1	4	MIDDLE	chshoty	1	0	NONE	NONE	trocknen, einweichen, ansetzen, abkühlen und abschließen	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	weiche ein	trockne	kühle ab	C0_FORCED_CONTEXT	PROCESS	direkter Folgeslot; ältere Mehrfachaktionskarte wird auf einen prüfbaren Vorgang reduziert	GDT756_BODY_PRIOR	1	OPEN	0	0
G756-B005	f9v	f9v.11	3	2	4	MIDDLE	oky	0	0	NONE	NONE	heißer Ansatz am Anfang des Grades	NA	heiß am Anfang	erwärme zuerst	heiße Zubereitung	C1_FRAME_CONSTRAINED	HOT_BEGIN	wiederkehrender älterer Hitze-/Anfangskandidat; eine von drei Stellen reader-exakt	GDT756_BODY_PRIOR	1	OPEN	0	0
G756-B006	f9v	f9v.11	4	3	4	LAST	kaiin	0	0	NONE	NONE	heiß, Grad III	W3_SOLID_WORKING_THEORY	heiß im dritten Grad	dritter Grad	erhitze stark	C1_FRAME_CONSTRAINED	HOT_LEVEL	finaler älterer HOT/III-Ganzformkandidat; reader-variabel	GDT756_BODY_PRIOR	1	OPEN	0	0
G756-B007	f17v	f17v.15	2	1	6	MIDDLE	cthy	1	0	MATERIAL	MATERIAL	CTH-Drogenmaterial	W3_SOLID_WORKING_THEORY	Wurzel	Blätter	Kraut	C0_FORCED_CONTEXT	CONTENT_NOUN	zweimal direkter ychor-Folger mit MATERIAL-Achse und fast ausschließlich Herbal-Verteilung	GDT756_BODY_PRIOR	1	OPEN	0	0
G756-B008	f17v	f17v.15	3	2	6	MIDDLE	cheeky	1	0	HOT|DRY|BEGIN_STAGE|END_STAGE	HOT|DRY|BEGIN_STAGE|END_STAGE	trocken am Gradende, dann heiß am Gradanfang	W3_SOLID_WORKING_THEORY	trockne vollständig, dann erwärme	heiß und trocken	Ende, dann Anfang	C1_FRAME_CONSTRAINED	QUALITY_SEQUENCE	unabhängige DRY HOT BEGIN END-Achsen an der exakten Stelle	GDT756_BODY_PRIOR	1	OPEN	0	0
G756-B009	f17v	f17v.15	4	3	6	MIDDLE	cheo	1	0	DRY|PREPARATION	DRY|PREPARATION	trocken angesetzte Zubereitung	W3_SOLID_WORKING_THEORY	trockene Zubereitung	getrocknetes Kraut	Pulver	C1_FRAME_CONSTRAINED	PREPARATION_STATE	DRY PREPARATION an einer exakten Stelle; zweite Stelle reader-variabel	GDT756_BODY_PRIOR	1	OPEN	0	0
G756-B010	f17v	f17v.15	5	4	6	MIDDLE	otor	1	0	COLD|AMOUNT|MATERIAL|PREPARATION	COLD|AMOUNT|MATERIAL|PREPARATION	kalte Drogenportion im Ansatz	W3_SOLID_WORKING_THEORY	eine kalte Portion	kalter Arzneistoff	kalte Zubereitung	C1_FRAME_CONSTRAINED	COLD_AMOUNT_CONTENT	exakte COLD AMOUNT MATERIAL PREPARATION-Achsen	GDT756_BODY_PRIOR	1	OPEN	0	0
