edition	paragraph	at	quality	gloss	carrier	carrier_at
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G002	shol	feucht	qoteey	ZL3b|f100r.14|G003
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G005	chol	getrocknet	chor	ZL3b|f100r.15|G004
ZL3b	f104r|f104r.39-f104r.42	ZL3b|f104r.39|G006	chol	getrocknet		
ZL3b	f106r|f106r.42-f106r.47	ZL3b|f106r.42|G002	shol	feucht		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.7|G006	chol	getrocknet		
ZL3b	f112v|f112v.39-f112v.41	ZL3b|f112v.41|G004	chol	getrocknet	qoteey	ZL3b|f112v.39|G007
ZL3b	f115v|f115v.13-f115v.17	ZL3b|f115v.15|G002	chol	getrocknet		
ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.3|G002	chol	getrocknet	otchy	ZL3b|f19v.3|G001
ZL3b	f20r|f20r.9-f20r.13	ZL3b|f20r.11|G007	chol	getrocknet	chor	ZL3b|f20r.10|G002
ZL3b	f42v|f42v.9-f42v.16	ZL3b|f42v.10|G004	shol	feucht	chy	ZL3b|f42v.10|G003
ZL3b	f42v|f42v.9-f42v.16	ZL3b|f42v.12|G002	chol	getrocknet	chy	ZL3b|f42v.10|G003
ZL3b	f42v|f42v.9-f42v.16	ZL3b|f42v.15|G002	chol	getrocknet	cthy	ZL3b|f42v.14|G004
ZL3b	f44r|f44r.5-f44r.7	ZL3b|f44r.7|G003	shol	feucht	otchy	ZL3b|f44r.6|G008
ZL3b	f56v|f56v.1-f56v.6	ZL3b|f56v.1|G002	shol	feucht		
ZL3b	f56v|f56v.1-f56v.6	ZL3b|f56v.3|G002	chol	getrocknet	qoteey	ZL3b|f56v.2|G005
ZL3b	f56v|f56v.1-f56v.6	ZL3b|f56v.3|G003	chol	getrocknet	qoteey	ZL3b|f56v.2|G005
ZL3b	f76v|f76v.16-f76v.24	ZL3b|f76v.18|G006	chol	getrocknet		
ZL3b	f77r|f77r.9-f77r.24	ZL3b|f77r.11|G004	chol	getrocknet		
ZL3b	f77r|f77r.9-f77r.24	ZL3b|f77r.13|G004	shol	feucht		
ZL3b	f79r|f79r.1-f79r.6	ZL3b|f79r.5|G012	chol	getrocknet	qoteey	ZL3b|f79r.2|G008
ZL3b	f79r|f79r.1-f79r.6	ZL3b|f79r.6|G001	shol	feucht	chy	ZL3b|f79r.5|G013
ZL3b	f86v5|f86v5.26-f86v5.39	ZL3b|f86v5.31|G004	chol	getrocknet		
IT2a	f100r|f100r.12-f100r.15	IT2a|f100r.15|G002	shol	feucht	qoteey	IT2a|f100r.14|G003
IT2a	f100r|f100r.12-f100r.15	IT2a|f100r.15|G005	chol	getrocknet	chor	IT2a|f100r.15|G004
IT2a	f104r|f104r.39-f104r.42	IT2a|f104r.39|G006	chol	getrocknet		
IT2a	f106r|f106r.42-f106r.47	IT2a|f106r.42|G002	shol	feucht		
IT2a	f111r|f111r.6-f111r.35	IT2a|f111r.7|G006	chol	getrocknet		
IT2a	f112v|f112v.39-f112v.41	IT2a|f112v.41|G004	chol	getrocknet	qoteey	IT2a|f112v.39|G007
IT2a	f115v|f115v.13-f115v.17	IT2a|f115v.15|G002	chol	getrocknet		
IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.3|G002	chol	getrocknet	otchy	IT2a|f19v.3|G001
