record_id	record_ordinal	physical_page	register	page_record_ordinal	record_start_role	bundle_count	bundle_ids	locus_sequence	surface_sequence	selected_model_sequence	boundary_role_sequence	internal_order_root_trace	continuation_bundle_count	record_chain_class	record_reading_de	claim_status
G475-R001	1	f17r	HERBAL	1	PAGE_START	1	G474-B001	f17r.13	oteeeon|oiil	CATALOGUE	PAGE_START	NONE	0	SINGLE_LOCUS_RECORD	1. Pflanzenname »eeeon« — Folgevermerk. 2. Pflanzenname »oiil«.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R002	2	f71v	CELESTIAL	1	PAGE_START	1	G474-B002	f71v.2	char|arom	CATALOGUE	PAGE_START	NONE	0	SINGLE_LOCUS_RECORD	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »om« — Ausgangszuordnung.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R003	3	f71v	CELESTIAL	2	UNMARKED_NEW_LOCUS	1	G474-B003	f71v.3	chfaly	CATALOGUE	UNMARKED_NEW_LOCUS	NONE	0	SINGLE_LOCUS_RECORD	Sternstelle »chf« — Zielzuordnung, Postenangabe.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R004	4	f71v	CELESTIAL	3	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	1	G474-B004	f71v.4	okolar	INSTRUCTION	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	OL	0	SINGLE_LOCUS_RECORD	Weiter setze den Eintrag von der Ausgangsposition.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R005	5	f71v	CELESTIAL	4	EXPLICIT_NEXT_SIBLING_OT	1	G474-B005	f71v.5	otchody	CATALOGUE	EXPLICIT_NEXT_SIBLING_OT	NONE	0	SINGLE_LOCUS_RECORD	Sternstelle »chody« — Folgevermerk.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R006	6	f71v	CELESTIAL	5	UNMARKED_NEW_LOCUS	1	G474-B006	f71v.6	alcphy	INSTRUCTION	UNMARKED_NEW_LOCUS	NONE	0	SINGLE_LOCUS_RECORD	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R007	7	f71v	CELESTIAL	6	EXPLICIT_NEXT_SIBLING_OT	1	G474-B007	f71v.7	otaiin	COORDINATE	EXPLICIT_NEXT_SIBLING_OT	NONE	0	SINGLE_LOCUS_RECORD	Adressspur: danach → Positionswert.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R008	8	f71v	CELESTIAL	7	UNMARKED_NEW_LOCUS	1	G474-B008	f71v.8	okaraiin	INSTRUCTION	UNMARKED_NEW_LOCUS	NONE	0	SINGLE_LOCUS_RECORD	Setze den Positionswert von der Ausgangsposition.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R009	9	f71v	CELESTIAL	8	EXPLICIT_NEXT_SIBLING_OT	1	G474-B009	f71v.9	otar|ar|aly	COORDINATE	EXPLICIT_NEXT_SIBLING_OT	NONE	0	SINGLE_LOCUS_RECORD	1. Adressspur: danach → Ausgangsposition. 2. Adressspur: Ausgangsposition. 3. Adressspur: Zielposition → Positionsposten.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R010	10	f71v	CELESTIAL	9	UNMARKED_NEW_LOCUS	1	G474-B010	f71v.10	opalar|am|dan	COORDINATE	UNMARKED_NEW_LOCUS	NONE	0	SINGLE_LOCUS_RECORD	1. Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition. 2. Adressspur: hier. 3. Adressspur: Sektoranteil.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R011	11	f71v	CELESTIAL	10	UNMARKED_NEW_LOCUS	1	G474-B011	f71v.11	opalor|ar	CATALOGUE	UNMARKED_NEW_LOCUS	NONE	0	SINGLE_LOCUS_RECORD	1. Sternstelle »op« — Zielzuordnung, Einheitsangabe. 2. Eintrag »ar« — Ausgangszuordnung.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R012	12	f71v	CELESTIAL	11	UNMARKED_NEW_LOCUS	1	G474-B012	f71v.13	ofaom	CATALOGUE	UNMARKED_NEW_LOCUS	NONE	0	SINGLE_LOCUS_RECORD	Sternstelle »aom« — Ausführungsvermerk, Hier-Vermerk.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R013	13	f71v	CELESTIAL	12	EXPLICIT_NEXT_SIBLING_OT	1	G474-B013	f71v.14	otalody	CATALOGUE	EXPLICIT_NEXT_SIBLING_OT	NONE	0	SINGLE_LOCUS_RECORD	Sternstelle »ody« — Folgevermerk, Zielzuordnung.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R014	14	f71v	CELESTIAL	13	EXPLICIT_NEXT_SIBLING_OT	1	G474-B014	f71v.15	otalaiin	COORDINATE	EXPLICIT_NEXT_SIBLING_OT	NONE	0	SINGLE_LOCUS_RECORD	Adressspur: danach → Zielposition → Positionswert.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R015	15	f71v	CELESTIAL	14	EXPLICIT_NEXT_SIBLING_OT	1	G474-B015	f71v.16	otar|shar	INSTRUCTION	EXPLICIT_NEXT_SIBLING_OT	NONE	0	SINGLE_LOCUS_RECORD	1. Danach beziehe den Eintrag von der Ausgangsposition. 2. Halte den Eintrag von der Ausgangsposition.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R016	16	f71v	CELESTIAL	15	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	1	G474-B016	f71v.17	sholshdy	INSTRUCTION	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	OL	0	SINGLE_LOCUS_RECORD	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R017	17	f72r	CELESTIAL	1	PAGE_START	1	G474-B017	f72r1.2	oshodady	INSTRUCTION	PAGE_START	NONE	0	SINGLE_LOCUS_RECORD	Halte den Sternstelleneintrag »o« und den Sternstelleneintrag »odady«.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R018	18	f72r	CELESTIAL	2	UNMARKED_NEW_LOCUS	1	G474-B018	f72r1.3	chdaiirdainy	CATALOGUE	UNMARKED_NEW_LOCUS	NONE	0	SINGLE_LOCUS_RECORD	Sternstelle »chdaiird« — Anteilsangabe, Postenangabe.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R019	19	f72r	CELESTIAL	3	UNMARKED_NEW_LOCUS	1	G474-B019	f72r1.4	oaiin|ar|ary	COORDINATE	UNMARKED_NEW_LOCUS	NONE	0	SINGLE_LOCUS_RECORD	1. Adressspur: Ausführungspunkt → Positionswert. 2. Adressspur: Ausgangsposition. 3. Adressspur: Ausgangsposition → Positionsposten.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R020	20	f72r	CELESTIAL	4	UNMARKED_NEW_LOCUS	1	G474-B020	f72r1.5	okalam	INSTRUCTION	UNMARKED_NEW_LOCUS	NONE	0	SINGLE_LOCUS_RECORD	Setze den Eintrag zur Zielposition an der bezeichneten Stelle.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R021	21	f72r	CELESTIAL	5	UNMARKED_NEW_LOCUS	1	G474-B021	f72r1.6	ytalshdy	INSTRUCTION	UNMARKED_NEW_LOCUS	NONE	0	SINGLE_LOCUS_RECORD	Halte den Sternstelleneintrag »yt« und den Sternstelleneintrag »dy« zur Zielposition.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R022	22	f72r	CELESTIAL	6	UNMARKED_NEW_LOCUS	1	G474-B022	f72r1.7	char|alif	CATALOGUE	UNMARKED_NEW_LOCUS	NONE	0	SINGLE_LOCUS_RECORD	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »if« — Zielzuordnung.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R023	23	f72r	CELESTIAL	7	EXPLICIT_NEXT_SIBLING_OT	1	G474-B023	f72r1.8	otaraldy	COORDINATE	EXPLICIT_NEXT_SIBLING_OT	NONE	0	SINGLE_LOCUS_RECORD	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R024	24	f72r	CELESTIAL	8	EXPLICIT_NEXT_SIBLING_OT	1	G474-B024	f72r1.9	otaiin|otain	COORDINATE	EXPLICIT_NEXT_SIBLING_OT	OT	0	SINGLE_LOCUS_RECORD	1. Adressspur: danach → Positionswert. 2. Adressspur: danach → Sektoranteil.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R025	25	f72r	CELESTIAL	9	EXPLICIT_NEXT_SIBLING_OT	1	G474-B025	f72r1.10	otalef|ys|ainam	INSTRUCTION	EXPLICIT_NEXT_SIBLING_OT	NONE	0	SINGLE_LOCUS_RECORD	1. Danach beziehe den Sternstelleneintrag »ef« zur Zielposition. 2. Wähle den Positionsposten. 3. Im selben Gang wähle den Sektoranteil an der bezeichneten Stelle.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R026	26	f72r	CELESTIAL	10	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	1	G474-B026	f72r1.11	ochol|sharam	INSTRUCTION	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	OL	0	SINGLE_LOCUS_RECORD	1. Weiter beziehe den Eintrag, als Ausführung. 2. Halte den Eintrag von der Ausgangsposition an der bezeichneten Stelle.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R027	27	f72r	CELESTIAL	11	UNMARKED_NEW_LOCUS	1	G474-B027	f72r1.13	ofaralar	COORDINATE	UNMARKED_NEW_LOCUS	NONE	0	SINGLE_LOCUS_RECORD	Adressspur: Ausführungspunkt → hier → Ausgangsposition → Zielposition → Ausgangsposition.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R028	28	f72r	CELESTIAL	12	EXPLICIT_NEXT_SIBLING_OT	1	G474-B028	f72r1.14	otchoshy	CATALOGUE	EXPLICIT_NEXT_SIBLING_OT	NONE	0	SINGLE_LOCUS_RECORD	Sternstelle »cho« — Folgevermerk, Postenangabe.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R029	29	f72r	CELESTIAL	13	EXPLICIT_NEXT_SIBLING_OT	1	G474-B029	f72r1.15	otchdal	CATALOGUE	EXPLICIT_NEXT_SIBLING_OT	NONE	0	SINGLE_LOCUS_RECORD	Sternstelle »ch« — Folgevermerk, Zielzuordnung.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R030	30	f72r	CELESTIAL	14	UNMARKED_NEW_LOCUS	1	G474-B030	f72r1.16	okeey|ary	INSTRUCTION	UNMARKED_NEW_LOCUS	NONE	0	SINGLE_LOCUS_RECORD	1. Setze den Positionsposten, auf Grad II. 2. Im selben Gang setze den Positionsposten von der Ausgangsposition.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
G475-R031	31	f72r	CELESTIAL	15	EXPLICIT_NEXT_SIBLING_OT	1	G474-B031	f72r1.17	otainy	COORDINATE	EXPLICIT_NEXT_SIBLING_OT	NONE	0	SINGLE_LOCUS_RECORD	Adressspur: danach → Sektoranteil → Positionsposten.	PAGE_ITINERARY_WORKING_RECORD__NO_PLAINTEXT_CLAIM
