order_occurrence_id	root	working_meaning_de	bundle_id	record_id	physical_page	locus	source_event_id	surface	working_recipe	event_ordinal_in_bundle	atom_ordinal_in_event	position_role	stream_interpretation	component_meaning_change
G475-O001	OT	DANACH	G474-B001	G475-R001	f17r	f17r.13	P1003-E0079	oteeeon	OT	1	1	BUNDLE_LEADING	PAGE_INITIAL_FOLLOW_FRAME	NO
G475-O002	OL	FORTSETZEN	G474-B004	G475-R004	f71v	f71v.4	P1003-E0598	okolar	OK+OL+AR	1	2	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O003	OT	DANACH	G474-B005	G475-R005	f71v	f71v.5	P1003-E0599	otchody	OT	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O004	OT	DANACH	G474-B007	G475-R007	f71v	f71v.7	P1003-E0601	otaiin	OT+AIIN	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O005	OT	DANACH	G474-B009	G475-R009	f71v	f71v.9	P1003-E0603	otar	OT+AR	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O006	OT	DANACH	G474-B013	G475-R013	f71v	f71v.14	P1003-E0642	otalody	OT+AL	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O007	OT	DANACH	G474-B014	G475-R014	f71v	f71v.15	P1003-E0643	otalaiin	OT+AL+AIIN	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O008	OT	DANACH	G474-B015	G475-R015	f71v	f71v.16	P1003-E0644	otar	OT+AR	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O009	OL	FORTSETZEN	G474-B016	G475-R016	f71v	f71v.17	P1003-E0646	sholshdy	SH+OL+SH	1	2	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O010	OT	DANACH	G474-B023	G475-R023	f72r	f72r1.8	P1008-E0136	otaraldy	OT+AR+AL+Y	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O011	OT	DANACH	G474-B024	G475-R024	f72r	f72r1.9	P1008-E0137	otaiin	OT+AIIN	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O012	OT	DANACH	G474-B024	G475-R024	f72r	f72r1.9	P1008-E0138	otain	OT+AIN	2	1	LATER_EVENT_LEADING	NEXT_SIBLING_WITHIN_LOCUS	NO
G475-O013	OT	DANACH	G474-B025	G475-R025	f72r	f72r1.10	P1008-E0139	otalef	OT+AL	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O014	OL	FORTSETZEN	G474-B026	G475-R026	f72r	f72r1.11	P1008-E0142	ochol	O+OL	1	2	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O015	OT	DANACH	G474-B028	G475-R028	f72r	f72r1.14	P1008-E0172	otchoshy	OT+Y	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O016	OT	DANACH	G474-B029	G475-R029	f72r	f72r1.15	P1008-E0173	otchdal	OT+AL	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O017	OT	DANACH	G474-B031	G475-R031	f72r	f72r1.17	P1008-E0176	otainy	OT+AIN+Y	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O018	OT	DANACH	G474-B037	G475-R037	f72r	f72r2.7	P1008-E0236	otaraldy	OT+AR+AL+Y	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O019	OT	DANACH	G474-B043	G475-R043	f72r	f72r2.13	P1008-E0243	oteeary	OT+AR	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O020	OT	DANACH	G474-B044	G475-R044	f72r	f72r2.14	P1008-E0244	otair	OT+AIR	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O021	OT	DANACH	G474-B047	G475-R047	f72r	f72r2.17	P1008-E0248	otar	OT+AR	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
