boundary_id	bundle_id	physical_page	register	page_bundle_ordinal	locus	owner_de	previous_bundle_id	surface_sequence	recipe_sequence	leading_root	leading_root_meaning_de	order_occurrence_trace	boundary_role	begins_new_record	record_id	page_record_ordinal	bundle_ordinal_in_record	selected_model	selected_bundle_reading_de	itinerary_line_de	claim_status	record_bundle_count
G475-B001	G474-B001	f17r	HERBAL	1	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	NONE	oteeeon|oiil	OT / NONE	OT	DANACH	E1:A1:OT	PAGE_START	YES	G475-R001	1	1	CATALOGUE	1. Pflanzenname »eeeon« — Folgevermerk. 2. Pflanzenname »oiil«.	Seitenbeginn — 1. Pflanzenname »eeeon« — Folgevermerk. 2. Pflanzenname »oiil«.	ORDER_ROLE_WORKING_READING__NO_ROOT_OR_NAME_CHANGE	1
G475-B002	G474-B002	f71v	CELESTIAL	1	f71v.2	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	NONE	char|arom	AR / AR	AR	NONE	NONE	PAGE_START	YES	G475-R002	1	1	CATALOGUE	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »om« — Ausgangszuordnung.	Seitenbeginn — 1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »om« — Ausgangszuordnung.	ORDER_ROLE_WORKING_READING__NO_ROOT_OR_NAME_CHANGE	1
G475-B003	G474-B003	f71v	CELESTIAL	2	f71v.3	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	G474-B002	chfaly	AL+Y	AL	NONE	NONE	UNMARKED_NEW_LOCUS	YES	G475-R003	2	1	CATALOGUE	Sternstelle »chf« — Zielzuordnung, Postenangabe.	Neuer sichtbarer Locus — Sternstelle »chf« — Zielzuordnung, Postenangabe.	ORDER_ROLE_WORKING_READING__NO_ROOT_OR_NAME_CHANGE	1
G475-B004	G474-B004	f71v	CELESTIAL	3	f71v.4	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	G474-B003	okolar	OK+OL+AR	OK	NONE	E1:A2:OL	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	YES	G475-R004	3	1	INSTRUCTION	Weiter setze den Eintrag von der Ausgangsposition.	Neuer sichtbarer Locus; Reihenfolge bleibt kartenintern — Weiter setze den Eintrag von der Ausgangsposition.	ORDER_ROLE_WORKING_READING__NO_ROOT_OR_NAME_CHANGE	1
G475-B005	G474-B005	f71v	CELESTIAL	4	f71v.5	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	G474-B004	otchody	OT	OT	DANACH	E1:A1:OT	EXPLICIT_NEXT_SIBLING_OT	YES	G475-R005	4	1	CATALOGUE	Sternstelle »chody« — Folgevermerk.	Danach: nächster gleichrangiger Eintrag — Sternstelle »chody« — Folgevermerk.	ORDER_ROLE_WORKING_READING__NO_ROOT_OR_NAME_CHANGE	1
G475-B006	G474-B006	f71v	CELESTIAL	5	f71v.6	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	G474-B005	alcphy	AL+CH+P+Y	AL	NONE	NONE	UNMARKED_NEW_LOCUS	YES	G475-R006	5	1	INSTRUCTION	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	Neuer sichtbarer Locus — Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	ORDER_ROLE_WORKING_READING__NO_ROOT_OR_NAME_CHANGE	1
G475-B007	G474-B007	f71v	CELESTIAL	6	f71v.7	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	G474-B006	otaiin	OT+AIIN	OT	DANACH	E1:A1:OT	EXPLICIT_NEXT_SIBLING_OT	YES	G475-R007	6	1	COORDINATE	Adressspur: danach → Positionswert.	Danach: nächster gleichrangiger Eintrag — Adressspur: danach → Positionswert.	ORDER_ROLE_WORKING_READING__NO_ROOT_OR_NAME_CHANGE	1
G475-B008	G474-B008	f71v	CELESTIAL	7	f71v.8	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	G474-B007	okaraiin	OK+AR+AIIN	OK	NONE	NONE	UNMARKED_NEW_LOCUS	YES	G475-R008	7	1	INSTRUCTION	Setze den Positionswert von der Ausgangsposition.	Neuer sichtbarer Locus — Setze den Positionswert von der Ausgangsposition.	ORDER_ROLE_WORKING_READING__NO_ROOT_OR_NAME_CHANGE	1
G475-B009	G474-B009	f71v	CELESTIAL	8	f71v.9	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	G474-B008	otar|ar|aly	OT+AR / AR / AL+Y	OT	DANACH	E1:A1:OT	EXPLICIT_NEXT_SIBLING_OT	YES	G475-R009	8	1	COORDINATE	1. Adressspur: danach → Ausgangsposition. 2. Adressspur: Ausgangsposition. 3. Adressspur: Zielposition → Positionsposten.	Danach: nächster gleichrangiger Eintrag — 1. Adressspur: danach → Ausgangsposition. 2. Adressspur: Ausgangsposition. 3. Adressspur: Zielposition → Positionsposten.	ORDER_ROLE_WORKING_READING__NO_ROOT_OR_NAME_CHANGE	1
G475-B010	G474-B010	f71v	CELESTIAL	9	f71v.10	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	G474-B009	opalar|am|dan	AL+AR / AM_ADDR / AIN	AL	NONE	NONE	UNMARKED_NEW_LOCUS	YES	G475-R010	9	1	COORDINATE	1. Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition. 2. Adressspur: hier. 3. Adressspur: Sektoranteil.	Neuer sichtbarer Locus — 1. Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition. 2. Adressspur: hier. 3. Adressspur: Sektoranteil.	ORDER_ROLE_WORKING_READING__NO_ROOT_OR_NAME_CHANGE	1
