decision_no	event_id	statement_id	record	page	decision_type	choice_de	why_conscious
1	E001	H1-S001	H1	f10r	SELECT_UNUSUAL_PROGRAM	SOURCE_DRAW>ACTIVATE_CHARGE>SOURCE_DRAW>ACTIVATE_CHARGE>TARGET_HANDOFF>SOURCE_DRAW>SOURCE_DRAW>CONTINUE_USE>METER_CHECK>ACTIVATE_CHARGE	Program occurs once on the fixed pages.
2	E001	H1-S001	H1	f10r	RESET_VISIBLE_OWNER	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Visible image owner changes here.
3	E008	H1-S001	H1	f10r	COPY_LOCAL_ALLOGRAPH	oky	Compact renderer default is insufficient; copy exemplar surface.
4	E011	H1-S002	H1	f10r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>SOURCE_DRAW>CONTINUE_USE>HOLD_STATE	Program occurs once on the fixed pages.
5	E011	H1-S002	H1	f10r	COPY_LOCAL_ALLOGRAPH	qokchy	Compact renderer default is insufficient; copy exemplar surface.
6	E015	H2-S001	H2	f10r	SELECT_UNUSUAL_PROGRAM	SOURCE_DRAW>HOLD_STATE>ACTIVATE_CHARGE>METER_CHECK>CONTINUE_USE>MOVE_PASS>CONTINUE_USE>METER_CHECK>TARGET_HANDOFF	Program occurs once on the fixed pages.
7	E015	H2-S001	H2	f10r	RESET_VISIBLE_OWNER	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Visible image owner changes here.
8	E020	H2-S001	H2	f10r	COPY_LOCAL_ALLOGRAPH	dy	Compact renderer default is insufficient; copy exemplar surface.
9	E022	H2-S001	H2	f10r	COPY_LOCAL_ALLOGRAPH	taiin	Compact renderer default is insufficient; copy exemplar surface.
10	E023	H2-S001	H2	f10r	COPY_LOCAL_ALLOGRAPH	shy	Compact renderer default is insufficient; copy exemplar surface.
11	E024	H2-S002	H2	f10r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>SOURCE_DRAW	Program occurs once on the fixed pages.
12	E024	H2-S002	H2	f10r	COPY_LOCAL_ALLOGRAPH	qotchor	Compact renderer default is insufficient; copy exemplar surface.
13	E028	H2-S002	H2	f10r	COPY_LOCAL_ALLOGRAPH	cholor	Compact renderer default is insufficient; copy exemplar surface.
14	E031	H2-S002	H2	f10r	COPY_LOCAL_ALLOGRAPH	dar	Compact renderer default is insufficient; copy exemplar surface.
15	E032	H2-S003	H2	f10r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>CONTINUE_USE>SOURCE_DRAW	Program occurs once on the fixed pages.
16	E033	H2-S003	H2	f10r	COPY_LOCAL_ALLOGRAPH	shor	Compact renderer default is insufficient; copy exemplar surface.
17	E037	H2-S003	H2	f10r	COPY_LOCAL_ALLOGRAPH	dy	Compact renderer default is insufficient; copy exemplar surface.
18	E039	H3-S001	H3	f11r	SELECT_UNUSUAL_PROGRAM	HOLD_STATE>TARGET_HANDOFF>SOURCE_DRAW>METER_CHECK>MOVE_PASS>HOLD_STATE>SOURCE_DRAW>CLOSE	Program occurs once on the fixed pages.
19	E039	H3-S001	H3	f11r	RESET_VISIBLE_OWNER	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Visible image owner changes here.
20	E044	H3-S001	H3	f11r	COPY_LOCAL_ALLOGRAPH	shey	Compact renderer default is insufficient; copy exemplar surface.
21	E046	H3-S002	H3	f11r	SELECT_UNUSUAL_PROGRAM	HOLD_STATE	Program occurs once on the fixed pages.
22	E047	H3-S003	H3	f11r	SELECT_UNUSUAL_PROGRAM	CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK	Program occurs once on the fixed pages.
23	E050	H3-S003	H3	f11r	COPY_LOCAL_ALLOGRAPH	dy	Compact renderer default is insufficient; copy exemplar surface.
24	E052	H3-S004	H3	f11r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CONTINUE_USE	Program occurs once on the fixed pages.
25	E055	H3-S004	H3	f11r	COPY_LOCAL_ALLOGRAPH	dy	Compact renderer default is insufficient; copy exemplar surface.
26	E056	H4-S001	H4	f55v	SELECT_UNUSUAL_PROGRAM	METER_CHECK>METER_CHECK>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CLOSE	Program occurs once on the fixed pages.
27	E056	H4-S001	H4	f55v	RESET_VISIBLE_OWNER	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Visible image owner changes here.
28	E057	H4-S001	H4	f55v	COPY_LOCAL_ALLOGRAPH	chaiin	Compact renderer default is insufficient; copy exemplar surface.
29	E061	H4-S002	H4	f55v	SELECT_UNUSUAL_PROGRAM	METER_CHECK>ACTIVATE_CHARGE>CONTINUE_USE	Program occurs once on the fixed pages.
30	E064	H4-S003	H4	f55v	SELECT_UNUSUAL_PROGRAM	METER_CHECK>SOURCE_DRAW>ACTIVATE_CHARGE>CONTINUE_USE>CLOSE	Program occurs once on the fixed pages.
31	E068	H4-S004	H4	f55v	SELECT_UNUSUAL_PROGRAM	METER_CHECK>TARGET_HANDOFF>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>ACTIVATE_CHARGE	Program occurs once on the fixed pages.
32	E068	H4-S004	H4	f55v	COPY_LOCAL_ALLOGRAPH	aiin	Compact renderer default is insufficient; copy exemplar surface.
33	E069	H4-S004	H4	f55v	COPY_LOCAL_ALLOGRAPH	okal	Compact renderer default is insufficient; copy exemplar surface.
34	E071	H4-S004	H4	f55v	COPY_LOCAL_ALLOGRAPH	or	Compact renderer default is insufficient; copy exemplar surface.
35	E072	H4-S004	H4	f55v	COPY_LOCAL_ALLOGRAPH	y	Compact renderer default is insufficient; copy exemplar surface.
36	E074	H5-S001	H5	f56r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>ACTIVATE_CHARGE>TARGET_HANDOFF>METER_CHECK>ACTIVATE_CHARGE>MOVE_PASS>ACTIVATE_CHARGE>CONTINUE_USE>TARGET_HANDOFF	Program occurs once on the fixed pages.
37	E074	H5-S001	H5	f56r	RESET_VISIBLE_OWNER	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Visible image owner changes here.
38	E083	H5-S002	H5	f56r	SELECT_UNUSUAL_PROGRAM	CONTINUE_USE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
39	E083	H5-S002	H5	f56r	COPY_LOCAL_ALLOGRAPH	schol	Compact renderer default is insufficient; copy exemplar surface.
40	E087	H5-S003	H5	f56r	SELECT_UNUSUAL_PROGRAM	HOLD_STATE>ACTIVATE_CHARGE>HOLD_STATE>ACTIVATE_CHARGE	Program occurs once on the fixed pages.
41	E091	H5-S004	H5	f56r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>ACTIVATE_CHARGE>TARGET_HANDOFF	Program occurs once on the fixed pages.
42	E094	H5-S005	H5	f56r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE	Program occurs once on the fixed pages.
43	E095	H5-S005	H5	f56r	COPY_LOCAL_ALLOGRAPH	chokchy	Compact renderer default is insufficient; copy exemplar surface.
44	E098	H5-S006	H5	f56r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>HOLD_STATE>METER_CHECK	Program occurs once on the fixed pages.
