module_id	section	record_unit_id	page	module_type	workshop_title_de	statement_ids	statement_count	field_ids	field_count	event_ids	event_count	owner_sequence	owner_count	owner_break_statement_ids	explicit_handoff_edges	explicit_handoff_count	internal_unsequenced_edge_count	workshop_module_reading_de	chronology_rule_de	visible_basis_de	strongest_rival_de
WM01	HERBAL	H1	f10r	CONTINUOUS_MATERIAL_CHAIN	Wurzelauszug	H1-S001|H1-S002	2	F001|F002	2	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010|E011|E012|E013|E014	14	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	1		H1-S001->H1-S002	1	0	Wurzel entnehmen, zerkleinern, mit Wasser ausziehen, bemessen, anwärmen und bereit halten.	Chronologisch lesen: jede innere Kante ist eine ausdrücklich offene Material- oder Reserveübergabe.	Eine offene Übergabe trägt den bemessenen Auszug in die zweite Anweisung.	Zwei selbständige Verwendungsnotizen zur abgebildeten Pflanze.
WM02	HERBAL	H2	f10r	CONTINUOUS_MATERIAL_CHAIN	Pflanzenansatz zur Folgeportion	H2-S001|H2-S002|H2-S003	3	F003|F004|F005	3	E015|E016|E017|E018|E019|E020|E021|E022|E023|E024|E025|E026|E027|E028|E029|E030|E031|E032|E033|E034|E035|E036|E037|E038	24	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	1		H2-S001->H2-S002|H2-S002->H2-S003	2	0	Pflanzenansatz auspressen, bemessen, als Folgeansatz weiterführen und im Topf bis zur Weichstufe bearbeiten.	Chronologisch lesen: jede innere Kante ist eine ausdrücklich offene Material- oder Reserveübergabe.	Zwei aufeinanderfolgende offene Übergaben benennen denselben fortgeführten Ansatz.	Drei Rezeptvarianten, die nur denselben Pflanzenbesitzer teilen.
WM03	HERBAL	H3	f11r	SELF_CONTAINED_ROUTINE	Klarauszug aus Blütenkraut	H3-S001	1	F006	1	E039|E040|E041|E042|E043|E044|E045	7	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	1			0	0	Blütenkraut auskochen, auswringen, stehen lassen, nachseihen, Klarflüssigkeit nehmen und abkühlen.	Als eigenständige Routine lesen; die Nachbarzelle ist nicht automatisch ihr nächster Arbeitsschritt.	Die Anweisung schließt ihre eigene Zelle vollständig.	Eine bloße Liste verschiedener Verwendungen.
WM04	HERBAL	H3	f11r	CONTINUOUS_MATERIAL_CHAIN	Blütenreserve	H3-S002|H3-S003|H3-S004	3	F007|F008|F009	3	E046|E047|E048|E049|E050|E051|E052|E053|E054|E055	10	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	1		H3-S002->H3-S003|H3-S003->H3-S004	2	0	Blütenreserve zurücklegen, daraus einen Trank bemessen und die restliche Reserve als Folgeposten bereit halten.	Chronologisch lesen: jede innere Kante ist eine ausdrücklich offene Material- oder Reserveübergabe.	Zwei offene Reserveübergaben halten ausdrücklich denselben Nebenposten aktiv.	Drei unabhängige Blütennotizen.
WM05	HERBAL	H4	f55v	SELF_CONTAINED_ROUTINE	Abgekühlte Portion	H4-S001	1	F010	1	E056|E057|E058|E059|E060	5	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	1			0	0	Sollmaß einstellen, eine Portion nehmen und abkühlen.	Als eigenständige Routine lesen; die Nachbarzelle ist nicht automatisch ihr nächster Arbeitsschritt.	Eigene geschlossene Zelle am Pflanzenbesitzer.	Ein kurzer Eigenschaftseintrag statt Handlung.
WM06	HERBAL	H4	f55v	CONTINUOUS_MATERIAL_CHAIN	Verwahrter Ansatz	H4-S002|H4-S003	2	F011|F012	2	E061|E062|E063|E064|E065|E066|E067	7	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	1		H4-S002->H4-S003	1	0	Ansatz nach Sollmaß umsetzen und verwahren; daraus den Auszug entnehmen, länger wärmen und abschließen.	Chronologisch lesen: jede innere Kante ist eine ausdrücklich offene Material- oder Reserveübergabe.	Die offene erste Zelle liefert ausdrücklich den verwahrten Ansatz.	Zwei getrennte Zubereitungsvarianten.
WM07	HERBAL	H4	f55v	SELF_CONTAINED_ROUTINE	Ansatzportion am Ziel	H4-S004	1	F013	1	E068|E069|E070|E071|E072|E073	6	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	1			0	0	Eine Ansatzportion nach Sollmaß zum Ziel geben, anwärmen und halten.	Als eigenständige Routine lesen; die Nachbarzelle ist nicht automatisch ihr nächster Arbeitsschritt.	Recordfinale selbständige Arbeitszelle.	Eine alternative Dosisangabe ohne zeitliche Stellung.
WM08	HERBAL	H5	f56r	CONTINUOUS_MATERIAL_CHAIN	Zutatenansatz auftragen	H5-S001|H5-S002	2	F014|F015|F016	3	E074|E075|E076|E077|E078|E079|E080|E081|E082|E083|E084|E085|E086	13	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	1		H5-S001->H5-S002	1	0	Zutatenansatz bereiten und bemessen, die Stelle waschen und den vorbereiteten Ansatz dort auftragen.	Chronologisch lesen: jede innere Kante ist eine ausdrücklich offene Material- oder Reserveübergabe.	Die offene Zubereitung wird in der nächsten Zelle als Anwendungsposten übernommen.	Zubereitung und Anwendung gehören zu zwei getrennten Verwendungsfällen.
WM09	HERBAL	H5	f56r	CONTINUOUS_MATERIAL_CHAIN	Stängel zum Anwendungsauszug	H5-S003|H5-S004|H5-S005|H5-S006	4	F017|F018|F019|F020	4	E087|E088|E089|E090|E091|E092|E093|E094|E095|E096|E097|E098|E099|E100	14	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	1		H5-S003->H5-S004|H5-S004->H5-S005|H5-S005->H5-S006	3	0	Stängel zerreiben, Auszug zugeben, seihen, den Anwendungsauszug gewinnen und die nächste Gabe vormerken.	Chronologisch lesen: jede innere Kante ist eine ausdrücklich offene Material- oder Reserveübergabe.	Drei offene Materialübergaben bilden eine geschlossene Herstellungs- und Gebrauchskette.	Vier nebeneinander kopierte Pflanzenteilnotizen.
WM10	BIOLOGICAL	B1	f81v	LOCAL_STATION_VARIANTS	Grundprogramme des gemeinsamen Pools	B1-S001|B1-S002|B1-S003|B1-S004|B1-S005	5	F021|F022|F023|F024|F025|F026|F027	7	E101|E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120|E121|E122|E123|E124|E125|E126	26	B1_SHARED_TWO_ROW_POOL	1			0	4	Fünf abgeschlossene Einstell-, Misch-, Wärme- und Absetzprogramme desselben zweireihigen Poolfelds.	Als parallele Stationsvarianten oder einzelne Checklistenposten lesen; die Schreibreihenfolge allein erzeugt keine Chronologie.	Gleicher Bildbesitzer, aber zwischen den Zellen keine offene Übergabe.	Ein einziger langer Badeablauf.
