edge_id	record_unit_id	page	source_statement_id	target_statement_id	source_module_id	target_module_id	source_owner	target_owner	edge_class	chronology	carried_register_de	workshop_interpretation_de
H1-E001	H1	f10r	H1-S001	H1-S002	WM01	WM01	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	EXPLICIT_HANDOFF_SAME_OWNER	SEQUENTIAL	bemessener Wurzelauszug	Offener Posten wird an derselben Bildstation weitergeführt.
H2-E001	H2	f10r	H2-S001	H2-S002	WM02	WM02	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	EXPLICIT_HANDOFF_SAME_OWNER	SEQUENTIAL	bemessener Pflanzenansatz	Offener Posten wird an derselben Bildstation weitergeführt.
H2-E002	H2	f10r	H2-S002	H2-S003	WM02	WM02	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	EXPLICIT_HANDOFF_SAME_OWNER	SEQUENTIAL	weitergeführter Folgeansatz	Offener Posten wird an derselben Bildstation weitergeführt.
H3-E001	H3	f11r	H3-S001	H3-S002	WM03	WM04	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NEW_MODULE_BOUNDARY_SAME_OWNER	RESET_MODULE		Neuer Teilvorgang unter demselben Bildbesitzer.
H3-E002	H3	f11r	H3-S002	H3-S003	WM04	WM04	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	EXPLICIT_HANDOFF_SAME_OWNER	SEQUENTIAL	Blütenreserve	Offener Posten wird an derselben Bildstation weitergeführt.
H3-E003	H3	f11r	H3-S003	H3-S004	WM04	WM04	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	EXPLICIT_HANDOFF_SAME_OWNER	SEQUENTIAL	restliche Blütenreserve	Offener Posten wird an derselben Bildstation weitergeführt.
H4-E001	H4	f55v	H4-S001	H4-S002	WM05	WM06	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NEW_MODULE_BOUNDARY_SAME_OWNER	RESET_MODULE		Neuer Teilvorgang unter demselben Bildbesitzer.
H4-E002	H4	f55v	H4-S002	H4-S003	WM06	WM06	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	EXPLICIT_HANDOFF_SAME_OWNER	SEQUENTIAL	verwahrter Ansatz	Offener Posten wird an derselben Bildstation weitergeführt.
H4-E003	H4	f55v	H4-S003	H4-S004	WM06	WM07	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NEW_MODULE_BOUNDARY_SAME_OWNER	RESET_MODULE		Neuer Teilvorgang unter demselben Bildbesitzer.
H5-E001	H5	f56r	H5-S001	H5-S002	WM08	WM08	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	EXPLICIT_HANDOFF_SAME_OWNER	SEQUENTIAL	vorbereiteter Zutatenansatz	Offener Posten wird an derselben Bildstation weitergeführt.
H5-E002	H5	f56r	H5-S002	H5-S003	WM08	WM09	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NEW_MODULE_BOUNDARY_SAME_OWNER	RESET_MODULE		Neuer Teilvorgang unter demselben Bildbesitzer.
H5-E003	H5	f56r	H5-S003	H5-S004	WM09	WM09	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	EXPLICIT_HANDOFF_SAME_OWNER	SEQUENTIAL	zerriebene Stängel	Offener Posten wird an derselben Bildstation weitergeführt.
H5-E004	H5	f56r	H5-S004	H5-S005	WM09	WM09	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	EXPLICIT_HANDOFF_SAME_OWNER	SEQUENTIAL	geseihter Ansatz	Offener Posten wird an derselben Bildstation weitergeführt.
H5-E005	H5	f56r	H5-S005	H5-S006	WM09	WM09	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	EXPLICIT_HANDOFF_SAME_OWNER	SEQUENTIAL	Anwendungsauszug	Offener Posten wird an derselben Bildstation weitergeführt.
B1-E001	B1	f81v	B1-S001	B1-S002	WM10	WM10	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	PARALLEL_OR_EDITORIAL_WITHIN_MODULE	NOT_FORCED		Benachbarte abgeschlossene Einträge gehören zum selben Arbeitsmodul, sind aber Varianten oder Kontrollposten.
B1-E002	B1	f81v	B1-S002	B1-S003	WM10	WM10	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	PARALLEL_OR_EDITORIAL_WITHIN_MODULE	NOT_FORCED		Benachbarte abgeschlossene Einträge gehören zum selben Arbeitsmodul, sind aber Varianten oder Kontrollposten.
B1-E003	B1	f81v	B1-S003	B1-S004	WM10	WM10	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	PARALLEL_OR_EDITORIAL_WITHIN_MODULE	NOT_FORCED		Benachbarte abgeschlossene Einträge gehören zum selben Arbeitsmodul, sind aber Varianten oder Kontrollposten.
B1-E004	B1	f81v	B1-S004	B1-S005	WM10	WM10	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	PARALLEL_OR_EDITORIAL_WITHIN_MODULE	NOT_FORCED		Benachbarte abgeschlossene Einträge gehören zum selben Arbeitsmodul, sind aber Varianten oder Kontrollposten.
B1-E005	B1	f81v	B1-S005	B1-S006	WM10	WM11	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	NEW_MODULE_BOUNDARY_SAME_OWNER	RESET_MODULE		Neuer Teilvorgang unter demselben Bildbesitzer.
B1-E006	B1	f81v	B1-S006	B1-S007	WM11	WM11	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	EXPLICIT_HANDOFF_SAME_OWNER	SEQUENTIAL	abgekühlte Badmischung	Offener Posten wird an derselben Bildstation weitergeführt.
B1-E007	B1	f81v	B1-S007	B1-S008	WM11	WM12	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	NEW_MODULE_BOUNDARY_SAME_OWNER	RESET_MODULE		Neuer Teilvorgang unter demselben Bildbesitzer.
B1-E008	B1	f81v	B1-S008	B1-S009	WM12	WM12	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	PARALLEL_OR_EDITORIAL_WITHIN_MODULE	NOT_FORCED		Benachbarte abgeschlossene Einträge gehören zum selben Arbeitsmodul, sind aber Varianten oder Kontrollposten.
B1-E009	B1	f81v	B1-S009	B1-S010	WM12	WM12	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	PARALLEL_OR_EDITORIAL_WITHIN_MODULE	NOT_FORCED		Benachbarte abgeschlossene Einträge gehören zum selben Arbeitsmodul, sind aber Varianten oder Kontrollposten.
B1-E010	B1	f81v	B1-S010	B1-S011	WM12	WM13	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	NEW_MODULE_BOUNDARY_SAME_OWNER	RESET_MODULE		Neuer Teilvorgang unter demselben Bildbesitzer.
B1-E011	B1	f81v	B1-S011	B1-S012	WM13	WM13	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	EXPLICIT_HANDOFF_SAME_OWNER	SEQUENTIAL	durchgeleiteter Waschposten	Offener Posten wird an derselben Bildstation weitergeführt.
B1-E012	B1	f81v	B1-S012	B1-S013	WM13	WM13	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	PARALLEL_OR_EDITORIAL_WITHIN_MODULE	NOT_FORCED		Benachbarte abgeschlossene Einträge gehören zum selben Arbeitsmodul, sind aber Varianten oder Kontrollposten.
B1-E013	B1	f81v	B1-S013	B1-S014	WM13	WM14	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	NEW_MODULE_BOUNDARY_SAME_OWNER	RESET_MODULE		Neuer Teilvorgang unter demselben Bildbesitzer.
B1-E014	B1	f81v	B1-S014	B1-S015	WM14	WM14	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	EXPLICIT_HANDOFF_SAME_OWNER	SEQUENTIAL	abgeleitete Arbeitsflüssigkeit	Offener Posten wird an derselben Bildstation weitergeführt.
B1-E015	B1	f81v	B1-S015	B1-S016	WM14	WM14	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	PARALLEL_OR_EDITORIAL_WITHIN_MODULE	NOT_FORCED		Benachbarte abgeschlossene Einträge gehören zum selben Arbeitsmodul, sind aber Varianten oder Kontrollposten.
B1-E016	B1	f81v	B1-S016	B1-S017	WM14	WM14	B1_SHARED_TWO_ROW_POOL	B1_SHARED_TWO_ROW_POOL	PARALLEL_OR_EDITORIAL_WITHIN_MODULE	NOT_FORCED		Benachbarte abgeschlossene Einträge gehören zum selben Arbeitsmodul, sind aber Varianten oder Kontrollposten.
