hit_id	locus	page	edition	form	group_ids_json	source_groups_json	internal_separator	preceding	following	earlier_exact_chedy	final_group_id	next_group_id
ZL3b|f76r.19|G010	f76r.19	f76r	ZL3b	JOINED	"[""ZL3b|f76r.19|G010""]"	"[""qolchedy""]"	NONE_JOINED	lshedy	otedyl	1	ZL3b|f76r.19|G010	ZL3b|f76r.19|G011
ZL3b|f76r.26|G004	f76r.26	f76r	ZL3b	JOINED	"[""ZL3b|f76r.26|G004""]"	"[""qolchedy""]"	NONE_JOINED	qokey	qolain	0	ZL3b|f76r.26|G004	ZL3b|f76r.26|G005
ZL3b|f77r.34|G004	f77r.34	f77r	ZL3b	JOINED	"[""ZL3b|f77r.34|G004""]"	"[""qolchedy""]"	NONE_JOINED	chedy	qokaiin	1	ZL3b|f77r.34|G004	ZL3b|f77r.34|G005
ZL3b|f81r.13|G004	f81r.13	f81r	ZL3b	SPLIT	"[""ZL3b|f81r.13|G004"", ""ZL3b|f81r.13|G005""]"	"[""qol"", ""chedy""]"	DEFINITE_SPACE	qotedy	chetyry	0	ZL3b|f81r.13|G005	ZL3b|f81r.13|G006
ZL3b|f81r.20|G002	f81r.20	f81r	ZL3b	SPLIT	"[""ZL3b|f81r.20|G002"", ""ZL3b|f81r.20|G003""]"	"[""qol"", ""chedy""]"	DEFINITE_SPACE	qopchedy	qokeey	0	ZL3b|f81r.20|G003	ZL3b|f81r.20|G004
ZL3b|f81v.17|G005	f81v.17	f81v	ZL3b	JOINED	"[""ZL3b|f81v.17|G005""]"	"[""qolchedy""]"	NONE_JOINED	shedy	qokain	1	ZL3b|f81v.17|G005	ZL3b|f81v.17|G006
ZL3b|f81v.25|G009	f81v.25	f81v	ZL3b	SPLIT	"[""ZL3b|f81v.25|G009"", ""ZL3b|f81v.25|G010""]"	"[""qol"", ""chedy""]"	UNCERTAIN_SMALL_SPACE	chey	tchd	1	ZL3b|f81v.25|G010	ZL3b|f81v.25|G011
ZL3b|f82r.2|G002	f82r.2	f82r	ZL3b	JOINED	"[""ZL3b|f82r.2|G002""]"	"[""qolchedy""]"	NONE_JOINED	dchedy	qokain	0	ZL3b|f82r.2|G002	ZL3b|f82r.2|G003
ZL3b|f82r.21|G007	f82r.21	f82r	ZL3b	SPLIT	"[""ZL3b|f82r.21|G007"", ""ZL3b|f82r.21|G008""]"	"[""qol"", ""chedy""]"	DEFINITE_SPACE	chey	qokeey	0	ZL3b|f82r.21|G008	ZL3b|f82r.21|G009
IT2a|f75r.2|G005	f75r.2	f75r	IT2a	JOINED	"[""IT2a|f75r.2|G005""]"	"[""qolchedy""]"	NONE_JOINED	ssheol	chedykar	0	IT2a|f75r.2|G005	IT2a|f75r.2|G006
IT2a|f75r.23|G006	f75r.23	f75r	IT2a	SPLIT	"[""IT2a|f75r.23|G006"", ""IT2a|f75r.23|G007""]"	"[""qol"", ""chedy""]"	DEFINITE_SPACE	sshey	qokam	0	IT2a|f75r.23|G007	IT2a|f75r.23|G008
IT2a|f75r.33|G003	f75r.33	f75r	IT2a	SPLIT	"[""IT2a|f75r.33|G003"", ""IT2a|f75r.33|G004""]"	"[""qol"", ""chedy""]"	DEFINITE_SPACE	lshedy	qokain	0	IT2a|f75r.33|G004	IT2a|f75r.33|G005
IT2a|f76r.19|G010	f76r.19	f76r	IT2a	JOINED	"[""IT2a|f76r.19|G010""]"	"[""qolchedy""]"	NONE_JOINED	lshedy	otedyl	1	IT2a|f76r.19|G010	IT2a|f76r.19|G011
IT2a|f76r.26|G004	f76r.26	f76r	IT2a	JOINED	"[""IT2a|f76r.26|G004""]"	"[""qolchedy""]"	NONE_JOINED	qokey	qolain	0	IT2a|f76r.26|G004	IT2a|f76r.26|G005
IT2a|f77r.34|G004	f77r.34	f77r	IT2a	SPLIT	"[""IT2a|f77r.34|G004"", ""IT2a|f77r.34|G005""]"	"[""qol"", ""chedy""]"	DEFINITE_SPACE	chedy	qokaiin	1	IT2a|f77r.34|G005	IT2a|f77r.34|G006
IT2a|f81r.13|G004	f81r.13	f81r	IT2a	SPLIT	"[""IT2a|f81r.13|G004"", ""IT2a|f81r.13|G005""]"	"[""qol"", ""chedy""]"	DEFINITE_SPACE	qotedy	chety	0	IT2a|f81r.13|G005	IT2a|f81r.13|G006
IT2a|f81r.20|G002	f81r.20	f81r	IT2a	SPLIT	"[""IT2a|f81r.20|G002"", ""IT2a|f81r.20|G003""]"	"[""qol"", ""chedy""]"	DEFINITE_SPACE	qopchedy	qokeey	0	IT2a|f81r.20|G003	IT2a|f81r.20|G004
IT2a|f81v.17|G005	f81v.17	f81v	IT2a	JOINED	"[""IT2a|f81v.17|G005""]"	"[""qolchedy""]"	NONE_JOINED	shedy	qokain	1	IT2a|f81v.17|G005	IT2a|f81v.17|G006
IT2a|f81v.25|G008	f81v.25	f81v	IT2a	SPLIT	"[""IT2a|f81v.25|G008"", ""IT2a|f81v.25|G009""]"	"[""qol"", ""chedy""]"	DEFINITE_SPACE	chey	tchd	1	IT2a|f81v.25|G009	IT2a|f81v.25|G010
