locus	evidence_role	ZL3b_raw	IT2a_raw	RF1b_raw	all_raw_identical	agreement_class	reading_rule
f3r.1	DIPTAMUS_NAME_CARRIER	<%>tsheos.qopal.chol.cthol.daimg	<%>tsheos.qopal.chol.cthol.daimm	tsheos.qopal.chol.cthol.daimg	0	STABLE_ALL_THREE	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f3r.13	HOT_DRY_EXACT_CORNER	qokeey.qot,shey.qokody.qokshey.cheody	qokeey.qot.shey.qokody.qokchey.cheody	qokeey.qotshey.qokody.qokshey.cheody	0	ZL_RF_QOKSHEY__IT_QOKCHEY	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f3r.16	DEGREE_III_PACKAGE	oteol.chol.s.cheol.ekshy.qokeom.qokol.daiin<->soleeg	oteol.chol.s.cheol.ekshy.qokeom.qokol.daiin<->soleeg	oteol.chol.s.cheol.ekshy.qokeom.qok@221;l.daiin<->soleeg	0	ZL_IT_QOKOL_DAIIN__RF_GLYPH_SPLIT	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f19r.1	MOISTURE_MINIMAL_PAIR	<%>pchor.qodchy.qotshy.dy.tchy.qotchy.qoky.daiin.dchydy	<%>pchor.qodchy.qotshy.dy.tchy.qotchy.qoky.daiin.dchydy	pchor.qodchy.qotshy.d@222;.tchy.qotchy.qok@222;.daiin.dchydy	0	QOTSHY_QOTCHY_STABLE_ALL_THREE	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f24r.1	CUCURBITA_NAME_CARRIER	<%>por,or,y.chor.opchar.she.cheol.daiin.or	<%>porory.chor.opchar.she.cheol.daiin.or	porory.chor.opchar.she.cheol.daiin.or	0	ZL_POR_SPLIT__IT_RF_PORORY_JOINED	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f24r.2	DEGREE_II_MARKER	qotaiin.char.odaiin.okai{ikh}al.oky	qotaiin.char.odain.okaiikhal.oky	qotaiin.char.odaiin.okai{ikh}@221;l.oky	0	QOTAIIN_STABLE_ALL_THREE	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f24r.10	DEGREE_II_MARKER	q[?:e]or.cfhar.chor.s.am.chotaiin.dy	q?or.cfhar.chor.s.am.chotaiin.dy	q@145;@221;r.cfhar.chor.s.am.chotaiin.@152;y	0	CHOTAIIN_STABLE_ALL_THREE	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f24r.12	THERMAL_MINIMAL_PAIR	qokchy.qotchy.tol.tod.ckhy	qokchy.qotchy.tol.tod.ckhy	qokchy.qotchy.tol.tod.ckho	0	QOKCHY_QOTCHY_STABLE_ALL_THREE	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f25r.3	MOISTURE_MINIMAL_PAIR	qotchy.qotshy.cheesees.sheear.s.chain.daiin.chain.dan	qotchy.qotshy.cheesees.sheear.s.chain.daiin.chain.dein	qotchy.qotshy.cheesees.sheear.s.chain.daiin.chain.dein	0	QOTCHY_QOTSHY_STABLE_ALL_THREE	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f28v.5	MOISTURE_MINIMAL_PAIR	otol.chol.daiin.chkaiin.shoiin.qotchey.qotshey.daiiin	otol.chol.daiin.chkaiin.shoiin.qotchey.qotshey.daiiin<$>	otol.chol.daiin.chkaiin.shoiin.qotchey.qotshey.daiiin	0	QOTCHEY_QOTSHEY_STABLE_ALL_THREE	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f38r.1	BALSAM_NAME_AND_DRY_FAMILY	<%>tolor.chockhy<->oky.choiin.okshol.oly.oky	<%>tolor.chockhy<->oky.choiin.okshol.oly.oky	tolor.chockhy<->oky.choiin.okshol.oly.oky	0	TOLOR_OKSHOL_STABLE_ALL_THREE	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f38r.2	DRY_FAMILY_AND_DEGREE_II	okshey.chodys<->ytoiin.otaiin.otaiin.cthar	okseey.chodys<->ytoiin.otaiin.otaiin.cthar	okshey.chodys<->ytoiin.ot@221;iin.otaiin.cthar	0	KSH_ZL_RF_ONLY__TWO_OTAIIN_STABLE	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f38r.3	DEGREE_II_MARKER	qokor.okaiin<->otaiin.qo,kchol.chokokor	qokor.okaiin<->otaiin.qokchol.chokokor	qokor.okaiin<->otaiin.qo.kchol.chokokor	0	OTAIIN_STABLE__QO_BOUNDARY_VARIES	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f41v.1	CERFOLIUM_LABEL_CARRIER	keer[e:o]dal	keerodal	keesedal	0	KEEREDAL_VARIANT_ACROSS_ALL_THREE	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f45r.1	LIQUORICE_NAME_CARRIER	<%>pykydal.sha{ikh}y.oty.shey.qop.char.opchal.ypchor.ofchar	<%>pykydal.shaikhy.oty.shey.qop.char.opchal.ypchar.ofchar	pykydal.sha{ikh}y.oty.shey.qop.char.opchal.ypchar.ofchar	0	PYKYDAL_STABLE_ALL_THREE	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
f45r.3	HOT_MOIST_FAMILY	qo.chcthy.kchol.daiin.qoaiin.cthy.chaiin.ykeey.cthom	qo.chcthy.kchol.daiin.qoaiin.cthy.chaiin.ykeey.cthom	qo.chcthy.kchol.daiin.qoaiin.cthy.chaiin.ykeey.cthom	1	KCHOL_DAIIN_STABLE_ALL_THREE	ALTERNATE_READINGS_OF_ONE_MANUSCRIPT
