layer	surface	composition_slot	default_meaning_de	status	evidence	caveat
CLM667_CONFIRMED	c	THERMAL_1	heiß	HISTORICAL_CODE_CONFIRMED	Repeated Clm 667 rows with readable Latin drug names.	This is a Clm 667 value, not a Voynich glyph value.
CLM667_CONFIRMED	f	THERMAL_1	kalt	HISTORICAL_CODE_CONFIRMED	Repeated Clm 667 rows with readable Latin drug names.	This is a Clm 667 value, not a Voynich glyph value.
CLM667_CONFIRMED	s	MOISTURE_2	trocken	HISTORICAL_CODE_CONFIRMED	Repeated Clm 667 rows and separable degrees.	This is a Clm 667 value, not a Voynich glyph value.
CLM667_CONFIRMED	h	MOISTURE_2	feucht	HISTORICAL_CODE_CONFIRMED	Buglossum, Bdellium and Zinziber rows.	This is a Clm 667 value, not a Voynich glyph value.
CLM667_CONFIRMED	pbar	DEGREE	Grad 1 / primo	HISTORICAL_CODE_CONFIRMED	Capped p abbreviation beside numeric-degree controls.	Scope can be one quality or the quality pair.
CLM667_CONFIRMED	1|2|3|4	DEGREE	Grad 1|2|3|4	HISTORICAL_CODE_CONFIRMED	Numeric values occur after either quality.	A single final number can have shared scope.
VOYNICH_WORKING	k	THERMAL_1	heiß	EXPLORATORY_DEFAULT	KCH enrichment on liquorice blocks and KSH on two hot/dry historical candidates.	Diptamus whole-page totals contain more T than K composites.
VOYNICH_WORKING	t	THERMAL_1	kalt	EXPLORATORY_DEFAULT	TCH enrichment on cucurbita candidates, especially f36r and f49r.	TCH is globally common and also appears on non-cold candidates.
VOYNICH_WORKING	ch	MOISTURE_2	feucht	EXPLORATORY_DEFAULT	KCH and TCH are the predicted moist quadrants.	The value is not independently fixed outside the plant deck.
VOYNICH_WORKING	sh	MOISTURE_2	trocken	EXPLORATORY_DEFAULT	Rare KSH forms occur on f3r and f38r, both hot/dry candidates.	SH families are much rarer than CH families.
VOYNICH_WORKING	qo-	QUALITY_FIELD_WRAPPER	Qualitätsangabe / ist von der Eigenschaft	EXPLORATORY_STRUCTURAL_DEFAULT	The four exact qokch/qoksh/qotch/qotsh families share this wrapper.	q and o are not separately translated here.
VOYNICH_WORKING_BUNDLE	qokch-(y|ey)	QUALITY_CODE	Temperament: heiß und feucht	CONCRETE_EXPLORATORY_DEFAULT	Stable exact qokchy plus KCH concentration in both liquorice blocks.	The final y/ey is not assigned a degree value.
