page	locus	left_token_index	left_surface	left_family	right_token_index	right_surface	right_family	changed_axis	shared_ending
f10v	f10v.5	4	qotchy	TCH	8	qokchy	KCH	THERMAL_K_T	y
f115r	f115r.38	4	qotchy	TCH	5	qokchy	KCH	THERMAL_K_T	y
f18v	f18v.4	1	qotchy	TCH	3	qokchy	KCH	THERMAL_K_T	y
f18v	f18v.9	2	qotchy	TCH	3	qokchy	KCH	THERMAL_K_T	y
f19r	f19r.1	3	qotshy	TSH	6	qotchy	TCH	MOISTURE_CH_SH	y
f20r	f20r.9	3	qotchey	TCH	4	qokchey	KCH	THERMAL_K_T	ey
f21v	f21v.2	2	qokchy	KCH	4	qotchy	TCH	THERMAL_K_T	y
f21v	f21v.2	4	qotchy	TCH	5	qokchy	KCH	THERMAL_K_T	y
f24r	f24r.12	1	qokchy	KCH	2	qotchy	TCH	THERMAL_K_T	y
f25r	f25r.3	1	qotchy	TCH	2	qotshy	TSH	MOISTURE_CH_SH	y
f28v	f28v.5	6	qotchey	TCH	7	qotshey	TSH	MOISTURE_CH_SH	ey
f32r	f32r.5	1	qotchy	TCH	2	qokchy	KCH	THERMAL_K_T	y
f44r	f44r.9	5	qotchy	TCH	6	qokchy	KCH	THERMAL_K_T	y
