surface	family	page	locus	token_index	section	language	corpus_group	candidate_contact
qotchy	TCH	f103r	f103r.26	3	S	B	OTHER_SAFE	0
qokshy	KSH	f103r	f103r.37	4	S	B	OTHER_SAFE	0
qokshy	KSH	f103v	f103v.22	2	S	B	OTHER_SAFE	0
qokchy	KCH	f104v	f104v.6	4	S	B	OTHER_SAFE	0
qokchy	KCH	f104v	f104v.15	4	S	B	OTHER_SAFE	0
qokchy	KCH	f104v	f104v.19	7	S	B	OTHER_SAFE	0
qotchy	TCH	f104v	f104v.22	3	S	B	OTHER_SAFE	0
qokchey	KCH	f104v	f104v.23	2	S	B	OTHER_SAFE	0
qokchy	KCH	f104v	f104v.28	5	S	B	OTHER_SAFE	0
qokchy	KCH	f106r	f106r.23	7	S	B	OTHER_SAFE	0
qokshy	KSH	f106v	f106v.18	3	S	B	OTHER_SAFE	0
qokchy	KCH	f106v	f106v.22	2	S	B	OTHER_SAFE	0
qokchy	KCH	f107r	f107r.1	4	S	B	OTHER_SAFE	0
qokchey	KCH	f107r	f107r.36	8	S	B	OTHER_SAFE	0
qokchey	KCH	f107r	f107r.38	7	S	B	OTHER_SAFE	0
qokchey	KCH	f107v	f107v.11	4	S	B	OTHER_SAFE	0
qokchey	KCH	f107v	f107v.18	2	S	B	OTHER_SAFE	0
qokshy	KSH	f107v	f107v.27	4	S	B	OTHER_SAFE	0
qokchey	KCH	f107v	f107v.38	3	S	B	OTHER_SAFE	0
qokchey	KCH	f107v	f107v.41	7	S	B	OTHER_SAFE	0
qokchey	KCH	f108r	f108r.6	10	S	B	OTHER_SAFE	0
qotchy	TCH	f10r	f10r.3	6	H	A	HERBAL_A	0
qokchy	KCH	f10r	f10r.5	1	H	A	HERBAL_A	0
qotchy	TCH	f10r	f10r.12	3	H	A	HERBAL_A	0
qotchey	TCH	f10v	f10v.4	4	H	A	HERBAL_A	0
qotchy	TCH	f10v	f10v.5	4	H	A	HERBAL_A	0
qokchy	KCH	f10v	f10v.5	8	H	A	HERBAL_A	0
qotchey	TCH	f111r	f111r.30	3	S	B	OTHER_SAFE	0
qokchy	KCH	f112r	f112r.9	8	S	B	OTHER_SAFE	0
qokchy	KCH	f112r	f112r.41	5	S	B	OTHER_SAFE	0
qokchey	KCH	f113r	f113r.7	3	S	B	OTHER_SAFE	0
qokchy	KCH	f113r	f113r.22	9	S	B	OTHER_SAFE	0
qokchey	KCH	f113r	f113r.25	9	S	B	OTHER_SAFE	0
qotchey	TCH	f114r	f114r.42	6	S	B	OTHER_SAFE	0
qotchey	TCH	f114v	f114v.22	4	S	B	OTHER_SAFE	0
qotchey	TCH	f114v	f114v.38	4	S	B	OTHER_SAFE	0
qokchy	KCH	f115r	f115r.2	11	S	B	OTHER_SAFE	0
qotchy	TCH	f115r	f115r.7	3	S	B	OTHER_SAFE	0
qokchey	KCH	f115r	f115r.10	3	S	B	OTHER_SAFE	0
qotchy	TCH	f115r	f115r.17	3	S	B	OTHER_SAFE	0
qokchey	KCH	f115r	f115r.19	2	S	B	OTHER_SAFE	0
qotchy	TCH	f115r	f115r.38	4	S	B	OTHER_SAFE	0
qokchy	KCH	f115r	f115r.38	5	S	B	OTHER_SAFE	0
qotchey	TCH	f115v	f115v.3	4	S	B	OTHER_SAFE	0
qotchy	TCH	f115v	f115v.9	5	S	B	OTHER_SAFE	0
qotchey	TCH	f115v	f115v.11	7	S	B	OTHER_SAFE	0
qotchy	TCH	f115v	f115v.33	2	S	B	OTHER_SAFE	0
qokchy	KCH	f115v	f115v.40	9	S	B	OTHER_SAFE	0
qokchey	KCH	f115v	f115v.42	8	S	B	OTHER_SAFE	0
qokchey	KCH	f115v	f115v.44	4	S	B	OTHER_SAFE	0
qokchey	KCH	f115v	f115v.44	5	S	B	OTHER_SAFE	0
qokchy	KCH	f116r	f116r.41	9	S	B	OTHER_SAFE	0
qotchy	TCH	f11r	f11r.7	1	H	A	HERBAL_A	0
qokchy	KCH	f13r	f13r.8	2	H	A	HERBAL_A	0
qokchy	KCH	f13v	f13v.3	1	H	A	HERBAL_A	0
qokchy	KCH	f14r	f14r.2	5	H	A	HERBAL_A	0
qotchy	TCH	f14r	f14r.9	4	H	A	HERBAL_A	0
qotchy	TCH	f14v	f14v.5	5	H	A	HERBAL_A	0
qotchy	TCH	f15r	f15r.3	2	H	A	HERBAL_A	0
qotchy	TCH	f15r	f15r.5	1	H	A	HERBAL_A	0
qotchey	TCH	f15v	f15v.6	1	H	A	HERBAL_A	0
qotchy	TCH	f16v	f16v.7	3	H	A	HERBAL_A	0
qokchy	KCH	f16v	f16v.10	1	H	A	HERBAL_A	0
qokchy	KCH	f17r	f17r.7	2	H	A	HERBAL_A	0
qokchy	KCH	f18r	f18r.12	4	H	A	HERBAL_A	0
qokchy	KCH	f18v	f18v.2	6	H	A	HERBAL_A	0
qokchy	KCH	f18v	f18v.2	7	H	A	HERBAL_A	0
qokshy	KSH	f18v	f18v.3	5	H	A	HERBAL_A	0
qotchy	TCH	f18v	f18v.4	1	H	A	HERBAL_A	0
qokchy	KCH	f18v	f18v.4	3	H	A	HERBAL_A	0
qotchy	TCH	f18v	f18v.9	2	H	A	HERBAL_A	0
qokchy	KCH	f18v	f18v.9	3	H	A	HERBAL_A	0
qotshy	TSH	f19r	f19r.1	3	H	A	HERBAL_A	0
qotchy	TCH	f19r	f19r.1	6	H	A	HERBAL_A	0
qotchy	TCH	f19r	f19r.11	1	H	A	HERBAL_A	0
qokchy	KCH	f19v	f19v.2	1	H	A	HERBAL_A	0
