collision_ordinal	gdt575_duplicate_group_id	event_id	statement_id	physical_page	surface	final_context_recipe	source_duplicate_phrase_de	underlying_atom_sequence	target_distinct_phrases_de	distinct_target_phrase_count	collision_resolved	target_clause_de	guard
1	GDT575-D001	G407-E0001	G407-S001	f1r	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	an der bezeichneten Stelle	LOCAL_CHAR_F+A_ADDR	bei der f-Kennmarke|an der A-Stelle	2	YES	Entnimm den laufenden Eintrag und wähle ihn; bei der f-Kennmarke und an der A-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
2	GDT575-D002	G407-E0046	G407-S001	f1r	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	an der bezeichneten Stelle	D_ADDR+A_ADDR	an der D-Stelle|an der A-Stelle	2	YES	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; von der Ausgangszeile; an der D-Stelle, an der A-Stelle und mit der i-Variante.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
3	GDT575-D003	G407-E0135	G407-S005	f1r	daiy	D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	an der bezeichneten Stelle	D_ADDR+A_ADDR	an der D-Stelle|an der A-Stelle	2	YES	Im laufenden Gang lege den laufenden Eintrag fest; an der D-Stelle, an der A-Stelle und mit der i-Variante.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
4	GDT575-D009	G407-E0444	G407-S018	f17r	daram	DA+R+A_ADDR+AM_ADDR	an der bezeichneten Stelle	A_ADDR+AM_ADDR	an der A-Stelle|an der AM-Stelle	2	YES	Markiere; auf der zweiten Stufe; an der A-Stelle und an der AM-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
5	GDT575-D010	G407-E0465	G407-S021	f17r	qodam	O+D_ADDR+AM_ADDR	an der bezeichneten Stelle	D_ADDR+AM_ADDR	an der D-Stelle|an der AM-Stelle	2	YES	Im laufenden Gang wähle denselben Pflanzenposten; als Ausführung; an der D-Stelle und an der AM-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
6	GDT575-D017	G407-E0664	G407-S032	f24v	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	an der bezeichneten Stelle	D_ADDR+AM_ADDR	an der D-Stelle|an der AM-Stelle	2	YES	Im laufenden Gang nimm denselben Arbeitswert; als neuen Einsatz, als Ausführung und als Ausführung; an der D-Stelle und an der AM-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
7	GDT575-D018	G407-E0681	G407-S032	f24v	cheeodam	CH+EE+O+D_ADDR+AM_ADDR	an der bezeichneten Stelle	D_ADDR+AM_ADDR	an der D-Stelle|an der AM-Stelle	2	YES	Nimm dieselbe Arbeitseinheit; auf Grad II und als Ausführung; an der D-Stelle und an der AM-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
8	GDT575-D019	G407-E0690	G407-S032	f24v	odaiim	O+D_ADDR+AIIN+M_LOCAL	an der bezeichneten Stelle	D_ADDR+M_LOCAL	an der D-Stelle|bei der m-Ortsmarke	2	YES	Im laufenden Gang nimm den Arbeitswert; als Ausführung; an der D-Stelle und bei der m-Ortsmarke.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
9	GDT575-D020	G407-E0695	G407-S033	f55v	dodyd	D_ADDR+O+DY+D_LABEL	an der bezeichneten Stelle	D_ADDR+D_LABEL	an der D-Stelle|beim d-Vermerk	2	YES	Im laufenden Gang: Gib denselben Arbeitswert zu; an der D-Stelle; als Ausführung; beim d-Vermerk; schließe den Schritt.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
10	GDT575-D032	G407-E1053	G407-S054	f68r1	daram	DA+R+A_ADDR+AM_ADDR	an der bezeichneten Stelle	A_ADDR+AM_ADDR	an der A-Stelle|an der AM-Stelle	2	YES	Markiere dieselbe Positionseinheit; auf der zweiten Stufe; an der A-Stelle und an der AM-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
11	GDT575-D038	G407-E1730	G407-S143	f75r	darom	D_ADDR+AR+O+AM_ADDR	an der bezeichneten Stelle	D_ADDR+AM_ADDR	an der D-Stelle|an der AM-Stelle	2	YES	Im laufenden Gang stelle denselben Stationsanteil ein; von der Ausgangsstation; als Ausführung; an der D-Stelle und an der AM-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
12	GDT575-D047	G407-E2393	G407-S311	f77r	poldarais	P+OL+D_ADDR+AR+A_ADDR+IIN+S	an der bezeichneten Stelle	D_ADDR+A_ADDR	an der D-Stelle|an der A-Stelle	2	YES	Weiter: setze ein und wähle; an der D-Stelle; von der Ausgangsstation; an der A-Stelle; auf der bezeichneten Stufe.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
13	GDT575-D051	G407-E2719	G407-S396	f81r	ofshdy	O+LOCAL_CHAR_F+SH+D_ADDR+Y	an der bezeichneten Stelle	LOCAL_CHAR_F+D_ADDR	bei der f-Kennmarke|an der D-Stelle	2	YES	Halte den Stationsposten; als Ausführung; bei der f-Kennmarke und an der D-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
14	GDT575-D054	G407-E2934	G407-S443	f81v	ofalsheky	O+LOCAL_CHAR_F+A_ADDR+L+SH+E+K+Y	an der bezeichneten Stelle	LOCAL_CHAR_F+A_ADDR	bei der f-Kennmarke|an der A-Stelle	2	YES	Halte den Stationsposten und führe ihn zu; über die sichtbare Verbindung; als Ausführung und auf Grad I; bei der f-Kennmarke und an der A-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
