changed_event_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	sigla_card_ids	source_clause_de	target_clause_de	source_roundtrip_de	guard
1	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	GDT576-C05|GDT576-C02	Entnimm den laufenden Eintrag und wähle ihn; an der bezeichneten Stelle und an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und wähle ihn; bei der f-Kennmarke und an der A-Stelle.	Entnimm den laufenden Eintrag und wähle ihn; an der bezeichneten Stelle und an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
2	G407-E0004	G407-S001	f1r	SOURCE_SECTION_T	ataiin	A_ADDR+T+AIIN	GDT576-C02	Lege den Kennwert fest; an der bezeichneten Stelle.	Lege den Kennwert fest; an der A-Stelle.	Lege den Kennwert fest; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
3	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	sholdy	SH+OL+D_ADDR+Y	GDT576-C01	Weiter: halte den laufenden Eintrag fest; an der bezeichneten Stelle.	Weiter: halte den laufenden Eintrag fest; an der D-Stelle.	Weiter: halte den laufenden Eintrag fest; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
4	G407-E0018	G407-S001	f1r	SOURCE_SECTION_T	ase	A_ADDR+S+E	GDT576-C02	Wähle denselben Kennwert; auf Grad I; an der bezeichneten Stelle.	Wähle denselben Kennwert; auf Grad I; an der A-Stelle.	Wähle denselben Kennwert; auf Grad I; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
5	G407-E0026	G407-S001	f1r	SOURCE_SECTION_T	shod	SH+O+D_ADDR	GDT576-C01	Halte denselben Kennwert fest; als Ausführung; an der bezeichneten Stelle.	Halte denselben Kennwert fest; als Ausführung; an der D-Stelle.	Halte denselben Kennwert fest; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
6	G407-E0029	G407-S001	f1r	SOURCE_SECTION_T	daraiin	D_ADDR+AR+AIIN	GDT576-C01	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der D-Stelle.	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
7	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	oteos	OT+E+O+S_ADDR	GDT576-C04	Danach im laufenden Gang: wähle denselben laufenden Eintrag; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang: wähle denselben laufenden Eintrag; auf Grad I und als Ausführung; an der S-Stelle.	Danach im laufenden Gang: wähle denselben laufenden Eintrag; auf Grad I und als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
8	G407-E0035	G407-S001	f1r	SOURCE_SECTION_T	cthiar	CH+T+LOCAL_CHAR_I+AR	GDT576-C08	Entnimm denselben laufenden Eintrag und lege ihn fest; von der Ausgangszeile; mit der lokalen Variante.	Entnimm denselben laufenden Eintrag und lege ihn fest; von der Ausgangszeile; mit der i-Variante.	Entnimm denselben laufenden Eintrag und lege ihn fest; von der Ausgangszeile; mit der lokalen Variante.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
9	G407-E0045	G407-S001	f1r	SOURCE_SECTION_T	cfhaiin	CH+LOCAL_CHAR_F+AIIN	GDT576-C05	Entnimm den Kennwert; an der bezeichneten Stelle.	Entnimm den Kennwert; bei der f-Kennmarke.	Entnimm den Kennwert; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
10	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	GDT576-C01|GDT576-C02|GDT576-C08	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; von der Ausgangszeile; an der D-Stelle, an der A-Stelle und mit der i-Variante.	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
11	G407-E0047	G407-S002	f1r	SOURCE_SECTION_T	odar	O+D_ADDR+AR	GDT576-C01	Von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Von der Ausgangszeile; als Ausführung; an der D-Stelle.	Von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
