sigla_card_ordinal	sigla_card_id	atom	source_family	function_value	learned_head_de	family_frame_id	rendered_phrase_de	occurrence_count	event_count	physical_page_count	plain_occurrence_count	outer_occurrence_count	inner_occurrence_count	guard
1	GDT576-C01	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	an der D-Stelle	519	508	28	517	1	1	COMMON_FUNCTION_PLUS_LEARNED_HEAD__NO_PRONUNCIATION_CLAIM
2	GDT576-C02	A_ADDR	ADDRESS	STELLENVERWEIS	A-Stelle	GDT576-F01	an der A-Stelle	63	63	20	63	0	0	COMMON_FUNCTION_PLUS_LEARNED_HEAD__NO_PRONUNCIATION_CLAIM
3	GDT576-C03	AM_ADDR	ADDRESS	STELLENVERWEIS	AM-Stelle	GDT576-F01	an der AM-Stelle	74	74	23	74	0	0	COMMON_FUNCTION_PLUS_LEARNED_HEAD__NO_PRONUNCIATION_CLAIM
4	GDT576-C04	S_ADDR	ADDRESS	STELLENVERWEIS	S-Stelle	GDT576-F01	an der S-Stelle	16	16	10	16	0	0	COMMON_FUNCTION_PLUS_LEARNED_HEAD__NO_PRONUNCIATION_CLAIM
5	GDT576-C05	LOCAL_CHAR_F	ADDRESS	STELLENVERWEIS	f-Kennmarke	GDT576-F02	bei der f-Kennmarke	48	48	18	48	0	0	COMMON_FUNCTION_PLUS_LEARNED_HEAD__NO_PRONUNCIATION_CLAIM
6	GDT576-C06	M_LOCAL	ADDRESS	STELLENVERWEIS	m-Ortsmarke	GDT576-F02	bei der m-Ortsmarke	14	14	8	14	0	0	COMMON_FUNCTION_PLUS_LEARNED_HEAD__NO_PRONUNCIATION_CLAIM
7	GDT576-C07	D_LABEL	ADDRESS	KENNVERMERK	d-Vermerk	GDT576-F03	beim d-Vermerk	2	2	2	2	0	0	COMMON_FUNCTION_PLUS_LEARNED_HEAD__NO_PRONUNCIATION_CLAIM
8	GDT576-C08	LOCAL_CHAR_I	LOCAL_VARIANT	VARIANTENVERWEIS	i-Variante	GDT576-F04	mit der i-Variante	18	18	12	18	0	0	COMMON_FUNCTION_PLUS_LEARNED_HEAD__NO_PRONUNCIATION_CLAIM
9	GDT576-C09	LOCAL_CHAR_G	LOCAL_VARIANT	VARIANTENVERWEIS	g-Variante	GDT576-F04	mit der g-Variante	12	12	9	12	0	0	COMMON_FUNCTION_PLUS_LEARNED_HEAD__NO_PRONUNCIATION_CLAIM
10	GDT576-C10	G_LABEL	LOCAL_VARIANT	KENNVERMERK	G-Vermerk	GDT576-F03	beim G-Vermerk	4	4	3	4	0	0	COMMON_FUNCTION_PLUS_LEARNED_HEAD__NO_PRONUNCIATION_CLAIM
11	GDT576-C11	LOCAL_CHAR_B	LOCAL_VARIANT	VARIANTENVERWEIS	b-Variante	GDT576-F04	mit der b-Variante	2	2	2	2	0	0	COMMON_FUNCTION_PLUS_LEARNED_HEAD__NO_PRONUNCIATION_CLAIM
12	GDT576-C12	LOCAL_CHAR_J	LOCAL_VARIANT	VARIANTENVERWEIS	j-Variante	GDT576-F04	mit der j-Variante	1	1	1	1	0	0	COMMON_FUNCTION_PLUS_LEARNED_HEAD__NO_PRONUNCIATION_CLAIM
