assignment_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	atom_position_zero_based	atom	source_family	function_value	learned_head_de	family_frame_id	sigla_card_id	scope	source_fragment_de	target_fragment_de	source_start	source_end	target_start	target_end	guard
1	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	0	LOCAL_CHAR_F	ADDRESS	STELLENVERWEIS	f-Kennmarke	GDT576-F02	GDT576-C05	PLAIN	an der bezeichneten Stelle	bei der f-Kennmarke	45	71	45	64	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
2	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	1	A_ADDR	ADDRESS	STELLENVERWEIS	A-Stelle	GDT576-F01	GDT576-C02	PLAIN	an der bezeichneten Stelle	an der A-Stelle	76	102	69	84	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
3	G407-E0004	G407-S001	f1r	SOURCE_SECTION_T	ataiin	A_ADDR+T+AIIN	0	A_ADDR	ADDRESS	STELLENVERWEIS	A-Stelle	GDT576-F01	GDT576-C02	PLAIN	an der bezeichneten Stelle	an der A-Stelle	24	50	24	39	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
4	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	sholdy	SH+OL+D_ADDR+Y	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	42	68	42	57	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
5	G407-E0018	G407-S001	f1r	SOURCE_SECTION_T	ase	A_ADDR+S+E	0	A_ADDR	ADDRESS	STELLENVERWEIS	A-Stelle	GDT576-F01	GDT576-C02	PLAIN	an der bezeichneten Stelle	an der A-Stelle	38	64	38	53	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
6	G407-E0026	G407-S001	f1r	SOURCE_SECTION_T	shod	SH+O+D_ADDR	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	47	73	47	62	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
7	G407-E0029	G407-S001	f1r	SOURCE_SECTION_T	daraiin	D_ADDR+AR+AIIN	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	61	87	61	76	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
8	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	oteos	OT+E+O+S_ADDR	3	S_ADDR	ADDRESS	STELLENVERWEIS	S-Stelle	GDT576-F01	GDT576-C04	PLAIN	an der bezeichneten Stelle	an der S-Stelle	92	118	92	107	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
9	G407-E0035	G407-S001	f1r	SOURCE_SECTION_T	cthiar	CH+T+LOCAL_CHAR_I+AR	2	LOCAL_CHAR_I	LOCAL_VARIANT	VARIANTENVERWEIS	i-Variante	GDT576-F04	GDT576-C08	PLAIN	mit der lokalen Variante	mit der i-Variante	78	102	78	96	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
10	G407-E0045	G407-S001	f1r	SOURCE_SECTION_T	cfhaiin	CH+LOCAL_CHAR_F+AIIN	1	LOCAL_CHAR_F	ADDRESS	STELLENVERWEIS	f-Kennmarke	GDT576-F02	GDT576-C05	PLAIN	an der bezeichneten Stelle	bei der f-Kennmarke	22	48	22	41	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
