root	atomic_value_de	owner_class	owner_item	owner_target	owner_source	owner_run	owner_set	owner_result	spoken_owner_expansion_de	apprentice_command_de	register_evidence	observed_or_training	root_meaning_changed	concrete_noun_supplied_by_owner	caution_de
AIIN	SOLLWERT	PLANT_BATCH	der aktuelle Pflanzenposten	der bezeichnete Pflanzenteil oder das Gefäß	der Pflanzenvorrat	der Saft- oder Auszugsweg	der Pflanzenansatz	der sichtbare Auszug	Sollwert für der aktuelle Pflanzenposten	Unter PLANT_BATCH: Sollwert für der aktuelle Pflanzenposten.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nicht mit AIN oder IIN verschmelzen
AIIN	SOLLWERT	BASIN_STATION	die aktuelle Beckencharge	die bezeichnete Öffnung oder Schale	das Quellbecken oder der Einlauf	der Flüssigkeitslauf	der laufende Beckengang	der sichtbare Ablaufzustand	Sollwert für die aktuelle Beckencharge	Unter BASIN_STATION: Sollwert für die aktuelle Beckencharge.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nicht mit AIN oder IIN verschmelzen
AIIN	SOLLWERT	CLOTH_FILTER	der aktuelle Tuchposten	das Empfangsgefäß	die obere Tuchseite	der Durchgang durch das Tuch	der Filteransatz	das sichtbare Filtrat	Sollwert für der aktuelle Tuchposten	Unter CLOTH_FILTER: Sollwert für der aktuelle Tuchposten.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nicht mit AIN oder IIN verschmelzen
AIIN	SOLLWERT	CELESTIAL_TABLE	der aktuelle Tabellenwert	die bezeichnete Zielzelle	die bezeichnete Quellzelle	die sichtbare Bahn oder das Ringband	der lokale Tabellensatz	der sichtbare Ablesewert	Sollwert für der aktuelle Tabellenwert	Unter CELESTIAL_TABLE: Sollwert für der aktuelle Tabellenwert.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nicht mit AIN oder IIN verschmelzen
AIIN	SOLLWERT	GENERIC_WORKPIECE	das aktuelle Werkstück	die bezeichnete Arbeitsstelle	der Ausgangsvorrat	der örtliche Arbeitsweg	der laufende Arbeitsansatz	das sichtbare Arbeitsergebnis	Sollwert für das aktuelle Werkstück	Unter GENERIC_WORKPIECE: Sollwert für das aktuelle Werkstück.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nicht mit AIN oder IIN verschmelzen
AIN	PORTION	PLANT_BATCH	der aktuelle Pflanzenposten	der bezeichnete Pflanzenteil oder das Gefäß	der Pflanzenvorrat	der Saft- oder Auszugsweg	der Pflanzenansatz	der sichtbare Auszug	Portion von der aktuelle Pflanzenposten	Unter PLANT_BATCH: Portion von der aktuelle Pflanzenposten.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	abgeteilte Menge, kein Sollwert
AIN	PORTION	BASIN_STATION	die aktuelle Beckencharge	die bezeichnete Öffnung oder Schale	das Quellbecken oder der Einlauf	der Flüssigkeitslauf	der laufende Beckengang	der sichtbare Ablaufzustand	Portion von die aktuelle Beckencharge	Unter BASIN_STATION: Portion von die aktuelle Beckencharge.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	abgeteilte Menge, kein Sollwert
AIN	PORTION	CLOTH_FILTER	der aktuelle Tuchposten	das Empfangsgefäß	die obere Tuchseite	der Durchgang durch das Tuch	der Filteransatz	das sichtbare Filtrat	Portion von der aktuelle Tuchposten	Unter CLOTH_FILTER: Portion von der aktuelle Tuchposten.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	abgeteilte Menge, kein Sollwert
AIN	PORTION	CELESTIAL_TABLE	der aktuelle Tabellenwert	die bezeichnete Zielzelle	die bezeichnete Quellzelle	die sichtbare Bahn oder das Ringband	der lokale Tabellensatz	der sichtbare Ablesewert	Portion von der aktuelle Tabellenwert	Unter CELESTIAL_TABLE: Portion von der aktuelle Tabellenwert.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	abgeteilte Menge, kein Sollwert
AIN	PORTION	GENERIC_WORKPIECE	das aktuelle Werkstück	die bezeichnete Arbeitsstelle	der Ausgangsvorrat	der örtliche Arbeitsweg	der laufende Arbeitsansatz	das sichtbare Arbeitsergebnis	Portion von das aktuelle Werkstück	Unter GENERIC_WORKPIECE: Portion von das aktuelle Werkstück.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	abgeteilte Menge, kein Sollwert
