teaching_order	root	atomic_value_de	register_evidence	surface_type_count	visible_group_count	owner_expansion_count	transfer_verdict	portable_part_de	owner_supplied_part_de	limit_de
1	AIIN	SOLLWERT	ASTRO|PROSE	28	63	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	SOLLWERT	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
2	AIN	PORTION	ASTRO|PROSE	17	25	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	PORTION	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
3	IIN	STUFE	ASTRO|PROSE	11	11	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	STUFE	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
4	AL	ZIEL	ASTRO|PROSE	52	72	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	ZIEL	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
5	AR	QUELLE	ASTRO|PROSE	45	69	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	QUELLE	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
6	AIR	LAUF_BAHN	ASTRO|PROSE	13	18	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	LAUF_BAHN	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
7	OK	ANSETZEN	ASTRO|PROSE	65	132	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	ANSETZEN	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
8	OL	FORTSETZEN	ASTRO|PROSE	54	75	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	FORTSETZEN	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
9	OT	FOLGEND	ASTRO|PROSE	49	62	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	FOLGEND	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
10	OR	ANSATZ_SATZ	ASTRO|PROSE	28	36	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	ANSATZ_SATZ	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
11	Y	DIESER_POSTEN	ASTRO|PROSE	105	154	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	DIESER_POSTEN	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
