event_id	page	record	statement_id	locus	owner_de	card_no	component_recipe	old_semantic_de	revised_semantic_de	observed_surface	surface_unchanged	owner_unchanged	boundary_unchanged	semantic_revision
E001	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC001	CH+E+Y	ABNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · DIES	dchey	YES	YES	YES	YES
E002	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC002	CTH+O+OR	BEREIT · GANG · ANSATZ	BEREIT · GANG · ANSATZ	cthoor	YES	YES	YES	NO
E003	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC003	AR	QUELLE	QUELLE	char	YES	YES	YES	NO
E004	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC004	T+Y	EINTRAGEN · DIES	ANWENDEN · DIES	chty	YES	YES	YES	YES
E005	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC005	OS	FACH	FACH	os	YES	YES	YES	NO
E006	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC006	CH+AIR	ABNEHMEN · LAUF	ENTNEHMEN · LAUF	chair	YES	YES	YES	YES
E007	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC007	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN	otytchol	YES	YES	YES	YES
E008	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	oky	YES	YES	YES	NO
E009	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC009	AIIN	MASS	MASS	daiin	YES	YES	YES	NO
E010	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC010	E+T+Y	KURZ · EINTRAGEN · DIES	KURZ · ANWENDEN · DIES	etyd	YES	YES	YES	YES
E011	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	PROC011	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	qokchy	YES	YES	YES	NO
E012	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	PROC012	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	DANACH · ENTNEHMEN · FORTSETZEN	qotchol	YES	YES	YES	YES
E013	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	PROC013	OL	FORTSETZEN	FORTSETZEN	chol	YES	YES	YES	NO
E014	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	PROC014	CTH+Y	BEREIT · DIES	BEREIT · DIES	cthy	YES	YES	YES	NO
E015	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC015	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	ycheor	YES	YES	YES	YES
E016	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC014	CTH+Y	BEREIT · DIES	BEREIT · DIES	cthy	YES	YES	YES	NO
E017	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC016	OR	ANSATZ	ANSATZ	chor	YES	YES	YES	NO
E018	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC017	CTH+AIIN	BEREIT · MASS	BEREIT · MASS	cthaiin	YES	YES	YES	NO
E019	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC018	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	GANG · BEREIT · FORTSETZEN · DIES	qoctholy	YES	YES	YES	NO
E020	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC019	Y	DIES	DIES	dy	YES	YES	YES	NO
E021	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC019	Y	DIES	DIES	chy	YES	YES	YES	NO
E022	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC009	AIIN	MASS	MASS	taiin	YES	YES	YES	NO
E023	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC019	Y	DIES	DIES	shy	YES	YES	YES	NO
E024	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	PROC020	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	qotchor	YES	YES	YES	YES
E025	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	PROC016	OR	ANSATZ	ANSATZ	chor	YES	YES	YES	NO
E026	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	PROC021	OT+OL	DANACH · FORTSETZEN	DANACH · FORTSETZEN	otol	YES	YES	YES	NO
E027	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	PROC013	OL	FORTSETZEN	FORTSETZEN	chol	YES	YES	YES	NO
E028	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	PROC022	OL+OR	FORTSETZEN · ANSATZ	FORTSETZEN · ANSATZ	cholor	YES	YES	YES	NO
E029	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	PROC013	OL	FORTSETZEN	FORTSETZEN	chol	YES	YES	YES	NO
E030	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	PROC009	AIIN	MASS	MASS	daiin	YES	YES	YES	NO
E031	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	PROC003	AR	QUELLE	QUELLE	dar	YES	YES	YES	NO
