statement_id	page	record	events	owner_noun_de	surface_sequence	component_sequence	old_working_reading_de	revised_working_reading_de	revised_atomic_trace_de	semantic_revision	surface_unchanged	owner_unchanged	statement_boundary_unchanged	line_relation_unchanged
H1-S001	f10r	H1	10	die breite gezahnte Bluetenpflanze	dchey cthoor char chty os chair otytchol oky daiin etyd	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz abnehmen; den Ansatz im Gang bereitstellen und aus der Quelle eintragen; den Lauf abnehmen, danach den Posten weiterfuehren, nach Mass ansetzen und kurz eintragen.	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Gang bereitstellen und aus der Quelle anwenden; den Lauf entnehmen, danach den Posten weiterfuehren, nach Mass ansetzen und kurz anwenden.	ENTNEHMEN · KURZ · DIES | BEREIT · GANG · ANSATZ | QUELLE | ANWENDEN · DIES | FACH | ENTNEHMEN · LAUF | DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN | ANSETZEN · DIES | MASS | KURZ · ANWENDEN · DIES	YES	YES	YES	YES	YES
H1-S002	f10r	H1	4	die breite gezahnte Bluetenpflanze	qokchy qotchol chol cthy	OK+Y | OT+CH+OL | OL | CTH+Y	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach abnehmen und weiterfuehren, weiterarbeiten und ihn bereithalten.	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereithalten.	ANSETZEN · DIES | DANACH · ENTNEHMEN · FORTSETZEN | FORTSETZEN | BEREIT · DIES	YES	YES	YES	YES	YES
H2-S001	f10r	H2	9	die breite gezahnte Bluetenpflanze	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz abnehmen; den Posten bereithalten, den Ansatz nach Mass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereithalten, den Ansatz nach Mass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	DIES · ENTNEHMEN · KURZ · ANSATZ | BEREIT · DIES | ANSATZ | BEREIT · MASS | GANG · BEREIT · FORTSETZEN · DIES | DIES | DIES | MASS | DIES	YES	YES	YES	YES	YES
H2-S002	f10r	H2	8	die breite gezahnte Bluetenpflanze	qotchor chor otol chol cholor chol daiin dar	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz abnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Mass aus der Quelle weiterfuehren.	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Mass aus der Quelle weiterfuehren.	DANACH · ENTNEHMEN · ANSATZ | ANSATZ | DANACH · FORTSETZEN | FORTSETZEN | FORTSETZEN · ANSATZ | FORTSETZEN | MASS | QUELLE	YES	YES	YES	YES	YES
H2-S003	f10r	H2	7	die breite gezahnte Bluetenpflanze	oykchor shor chor chy kaiiin dy chodaiin	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	Bei der breiten gezahnten Bluetenpflanze: Im Gang den aktuellen Ansatz zudosieren; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiterdosieren und anschliessend im Gang nach Mass abnehmen.	Bei der breiten gezahnten Bluetenpflanze: Im Gang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Gang nach Mass entnehmen.	GANG · DIES · ZUGEBEN · ANSATZ | ANSATZ | ANSATZ | DIES | ZUGEBEN · STUFE | DIES | ENTNEHMEN · GANG · MASS	YES	YES	YES	YES	YES
H3-S001	f11r	H3	7	die dicht bluehende Kronenpflanze	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	Bei der dicht bluehenden Kronenpflanze: Den Ansatz am Ziel weiter halten; auswringen, bis zum Mass halten, in den Empfaenger fuellen, laenger halten, abnehmen und den Schritt schliessen.	Bei der dicht bluehenden Kronenpflanze: Den Ansatz am Ziel weiter halten; auswringen, bis zum Mass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.	ANWENDEN · HALTEN · FORTSETZEN | HALTEN · GANG · ZIEL | AUSWRINGEN · DIES | HALTEN · DIES · MASS | EINFUELLEN · DIES | HALTEN · LANG · DIES | ANWENDEN · ENTNEHMEN · GANG · SCHLUSS	YES	YES	YES	YES	YES
H3-S002	f11r	H3	1	die dicht bluehende Kronenpflanze	shoyty	SH+O+Y+T+Y	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Gang halten und eintragen.	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Gang halten und anwenden.	HALTEN · GANG · DIES · ANWENDEN · DIES	YES	YES	YES	YES	YES
H3-S003	f11r	H3	5	die dicht bluehende Kronenpflanze	dchol chy kchy dy daiin	RESUME_CARD | Y | K+Y | Y | AIIN	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zudosieren und ihn bis zum Mass weiterfuehren.	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Mass weiterfuehren.	WIEDERAUFNEHMEN | DIES | ZUGEBEN · DIES | DIES | MASS	YES	YES	YES	YES	YES
H3-S004	f11r	H3	4	die dicht bluehende Kronenpflanze	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereithalten; dann ihn beibehalten.	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereithalten; dann ihn beibehalten.	DANACH · DIES | ANSETZEN · FORTSETZEN | BEREIT · DIES | DIES	NO	YES	YES	YES	YES
H4-S001	f55v	H4	5	die breitblaettrige rispige Pflanze	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zudosieren; den Gang schliessen.	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Gang schliessen.	ANSETZEN · MASS | MASS | DIES · ZUGEBEN · PORTION | DIES · ZUGEBEN · NACHGABE | GANG · SCHLUSS	YES	YES	YES	YES	YES
H4-S002	f55v	H4	3	die breitblaettrige rispige Pflanze	daiin chedy talam	AIIN | CHD+Y | TALAM	Bei der breitblaettrigen rispigen Pflanze: Nach Mass den laufenden Posten umsetzen und anschliessend verwahren.	Bei der breitblaettrigen rispigen Pflanze: Nach Mass den laufenden Posten umsetzen und anschliessend verwahren.	MASS | UMSETZEN · DIES | VERWAHREN	NO	YES	YES	YES	YES
H4-S003	f55v	H4	4	die breitblaettrige rispige Pflanze	ykaiin cheoar cheeky oldy	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Mass zudosieren; dann kurz im Gang aus der Quelle abnehmen; dann ihn laenger erwaermen; dann fortsetzen; den Schritt schliessen.	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Mass zugeben; dann kurz im Gang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann fortsetzen; den Schritt schliessen.	DIES · ZUGEBEN · MASS | ENTNEHMEN · KURZ · GANG · QUELLE | WAERMEN · LANG · DIES | FORTSETZEN · SCHLUSS	YES	YES	YES	YES	YES
H4-S004	f55v	H4	6	die breitblaettrige rispige Pflanze	aiin okal oltchy or y orain	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	Bei der breitblaettrigen rispigen Pflanze: Nach Mass am Ziel ansetzen, den laufenden Posten weiter eintragen, als Ansatz beibehalten und als Ansatzportion fuehren.	Bei der breitblaettrigen rispigen Pflanze: Nach Mass am Ziel ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.	MASS | ANSETZEN · ZIEL | FORTSETZEN · ANWENDEN · DIES | ANSATZ | DIES | ANSATZ · PORTION	YES	YES	YES	YES	YES
