component	short_value_de	entry_kind	diagnostic_fragments	apprentice_rule	card_types	events	old_value_de	revised_value_de	semantic_revision
OK	ANSETZEN	COMPOSABLE_WORK_COMPONENT	ok	als kurzes Verb im Bedeutungsrezept lernen	23	79	ANSETZEN	ANSETZEN	NO
CHD	UMSETZEN	COMPOSABLE_WORK_COMPONENT	ch	als kurzes Verb im Bedeutungsrezept lernen	22	48	UMSETZEN	UMSETZEN	NO
SH	HALTEN	COMPOSABLE_WORK_COMPONENT	sh|ch|sch	als kurzes Verb im Bedeutungsrezept lernen	20	25	HALTEN	HALTEN	NO
SHED	ABSETZEN	COMPOSABLE_WORK_COMPONENT	she|chee|te|shed	als kurzes Verb im Bedeutungsrezept lernen	3	15	ABSETZEN	ABSETZEN	NO
CHK	WAERMEN	COMPOSABLE_WORK_COMPONENT	chk|ch	als kurzes Verb im Bedeutungsrezept lernen	4	7	WAERMEN	WAERMEN	NO
CTH	BEREIT	COMPOSABLE_WORK_COMPONENT	cth	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	8	15	BEREIT	BEREIT	NO
SOLK	AUFFANGEN	COMPOSABLE_WORK_COMPONENT	olk	als kurzes Verb im Bedeutungsrezept lernen	5	7	AUFFANGEN	AUFFANGEN	NO
P	EINFUELLEN	COMPOSABLE_WORK_COMPONENT	p	als kurzes Verb im Bedeutungsrezept lernen	3	3	EINFUELLEN	EINFUELLEN	NO
LSH	WASCHEN	COMPOSABLE_WORK_COMPONENT	lsh	als kurzes Verb im Bedeutungsrezept lernen	2	3	WASCHEN	WASCHEN	NO
CFH	AUSWRINGEN	COMPOSABLE_WORK_COMPONENT	cfh	als kurzes Verb im Bedeutungsrezept lernen	1	1	AUSWRINGEN	AUSWRINGEN	NO
CH	ABNEHMEN	COMPOSABLE_WORK_COMPONENT	ch	als kurzes Verb im Bedeutungsrezept lernen	15	16	ABNEHMEN	ENTNEHMEN	YES
T	EINTRAGEN	COMPOSABLE_WORK_COMPONENT	t	als kurzes Verb im Bedeutungsrezept lernen	9	10	EINTRAGEN	ANWENDEN	YES
K	ZUDOSIEREN	COMPOSABLE_WORK_COMPONENT	k	als kurzes Verb im Bedeutungsrezept lernen	18	21	ZUDOSIEREN	ZUGEBEN	YES
S	TEILEN	COMPOSABLE_WORK_COMPONENT	s	als kurzes Verb im Bedeutungsrezept lernen	1	1	TEILEN	TEILEN	NO
L	WEITERLEITEN	COMPOSABLE_WORK_COMPONENT	l	als kurzes Verb im Bedeutungsrezept lernen	18	27	WEITERLEITEN	WEITERLEITEN	NO
OL	FORTSETZEN	COMPOSABLE_WORK_COMPONENT	ol|l	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	25	48	FORTSETZEN	FORTSETZEN	NO
OT	DANACH	COMPOSABLE_WORK_COMPONENT	ot	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	16	26	DANACH	DANACH	NO
AL	ZIEL	COMPOSABLE_WORK_COMPONENT	al	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	22	39	ZIEL	ZIEL	NO
AR	QUELLE	COMPOSABLE_WORK_COMPONENT	ar	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	10	14	QUELLE	QUELLE	NO
AIR	LAUF	COMPOSABLE_WORK_COMPONENT	air	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	5	5	LAUF	LAUF	NO
OR	ANSATZ	COMPOSABLE_WORK_COMPONENT	or	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	10	18	ANSATZ	ANSATZ	NO
HO	ZUTAT	COMPOSABLE_WORK_COMPONENT	ho	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	5	8	ZUTAT	ZUTAT	NO
CKH	DURCHLASS	COMPOSABLE_WORK_COMPONENT	ckh	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	9	14	DURCHLASS	DURCHLASS	NO
O	GANG	COMPOSABLE_WORK_COMPONENT	o	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	18	19	GANG	GANG	NO
Y	DIES	COMPOSABLE_WORK_COMPONENT	y	auf den aktuell gemeinten vom Bild oder Record gelieferten Posten zeigen	60	124	DIES	DIES	NO
AIN	PORTION	COMPOSABLE_WORK_COMPONENT	ain|an	als unteilbaren Parameterwert lesen	8	18	PORTION	PORTION	NO
