semantic_family	component_recipe	old_reading_de	revised_reading_de	events	exact_card_ids	semantic_revision
SEM001	CH+E+Y	ABNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · DIES	1	PROC001	YES
SEM002	CTH+O+OR	BEREIT · GANG · ANSATZ	BEREIT · GANG · ANSATZ	1	PROC002	NO
SEM003	AR	QUELLE	QUELLE	5	PROC003	NO
SEM004	T+Y	EINTRAGEN · DIES	ANWENDEN · DIES	2	PROC004	YES
SEM005	OS	FACH	FACH	1	PROC005	NO
SEM006	CH+AIR	ABNEHMEN · LAUF	ENTNEHMEN · LAUF	1	PROC006	YES
SEM007	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN	1	PROC007	YES
SEM008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	13	PROC008|PROC011	NO
SEM009	AIIN	MASS	MASS	20	PROC009	NO
SEM010	E+T+Y	KURZ · EINTRAGEN · DIES	KURZ · ANWENDEN · DIES	1	PROC010	YES
SEM011	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	DANACH · ENTNEHMEN · FORTSETZEN	1	PROC012	YES
SEM012	OL	FORTSETZEN	FORTSETZEN	20	PROC013|PROC115	NO
SEM013	CTH+Y	BEREIT · DIES	BEREIT · DIES	7	PROC014	NO
SEM014	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	1	PROC015	YES
SEM015	OR	ANSATZ	ANSATZ	7	PROC016	NO
SEM016	CTH+AIIN	BEREIT · MASS	BEREIT · MASS	1	PROC017	NO
SEM017	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	GANG · BEREIT · FORTSETZEN · DIES	1	PROC018	NO
SEM018	Y	DIES	DIES	18	PROC019	NO
SEM019	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	2	PROC020	YES
SEM020	OT+OL	DANACH · FORTSETZEN	DANACH · FORTSETZEN	1	PROC021	NO
SEM021	OL+OR	FORTSETZEN · ANSATZ	FORTSETZEN · ANSATZ	2	PROC022	NO
SEM022	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	GANG · DIES · ZUGEBEN · ANSATZ	1	PROC023	YES
SEM023	K+IIN	ZUDOSIEREN · STUFE	ZUGEBEN · STUFE	1	PROC024	YES
SEM024	CH+O+AIIN	ABNEHMEN · GANG · MASS	ENTNEHMEN · GANG · MASS	1	PROC025	YES
SEM025	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	ANWENDEN · HALTEN · FORTSETZEN	1	PROC026	YES
SEM026	SH+O+AL	HALTEN · GANG · ZIEL	HALTEN · GANG · ZIEL	1	PROC027	NO
SEM027	CFH+Y	AUSWRINGEN · DIES	AUSWRINGEN · DIES	1	PROC028	NO
SEM028	SH+Y+AIIN	HALTEN · DIES · MASS	HALTEN · DIES · MASS	1	PROC029	NO
SEM029	P+Y	EINFUELLEN · DIES	EINFUELLEN · DIES	1	PROC030	NO
SEM030	SH+EE+Y	HALTEN · LANG · DIES	HALTEN · LANG · DIES	5	PROC031|PROC157	NO
SEM031	T+CH+O+DY	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	ANWENDEN · ENTNEHMEN · GANG · SCHLUSS	1	PROC032	YES
SEM032	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	HALTEN · GANG · DIES · ANWENDEN · DIES	1	PROC033	YES
SEM033	RESUME_CARD	WIEDERAUFNEHMEN	WIEDERAUFNEHMEN	2	PROC034	NO
SEM034	K+Y	ZUDOSIEREN · DIES	ZUGEBEN · DIES	1	PROC035	YES
SEM035	OT+Y	DANACH · DIES	DANACH · DIES	3	PROC036|PROC065	NO
SEM036	OK+OL	ANSETZEN · FORTSETZEN	ANSETZEN · FORTSETZEN	2	PROC037|PROC160	NO
SEM037	OK+AIIN	ANSETZEN · MASS	ANSETZEN · MASS	9	PROC038	NO
SEM038	Y+K+AIN	DIES · ZUDOSIEREN · PORTION	DIES · ZUGEBEN · PORTION	1	PROC039	YES
SEM039	Y+K+AN	DIES · ZUDOSIEREN · NACHGABE	DIES · ZUGEBEN · NACHGABE	1	PROC040	YES
SEM040	O+DY	GANG · SCHLUSS	GANG · SCHLUSS	1	PROC041	NO
SEM041	CHD+Y	UMSETZEN · DIES	UMSETZEN · DIES	12	PROC042|PROC133	NO
SEM042	TALAM	VERWAHREN	VERWAHREN	1	PROC043	NO
SEM043	Y+K+AIIN	DIES · ZUDOSIEREN · MASS	DIES · ZUGEBEN · MASS	1	PROC044	YES
SEM044	CH+E+O+AR	ABNEHMEN · KURZ · GANG · QUELLE	ENTNEHMEN · KURZ · GANG · QUELLE	1	PROC045	YES
SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	WAERMEN · LANG · DIES	3	PROC046|PROC107	NO
SEM046	OL+DY	FORTSETZEN · SCHLUSS	FORTSETZEN · SCHLUSS	2	PROC047	NO
SEM047	OK+AL	ANSETZEN · ZIEL	ANSETZEN · ZIEL	6	PROC048	NO
SEM048	OL+T+Y	FORTSETZEN · EINTRAGEN · DIES	FORTSETZEN · ANWENDEN · DIES	1	PROC049	YES
SEM049	OR+AIN	ANSATZ · PORTION	ANSATZ · PORTION	1	PROC050	NO
SEM050	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	ZUTAT · ENTNEHMEN · ANSATZ	1	PROC051	YES
SEM051	HO	ZUTAT	ZUTAT	4	PROC052	NO
SEM052	HO+AL+Y	ZUTAT · ZIEL · DIES	ZUTAT · ZIEL · DIES	1	PROC053	NO
SEM053	K+OL	ZUDOSIEREN · FORTSETZEN	ZUGEBEN · FORTSETZEN	1	PROC054	YES
SEM054	AL	ZIEL	ZIEL	10	PROC055	NO
SEM055	HO+Y	ZUTAT · DIES	ZUTAT · DIES	1	PROC056	NO
SEM056	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	ENTNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	1	PROC057	YES
