source_group_id	edition	block	locus	group_index	kind	raw	left_separator	right_separator	N	L	S	T
ZL3b|f77r.1|G001	ZL3b	f77r.1:LABEL	f77r.1	1	L	darchdar	LINE_START	LINE_END	⟦darchdar⟧	⟦darchdar⟧	⟦darchdar⟧	⟦darchdar⟧
ZL3b|f77r.2|G001	ZL3b	f77r.2:LABEL	f77r.2	1	L	olkchs	LINE_START	LINE_END	⟦olkchs⟧	⟦olkchs⟧	⟦olkchs⟧	⟦olkchs⟧
ZL3b|f77r.3|G001	ZL3b	f77r.3:LABEL	f77r.3	1	L	otedy	LINE_START	LINE_END	A?	A?	A?	A?
ZL3b|f77r.4|G001	ZL3b	f77r.4:LABEL	f77r.4	1	L	otork	LINE_START	LINE_END	⟦otork⟧	⟦otork⟧	⟦otork⟧	⟦otork⟧
ZL3b|f77r.5|G001	ZL3b	f77r.5:LABEL	f77r.5	1	L	otol	LINE_START	LINE_END	B?	B?	B?	B?
ZL3b|f77r.6|G001	ZL3b	f77r.6:LABEL	f77r.6	1	L	dchdy	LINE_START	LINE_END	⟦dchdy⟧	⟦dchdy⟧	⟦dchdy⟧	⟦dchdy⟧
ZL3b|f77r.7|G001	ZL3b	f77r.7:LABEL	f77r.7	1	L	soral	LINE_START	LINE_END	⟦soral⟧	⟦soral⟧	⟦soral⟧	⟦soral⟧
ZL3b|f77r.8|G001	ZL3b	f77r.8:LABEL	f77r.8	1	L	dotedy	LINE_START	LINE_END	⟦dotedy⟧	⟦dotedy⟧	⟦dotedy⟧	⟦dotedy⟧
ZL3b|f77r.9|G001	ZL3b	f77r:P1	f77r.9	1	P	poldarais	LINE_START	UNCERTAIN_SMALL_SPACE	⟦poldarais⟧	⟦poldarais⟧	⟦poldarais⟧	⟦poldarais⟧
ZL3b|f77r.9|G002	ZL3b	f77r:P1	f77r.9	2	P	ol	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	⟦ol⟧	⟦ol⟧	⟦ol⟧	⟦ol⟧
ZL3b|f77r.9|G003	ZL3b	f77r:P1	f77r.9	3	P	qokol	DEFINITE_SPACE	DEFINITE_SPACE	⟦qokol⟧	⟦qokol⟧	⟦qokol⟧	⟦qokol⟧
ZL3b|f77r.9|G004	ZL3b	f77r:P1	f77r.9	4	P	chey	DEFINITE_SPACE	DEFINITE_SPACE	⟦chey⟧	⟦chey⟧	⟦chey⟧	⟦chey⟧
