event_id	page	record	statement_id	surface	component_recipe	grade_component	grade_value_de	grade_token_count	reading_de
E001	f10r	H1	H1-S001	dchey	CH+E+Y	E	KURZ	1	ENTNEHMEN · KURZ · POSTEN
E010	f10r	H1	H1-S001	etyd	E+T+Y	E	KURZ	1	KURZ · BEARBEITEN · POSTEN
E015	f10r	H2	H2-S001	ycheor	Y+CH+E+OR	E	KURZ	1	POSTEN · ENTNEHMEN · KURZ · ANSATZ
E044	f11r	H3	H3-S001	shey	SH+EE+Y	EE	LANG	1	HALTEN · LANG · POSTEN
E065	f55v	H4	H4-S003	cheoar	CH+E+O+AR	E	KURZ	1	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE
E066	f55v	H4	H4-S003	cheeky	CHK+EE+Y	EE	LANG	1	WAERMEN · LANG · POSTEN
E086	f56r	H5	H5-S002	cheeckhody	CH+EE+CKH+O+DY	EE	LANG	1	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS
E089	f56r	H5	H5-S003	kchey	K+E+Y	E	KURZ	1	ZUGEBEN · KURZ · POSTEN
E092	f56r	H5	H5-S004	chokcheo	OK+CH+E+O	E	KURZ	1	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG
E099	f56r	H5	H5-S006	keol	K+E+OL	E	KURZ	1	ZUGEBEN · KURZ · WEITER
E101	f81v	B1	B1-S001	qokedy	OK+E+DY	E	KURZ	1	ANSETZEN · KURZ · SCHLUSS
E115	f81v	B1	B1-S002	sheckhal	SH+E+CKH+AL	E	KURZ	1	HALTEN · KURZ · DURCHLASS · ZIELSTELLE
E117	f81v	B1	B1-S002	qokeedal	OK+EE+AL	EE	LANG	1	ANSETZEN · LANG · ZIELSTELLE
E134	f81v	B1	B1-S008	cheky	CHK+E+Y	E	KURZ	1	WAERMEN · KURZ · POSTEN
E137	f81v	B1	B1-S009	qokedy	OK+E+DY	E	KURZ	1	ANSETZEN · KURZ · SCHLUSS
E138	f81v	B1	B1-S010	qokedy	OK+E+DY	E	KURZ	1	ANSETZEN · KURZ · SCHLUSS
E142	f81v	B1	B1-S012	qokey	OK+E+Y	E	KURZ	1	ANSETZEN · KURZ · POSTEN
E143	f81v	B1	B1-S012	lshedy	LSH+E+DY	E	KURZ	1	SPUELEN · KURZ · SCHLUSS
E144	f81v	B1	B1-S013	lshedy	LSH+E+DY	E	KURZ	1	SPUELEN · KURZ · SCHLUSS
E150	f81v	B1	B1-S015	ytey	T+E+Y	E	KURZ	1	BEARBEITEN · KURZ · POSTEN
E153	f81v	B1	B1-S016	okeey	OK+EE+Y	EE	LANG	1	ANSETZEN · LANG · POSTEN
E157	f81v	B1	B1-S017	teol	E+OL	E	KURZ	1	KURZ · WEITER
E160	f81v	B1	B1-S018	dsheol	SH+E+OL	E	KURZ	1	HALTEN · KURZ · WEITER
E162	f81v	B1	B1-S018	olkeedy	SOLK+EE+DY	EE	LANG	1	SAMMELN · LANG · SCHLUSS
E164	f81v	B1	B1-S020	cheky	CHK+E+Y	E	KURZ	1	WAERMEN · KURZ · POSTEN
E165	f81v	B1	B1-S020	shckhedy	SH+CKH+E+DY	E	KURZ	1	HALTEN · DURCHLASS · KURZ · SCHLUSS
E171	f82r	B2	B2-S003	qokeedy	OK+EE+DY	EE	LANG	1	ANSETZEN · LANG · SCHLUSS
E175	f82r	B2	B2-S004	qokeey	OK+EE+Y	EE	LANG	1	ANSETZEN · LANG · POSTEN
E176	f82r	B2	B2-S004	lcheckhedy	L+CKH+E+DY	E	KURZ	1	LEITEN · DURCHLASS · KURZ · SCHLUSS
