exact_card_id	surfaces	component_recipe	grade_component	grade_value_de	grade_token_count	reading_de	events	operator_frame
PROC001	dchey	CH+E+Y	E	KURZ	1	ENTNEHMEN · KURZ · POSTEN	1	CH+GRADE+Y
PROC010	etyd	E+T+Y	E	KURZ	1	KURZ · BEARBEITEN · POSTEN	1	GRADE+T+Y
PROC015	ycheor	Y+CH+E+OR	E	KURZ	1	POSTEN · ENTNEHMEN · KURZ · ANSATZ	1	Y+CH+GRADE+OR
PROC031	cheey|shey	SH+EE+Y	EE	LANG	1	HALTEN · LANG · POSTEN	4	SH+GRADE+Y
PROC157	sheey	SH+EE+Y	EE	LANG	1	HALTEN · LANG · POSTEN	1	SH+GRADE+Y
PROC045	cheoar	CH+E+O+AR	E	KURZ	1	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	1	CH+GRADE+O+AR
PROC046	cheeky	CHK+EE+Y	EE	LANG	1	WAERMEN · LANG · POSTEN	2	CHK+GRADE+Y
PROC107	chkeey	CHK+EE+Y	EE	LANG	1	WAERMEN · LANG · POSTEN	1	CHK+GRADE+Y
PROC057	cheeckhody	CH+EE+CKH+O+DY	EE	LANG	1	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	1	CH+GRADE+CKH+O+DY
PROC059	kchey	K+E+Y	E	KURZ	1	ZUGEBEN · KURZ · POSTEN	1	K+GRADE+Y
PROC061	chokcheo	OK+CH+E+O	E	KURZ	1	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	1	OK+CH+GRADE+O
PROC066	keol	K+E+OL	E	KURZ	1	ZUGEBEN · KURZ · WEITER	1	K+GRADE+OL
PROC067	qokedy	OK+E+DY	E	KURZ	1	ANSETZEN · KURZ · SCHLUSS	8	OK+GRADE+DY
PROC073	sheckhal	SH+E+CKH+AL	E	KURZ	1	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	1	SH+GRADE+CKH+AL
