local_item_id	kind	statement_ids	events	event_ids	phase_chain	object_transition_chain	object_changes	source_object_de	result_object_de	owner_codes	meaningful_merge_signature	teaching_text_de
R01	SHARED_RESIDUAL_MINI_FORM	B3-S009|B3-S030	2	E247|E298	APPLY	ACTIVE_CARRIED	NONE	Arbeitsflüssigkeit im runden Gefäß	aufgefangener Bestand von Arbeitsflüssigkeit im verbundenen Hauptpaar	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_MAIN_ARCH_LINKED_PAIR	APPLY:ACTIVE_CARRIED:NO:NONE:NONE	verwende Gefäßflüssigkeit
R02	SHARED_RESIDUAL_MINI_FORM	H4-S003|B4-S010	2	E067|E337	PREPARE	ACTIVE_CARRIED	NONE	abgeteilte Portion von abgeteilte Portion von Material dieser Pflanze	abgeteilte Portion von nächster Arbeitsposten bei durch einen Bogen verbundenes Hauptpaar	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT|B4_MAIN_ARCH_LINKED_PAIR	PREPARE:ACTIVE_CARRIED:YES:NONE:NONE	fortsetzen; Schluss
R03	SHARED_RESIDUAL_MINI_FORM	B1-S004|B2-S008|B4-S016	3	E125|E192|E361	HOLD	ACTIVE_CARRIED	NONE	laufender Ansatz bei gemeinsame zweireihige Figuren- und Beckenanlage	abgeteilte Portion von aufgefangener Bestand von Arbeitsflüssigkeit in der rechten Mehrarmstation	B1_SHARED_TWO_ROW_POOL|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	HOLD:ACTIVE_CARRIED:YES:NONE:NONE	absetzen; Schluss
W:B1-S002	KEEP_WHOLE_LOCAL_FORM	B1-S002	19	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	MEASURE>MOVE>APPLY>MOVE>PREPARE>MEASURE>MOVE>PREPARE>HOLD>MOVE>PREPARE>HOLD>MEASURE>APPLY>MEASURE>MOVE	ACTIVE_CARRIED>FLOW_ACTIVATED>ACTIVE_CARRIED>PORTION_CREATED>ACTIVE_CARRIED>BATCH_ACTIVATED>ACTIVE_CARRIED	FLOW_ACTIVATED|PORTION_CREATED|PORTION_CREATED|BATCH_ACTIVATED	Arbeitsflüssigkeit oder Körperposten im gemeinsamen Becken	laufender Ansatz bei gemeinsame zweireihige Figuren- und Beckenanlage	B1_SHARED_TWO_ROW_POOL	MEASURE:ACTIVE_CARRIED:NO:SOLLMASS:NONE>MOVE:FLOW_ACTIVATED:NO:NONE:LAUF_BAHN>APPLY:ACTIVE_CARRIED:NO:NONE:ZIELSTELLE>MOVE:ACTIVE_CARRIED:NO:NONE:QUELLE>PREPARE:ACTIVE_CARRIED:NO:NONE:NONE>MEASURE:PORTION_CREATED:NO:PORTION:NONE>MOVE:ACTIVE_CARRIED:NO:NONE:ZIELSTELLE>PREPARE:ACTIVE_CARRIED:NO:NONE:NONE>HOLD:ACTIVE_CARRIED:NO:NONE:NONE>MOVE:ACTIVE_CARRIED:NO:NONE:NONE>PREPARE:BATCH_ACTIVATED:NO:NONE:NONE>PREPARE:ACTIVE_CARRIED:NO:NONE:NONE>HOLD:ACTIVE_CARRIED:NO:NONE:ZIELSTELLE>MEASURE:ACTIVE_CARRIED:NO:SOLLMASS:NONE>APPLY:ACTIVE_CARRIED:NO:NONE:ZIELSTELLE>MEASURE:ACTIVE_CARRIED:NO:SOLLMASS:NONE>MOVE:ACTIVE_CARRIED:NO:NONE:NONE>MOVE:ACTIVE_CARRIED:YES:NONE:NONE	Quelle [EXPLICIT]: aus der Arbeitsflüssigkeit; Menge/Stufe [EXPLICIT]: Sollmaß setzen | eine Stoffportion | weitere Stoffportion | Sollmaß | Sollmaß; Lauf [EXPLICIT]: Flüssigkeit in den Lauf geben; Ziel [EXPLICIT]: an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen | Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ | kurz an der Durchgangsstelle bei „gemeinsame zweireihige Figuren- und Beckenanlage“ | länger bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ halten. Handlung: Sollmaß setzen; Flüssigkeit in den Lauf geben; an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen; aus der Arbeitsflüssigkeit; fortsetzen; eine Stoffportion; weitere Stoffportion; Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“; fortsetzen; weiter abkühlen; weiterführen; weiterer Ansatz; fortsetzen; kurz an der Durchgangsstelle bei „gemeinsame zweireihige Figuren- und Beckenanlage“; Sollmaß; länger bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ halten; Sollmaß; durchführen; umsetzen; Schluss.
W:B2-S006	KEEP_WHOLE_LOCAL_FORM	B2-S006	4	E185|E186|E187|E188	HOLD>APPLY>MEASURE>APPLY	ACTIVE_CARRIED	NONE	abgeteilte Portion von Arbeitsflüssigkeit in den oberen Becken	abgeteilte Portion von Arbeitsflüssigkeit in den oberen Becken	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	HOLD:ACTIVE_CARRIED:NO:NONE:NONE>APPLY:ACTIVE_CARRIED:NO:NONE:ZIELSTELLE>MEASURE:ACTIVE_CARRIED:NO:NONE:NONE>APPLY:ACTIVE_CARRIED:NO:NONE:NONE	Quelle [RECORD_INHERITED]: Teilportion von obere Beckenflüssigkeit; Menge/Stufe [RECORD_INHERITED]: Auffang-Sollmaß | Sollmaß setzen | Sollmaß setzen; Lauf [NOT_REQUIRED]: —; Ziel [EXPLICIT]: an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen. Handlung: nächsten Posten länger halten; an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen; Teilportion von obere Beckenflüssigkeit kurz im Durchlass halten; verwende Teilportion von obere Beckenflüssigkeit.
W:B3-S021	KEEP_WHOLE_LOCAL_FORM	B3-S021	11	E270|E271|E272|E273|E274|E275|E276|E277|E278|E279|E280	MEASURE>CHECK>MOVE>MEASURE>APPLY>HOLD>MOVE>CHECK>MOVE	ACTIVE_CARRIED	NONE	laufender Ansatz bei nicht gezeichneter Übergang vom Rand zum Hauptfeld	laufender Ansatz bei nicht gezeichneter Übergang vom Rand zum Hauptfeld	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	MEASURE:ACTIVE_CARRIED:NO:SOLLMASS:NONE>CHECK:ACTIVE_CARRIED:NO:NONE:NONE>MOVE:ACTIVE_CARRIED:NO:NONE:ZIELSTELLE>MOVE:ACTIVE_CARRIED:NO:NONE:NONE>MEASURE:ACTIVE_CARRIED:NO:SOLLMASS:NONE>APPLY:ACTIVE_CARRIED:NO:NONE:ZIELSTELLE>HOLD:ACTIVE_CARRIED:NO:NONE:NONE>MOVE:ACTIVE_CARRIED:NO:NONE:NONE>MOVE:ACTIVE_CARRIED:NO:NONE:ZIELSTELLE>CHECK:ACTIVE_CARRIED:NO:NONE:NONE>MOVE:ACTIVE_CARRIED:YES:NONE:ZIELSTELLE	Quelle [RECORD_INHERITED]: laufender Stationsansatz; Menge/Stufe [EXPLICIT]: Sollmaß setzen | Sollmaß; Lauf [RECORD_INHERITED]: Flüssigkeitslauf eröffnen; Ziel [EXPLICIT]: Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ | bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ absetzen | Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ | bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ überführen; Schluss. Handlung: Sollmaß setzen; bereit; Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“; laufender Stationsansatz; Sollmaß; bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ absetzen; laufender Stationsansatz kurz bereit halten; laufender Stationsansatz; Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“; bereit; bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ überführen; Schluss.
W:B3-S026	KEEP_WHOLE_LOCAL_FORM	B3-S026	7	E285|E286|E287|E288|E289|E290|E291	HOLD>MEASURE>MOVE>MEASURE>CHECK>HOLD>COLLECT	ACTIVE_CARRIED>PORTION_CREATED>ACTIVE_CARRIED>BATCH_ACTIVATED>COLLECTION_CREATED	PORTION_CREATED|BATCH_ACTIVATED|COLLECTION_CREATED	laufender Ansatz bei nicht gezeichneter Übergang vom Rand zum Hauptfeld	aufgefangener Bestand von Arbeitsflüssigkeit im verbundenen Hauptpaar	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	HOLD:ACTIVE_CARRIED:NO:NONE:QUELLE>MEASURE:ACTIVE_CARRIED:NO:SOLLMASS:NONE>MOVE:ACTIVE_CARRIED:NO:NONE:NONE>MEASURE:PORTION_CREATED:NO:PORTION:NONE>CHECK:ACTIVE_CARRIED:NO:NONE:NONE>HOLD:BATCH_ACTIVATED:NO:NONE:ZIELSTELLE>COLLECT:COLLECTION_CREATED:YES:NONE:NONE	Quelle [EXPLICIT]: länger aus der Quelle führen; Menge/Stufe [EXPLICIT]: Abführ-Sollmaß | eine Stoffportion zugeben; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei nicht gezeichneter Übergang vom Rand zum Hauptfeld → durch einen Bogen verbundenes Hauptpaar; Ziel [EXPLICIT]: Ansatz bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ abkühlen. Handlung: länger aus der Quelle führen; Abführ-Sollmaß; laufender Stationsansatz umsetzen; eine Stoffportion zugeben; bereit; Ansatz bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ abkühlen; länger auffangen; Schluss.
W:B4-S015	KEEP_WHOLE_LOCAL_FORM	B4-S015	6	E352|E353|E354|E355|E356|E357	MEASURE>COLLECT>MEASURE>MOVE>COLLECT>MOVE	PORTION_CREATED>RESULT_CREATED>PORTION_CREATED>ACTIVE_CARRIED>COLLECTION_CREATED>ACTIVE_CARRIED	PORTION_CREATED|RESULT_CREATED|PORTION_CREATED|COLLECTION_CREATED	Laufflüssigkeit bei linke offene Randstation	aufgefangener Bestand von Arbeitsflüssigkeit in der rechten Mehrarmstation	B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	MEASURE:PORTION_CREATED:NO:PORTION:NONE>COLLECT:RESULT_CREATED:NO:NONE:NONE>MEASURE:PORTION_CREATED:NO:PORTION:NONE>MOVE:ACTIVE_CARRIED:NO:NONE:ZIELSTELLE>COLLECT:COLLECTION_CREATED:NO:NONE:NONE>MOVE:ACTIVE_CARRIED:YES:NONE:NONE	Quelle [RECORD_INHERITED]: Arbeitsflüssigkeit; Menge/Stufe [EXPLICIT]: eine Stoffportion zugeben | eine Stoffportion; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei linke offene Randstation → rechte S-förmige Mehrarmstation; Ziel [EXPLICIT]: Durchgangsstelle bei „linke offene Randstation“. Handlung: eine Stoffportion zugeben; EMPFANGSBESTAND; eine Stoffportion; Durchgangsstelle bei „linke offene Randstation“; kurz auffangen; hinausführen; Schluss.
W:H1-S001	KEEP_WHOLE_LOCAL_FORM	H1-S001	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	COLLECT>CHECK>MOVE>CHECK>COLLECT>APPLY>MEASURE>HOLD	FRACTION_CREATED>BATCH_ACTIVATED>ACTIVE_CARRIED>TARGET_ONLY>FLOW_ACTIVATED>FRACTION_CREATED>ACTIVE_CARRIED	FRACTION_CREATED|BATCH_ACTIVATED|FLOW_ACTIVATED|FRACTION_CREATED	Material dieser Pflanze	entnommene Fraktion aus Laufflüssigkeit bei breitblättrige gezähnte Blütenpflanze	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	COLLECT:FRACTION_CREATED:NO:NONE:NONE>CHECK:BATCH_ACTIVATED:NO:NONE:NONE>MOVE:ACTIVE_CARRIED:NO:NONE:QUELLE>MOVE:ACTIVE_CARRIED:NO:NONE:NONE>CHECK:TARGET_ONLY:NO:NONE:NONE>COLLECT:FLOW_ACTIVATED:NO:NONE:LAUF_BAHN>COLLECT:FRACTION_CREATED:NO:NONE:NONE>APPLY:ACTIVE_CARRIED:NO:NONE:NONE>MEASURE:ACTIVE_CARRIED:NO:SOLLMASS:NONE>HOLD:ACTIVE_CARRIED:NO:NONE:NONE	Quelle [EXPLICIT]: aus dem laufenden Pflanzenansatz; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [EXPLICIT]: Flüssigkeit aus dem Lauf entnehmen; Ziel [WHOLE_CARD]: Arbeitsfach/Empfänger. Handlung: Pflanzenmaterial kurz abziehen; Ansatz bereit; aus dem laufenden Pflanzenansatz; den laufenden Pflanzenansatz füllen; ARBEITSFACH; Flüssigkeit aus dem Lauf entnehmen; danach Arbeitsflüssigkeit füllen und weiter abziehen; verwende abgezogene Flüssigkeitsfraktion; Sollmaß; abgezogene Flüssigkeitsfraktion kurz füllen.
W:H2-S001	KEEP_WHOLE_LOCAL_FORM	H2-S001	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	COLLECT>CHECK>PREPARE>MEASURE>CHECK>MOVE>MEASURE>MOVE	BATCH_ACTIVATED>ACTIVE_CARRIED>BATCH_ACTIVATED>ACTIVE_CARRIED	BATCH_ACTIVATED|BATCH_ACTIVATED	Material dieser Pflanze	laufender Ansatz bei breitblättrige gezähnte Blütenpflanze	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	COLLECT:BATCH_ACTIVATED:NO:NONE:NONE>CHECK:ACTIVE_CARRIED:NO:NONE:NONE>PREPARE:BATCH_ACTIVATED:NO:NONE:NONE>MEASURE:ACTIVE_CARRIED:NO:SOLLMASS:NONE>CHECK:ACTIVE_CARRIED:NO:NONE:NONE>MOVE:ACTIVE_CARRIED:NO:NONE:NONE>MEASURE:ACTIVE_CARRIED:NO:SOLLMASS:NONE>MOVE:ACTIVE_CARRIED:NO:NONE:NONE	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: auf Sollmaß bereitstellen | Sollmaß; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [LOCAL_EXEMPLAR]: örtlich gelernte, nicht sichtbare Zielstelle. Handlung: diesen Ansatz kurz abziehen; bereit; Ansatz; auf Sollmaß bereitstellen; laufender Pflanzenansatz bereit weiterführen; laufender Pflanzenansatz; laufender Pflanzenansatz; Sollmaß; laufender Pflanzenansatz.
