chain_id	object_transition_chain	local_items	item_ids
T01	ACTIVE_CARRIED	31	R01|R02|R03|W:B2-S006|W:B3-S021|X:B1-S006|X:B1-S008|X:B1-S011|X:B1-S016|X:B1-S017|X:B1-S021|X:B2-S001|X:B2-S004|X:B2-S005|X:B2-S014|X:B2-S016|X:B2-S017|X:B3-S002|X:B3-S003|X:B3-S006|X:B3-S007|X:B3-S010|X:B3-S020|X:B3-S034|X:B4-S002|X:B4-S004|X:B5-S003|X:H3-S002|X:H3-S003|X:H4-S002|X:H5-S004
T02	ACTIVE_CARRIED>ADDITION_ACTIVATED>ACTIVE_CARRIED	2	X:H5-S002|X:H5-S003
T03	ACTIVE_CARRIED>COLLECTION_CREATED	2	X:B1-S014|X:B1-S018
T04	NEXT_ITEM_ACTIVATED>ACTIVE_CARRIED	2	X:H3-S004|X:H5-S006
T05	ACTIVE_CARRIED>BATCH_ACTIVATED	1	X:B1-S015
T06	ACTIVE_CARRIED>BATCH_ACTIVATED>ACTIVE_CARRIED>BATCH_ACTIVATED	1	W:H4-S004
T07	ACTIVE_CARRIED>FLOW_ACTIVATED>ACTIVE_CARRIED>PORTION_CREATED>ACTIVE_CARRIED>BATCH_ACTIVATED>ACTIVE_CARRIED	1	W:B1-S002
T08	ACTIVE_CARRIED>FRACTION_CREATED	1	X:B3-S011
T09	ACTIVE_CARRIED>FRACTION_CREATED>ACTIVE_CARRIED	1	X:H1-S002
T10	ACTIVE_CARRIED>NEXT_ITEM_ACTIVATED>ACTIVE_CARRIED	1	X:B4-S003
T11	ACTIVE_CARRIED>PORTION_CREATED>ACTIVE_CARRIED	1	X:H4-S001
T12	ACTIVE_CARRIED>PORTION_CREATED>ACTIVE_CARRIED>BATCH_ACTIVATED>COLLECTION_CREATED	1	W:B3-S026
T13	ACTIVE_CARRIED>RESULT_CREATED	1	X:B2-S010
T14	ACTIVE_CARRIED>RESULT_CREATED>FRACTION_CREATED	1	W:H3-S001
T15	ADDITION_ACTIVATED>ACTIVE_CARRIED	1	X:H5-S005
T16	BATCH_ACTIVATED>ACTIVE_CARRIED	1	X:H2-S002
T17	BATCH_ACTIVATED>ACTIVE_CARRIED>BATCH_ACTIVATED>ACTIVE_CARRIED	1	W:H2-S001
T18	BATCH_ACTIVATED>ACTIVE_CARRIED>FLOW_ACTIVATED	1	X:B4-S014
T19	BATCH_ACTIVATED>ADDITION_ACTIVATED>ACTIVE_CARRIED>ADDITION_ACTIVATED>ACTIVE_CARRIED>BATCH_ACTIVATED>ACTIVE_CARRIED	1	W:H5-S001
T20	COLLECTION_CREATED	1	X:B3-S001
T21	COLLECTION_CREATED>ACTIVE_CARRIED	1	X:B6-S001
T22	FLOW_ACTIVATED>ACTIVE_CARRIED	1	X:B3-S014
T23	FRACTION_CREATED>BATCH_ACTIVATED>ACTIVE_CARRIED>TARGET_ONLY>FLOW_ACTIVATED>FRACTION_CREATED>ACTIVE_CARRIED	1	W:H1-S001
T24	FRACTION_CREATED>RESULT_CREATED>ACTIVE_CARRIED>FRACTION_CREATED>ACTIVE_CARRIED	1	X:B2-S012
T25	PORTION_CREATED>ACTIVE_CARRIED	1	X:B4-S011
T26	PORTION_CREATED>RESULT_CREATED>PORTION_CREATED>ACTIVE_CARRIED>COLLECTION_CREATED>ACTIVE_CARRIED	1	W:B4-S015
