priority	local_item_id	statement_id	events	phase_chain	object_transition_chain	source_object_de	result_object_de	next_question_de
1	W:B1-S002	B1-S002	19	MEASURE>MOVE>APPLY>MOVE>PREPARE>MEASURE>MOVE>PREPARE>HOLD>MOVE>PREPARE>HOLD>MEASURE>APPLY>MEASURE>MOVE	ACTIVE_CARRIED>FLOW_ACTIVATED>ACTIVE_CARRIED>PORTION_CREATED>ACTIVE_CARRIED>BATCH_ACTIVATED>ACTIVE_CARRIED	Arbeitsflüssigkeit oder Körperposten im gemeinsamen Becken	laufender Ansatz bei gemeinsame zweireihige Figuren- und Beckenanlage	Welche konkrete Werkstattprozedur erklärt diese ganze Folge mit einem kurzen gelernten Makronamen?
2	W:B3-S021	B3-S021	11	MEASURE>CHECK>MOVE>MEASURE>APPLY>HOLD>MOVE>CHECK>MOVE	ACTIVE_CARRIED	laufender Ansatz bei nicht gezeichneter Übergang vom Rand zum Hauptfeld	laufender Ansatz bei nicht gezeichneter Übergang vom Rand zum Hauptfeld	Welche konkrete Werkstattprozedur erklärt diese ganze Folge mit einem kurzen gelernten Makronamen?
3	W:H1-S001	H1-S001	10	COLLECT>CHECK>MOVE>CHECK>COLLECT>APPLY>MEASURE>HOLD	FRACTION_CREATED>BATCH_ACTIVATED>ACTIVE_CARRIED>TARGET_ONLY>FLOW_ACTIVATED>FRACTION_CREATED>ACTIVE_CARRIED	Material dieser Pflanze	entnommene Fraktion aus Laufflüssigkeit bei breitblättrige gezähnte Blütenpflanze	Welche konkrete Werkstattprozedur erklärt diese ganze Folge mit einem kurzen gelernten Makronamen?
4	W:H2-S001	H2-S001	9	COLLECT>CHECK>PREPARE>MEASURE>CHECK>MOVE>MEASURE>MOVE	BATCH_ACTIVATED>ACTIVE_CARRIED>BATCH_ACTIVATED>ACTIVE_CARRIED	Material dieser Pflanze	laufender Ansatz bei breitblättrige gezähnte Blütenpflanze	Welche konkrete Werkstattprozedur erklärt diese ganze Folge mit einem kurzen gelernten Makronamen?
5	W:H5-S001	H5-S001	9	COLLECT>SELECT>MOVE>MEASURE>SELECT>MOVE>COLLECT>APPLY>MOVE	BATCH_ACTIVATED>ADDITION_ACTIVATED>ACTIVE_CARRIED>ADDITION_ACTIVATED>ACTIVE_CARRIED>BATCH_ACTIVATED>ACTIVE_CARRIED	Material dieser Pflanze	laufender Ansatz bei mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze	Welche konkrete Werkstattprozedur erklärt diese ganze Folge mit einem kurzen gelernten Makronamen?
6	W:B3-S026	B3-S026	7	HOLD>MEASURE>MOVE>MEASURE>CHECK>HOLD>COLLECT	ACTIVE_CARRIED>PORTION_CREATED>ACTIVE_CARRIED>BATCH_ACTIVATED>COLLECTION_CREATED	laufender Ansatz bei nicht gezeichneter Übergang vom Rand zum Hauptfeld	aufgefangener Bestand von Arbeitsflüssigkeit im verbundenen Hauptpaar	Welche konkrete Werkstattprozedur erklärt diese ganze Folge mit einem kurzen gelernten Makronamen?
7	W:H3-S001	H3-S001	7	HOLD>APPLY>PREPARE>MEASURE>MOVE>COLLECT	ACTIVE_CARRIED>RESULT_CREATED>FRACTION_CREATED	Material dieser Pflanze	entnommene Fraktion aus Empfangsbestand bei dicht beblätterte Pflanze mit blauer Blütenkrone	Welche konkrete Werkstattprozedur erklärt diese ganze Folge mit einem kurzen gelernten Makronamen?
8	W:B4-S015	B4-S015	6	MEASURE>COLLECT>MEASURE>MOVE>COLLECT>MOVE	PORTION_CREATED>RESULT_CREATED>PORTION_CREATED>ACTIVE_CARRIED>COLLECTION_CREATED>ACTIVE_CARRIED	Laufflüssigkeit bei linke offene Randstation	aufgefangener Bestand von Arbeitsflüssigkeit in der rechten Mehrarmstation	Welche konkrete Werkstattprozedur erklärt diese ganze Folge mit einem kurzen gelernten Makronamen?
9	W:H4-S004	H4-S004	6	MEASURE>APPLY>MEASURE>PREPARE>MOVE>MEASURE	ACTIVE_CARRIED>BATCH_ACTIVATED>ACTIVE_CARRIED>BATCH_ACTIVATED	abgeteilte Portion von abgeteilte Portion von Material dieser Pflanze	laufender Ansatz bei breitblättrige Rispenpflanze mit auffälligem Wurzelkörper	Welche konkrete Werkstattprozedur erklärt diese ganze Folge mit einem kurzen gelernten Makronamen?
10	W:B2-S006	B2-S006	4	HOLD>APPLY>MEASURE>APPLY	ACTIVE_CARRIED	abgeteilte Portion von Arbeitsflüssigkeit in den oberen Becken	abgeteilte Portion von Arbeitsflüssigkeit in den oberen Becken	Welche konkrete Werkstattprozedur erklärt diese ganze Folge mit einem kurzen gelernten Makronamen?
